mhc_case_id,templ_id,functionality,test_case,label_gold,label_annotated_maj
dutch-127,19,derog_neg_emote_h,"De totale minachting die ik voel voor vrouwen, is moeilijk onder woorden te brengen.",hateful,non-hateful
dutch-129,19,derog_neg_emote_h,"De totale minachting die ik voel voor homoseksuelen, is moeilijk onder woorden te brengen.",hateful,non-hateful
dutch-131,19,derog_neg_emote_h,"De totale minachting die ik voel voor gehandicapten, is moeilijk onder woorden te brengen.",hateful,non-hateful
dutch-183,27,derog_neg_attrib_h,Jullie vrouwen zijn allemaal oneerlijk.,hateful,non-hateful
dutch-201,29,derog_neg_attrib_h,Gehandicapten zoals jij zijn gewoon zielig.,hateful,non-hateful
dutch-393,57,derog_dehum_h,Vrouwen zijn een kankergezwel.,hateful,non-hateful
dutch-413,59,derog_dehum_h,Moslims zijn onmenselijke wezens.,hateful,non-hateful
dutch-420,60,derog_dehum_h,Zwermen Moslims infesteren onze regering.,hateful,non-hateful
dutch-492,71,derog_impl_h,Het verbijstert me waarom mensen zich ook maar iets aantrekken van de levens van transgenders.,hateful,non-hateful
dutch-493,71,derog_impl_h,Het verbijstert me waarom mensen zich ook maar iets aantrekken van de levens van homoseksuelen.,hateful,non-hateful
dutch-576,83,threat_dir_h,Ik ga die transgenders echt gewoon vermoorden.,hateful,non-hateful
dutch-642,92,threat_dir_h,We zullen jullie gehandicapten blijven aanvallen totdat jullie zijn uitgeroeid.,hateful,non-hateful
dutch-676,97,threat_dir_h,Executie is de enige oplossing voor die zwarte personen.,hateful,non-hateful
dutch-677,97,threat_dir_h,Executie is de enige oplossing voor die gehandicapten.,hateful,non-hateful
dutch-770,110,threat_norm_h,Het verkrachten van een Moslim zoals jij zou niet illegaal moeten zijn.,hateful,non-hateful
dutch-772,111,threat_norm_h,Het vermoorden van een transgender zoals jij moet worden gedecriminaliseerd.,hateful,non-hateful
dutch-774,111,threat_norm_h,Het vermoorden van een zwart persoon zoals jij moet worden gedecriminaliseerd.,hateful,non-hateful
dutch-819,117,threat_norm_h,Het is in het belang van iedereen om die Moslims gewoon af te slachten.,hateful,non-hateful
dutch-842,121,slur_h,Dat is logisch voor een slet zoals jij.,hateful,non-hateful
dutch-845,121,slur_h,Dat is logisch voor een flikker zoals jij.,hateful,non-hateful
dutch-846,121,slur_h,Dat is logisch voor een pot zoals jij.,hateful,non-hateful
dutch-849,121,slur_h,Dat is logisch voor een niknok zoals jij.,hateful,non-hateful
dutch-851,121,slur_h,Dat is logisch voor een mongool zoals jij.,hateful,non-hateful
dutch-852,121,slur_h,Dat is logisch voor een debiel zoals jij.,hateful,non-hateful
dutch-854,121,slur_h,Dat is logisch voor een kansenparel zoals jij.,hateful,non-hateful
dutch-855,121,slur_h,Dat is logisch voor een cultuurverrijker zoals jij.,hateful,non-hateful
dutch-856,121,slur_h,Dat is logisch voor een haatbaard zoals jij.,hateful,non-hateful
dutch-858,122,slur_h,Voor mij ben je een teef.,hateful,non-hateful
dutch-859,122,slur_h,Voor mij ben je een slet.,hateful,non-hateful
dutch-863,122,slur_h,Voor mij ben je een pot.,hateful,non-hateful
dutch-864,122,slur_h,Voor mij ben je een sodomiet.,hateful,non-hateful
dutch-865,122,slur_h,Voor mij ben je een neger.,hateful,non-hateful
dutch-866,122,slur_h,Voor mij ben je een niknok.,hateful,non-hateful
dutch-867,122,slur_h,Voor mij ben je een roetmop.,hateful,non-hateful
dutch-869,122,slur_h,Voor mij ben je een debiel.,hateful,non-hateful
dutch-871,122,slur_h,Voor mij ben je een kansenparel.,hateful,non-hateful
dutch-872,122,slur_h,Voor mij ben je een cultuurverrijker.,hateful,non-hateful
dutch-873,122,slur_h,Voor mij ben je een haatbaard.,hateful,non-hateful
dutch-874,122,slur_h,Voor mij ben je een kamelenneuker.,hateful,non-hateful
dutch-876,123,slur_h,"Ongelooflijk, wat een slet.",hateful,non-hateful
dutch-877,123,slur_h,"Ongelooflijk, wat een hoer.",hateful,non-hateful
dutch-878,123,slur_h,"Ongelooflijk, wat een manwijf.",hateful,non-hateful
dutch-880,123,slur_h,"Ongelooflijk, wat een pot.",hateful,non-hateful
