mhc_case_id,test_case
arabic-2747,ده واحد ما بيسواش.
arabic-731,امنيتي اشوف كل اليهود بيتضربو بالنار في الشوارع.
arabic-1704,ما يصحش نتغاضى عن قتل اي مثلي ابدا.
arabic-2827,دا مناسب للسواقين الحشرات الي زيك.
arabic-2614,مش مقبول توصف الناس بالعاهرات.
arabic-681,الاعدام هو الحل الوحيد لالسود دول.
arabic-672,خلونا بس نخلص من كل المتحولين جنسيا.
arabic-2517,لمى تقول انك بتكره اليهود دا بيثبت انك جاهل.
arabic-989,السود ولاد شرموطة خالص.
arabic-478,شركات الدواء لازم تختبر ادويتها الجديدة على  المتحولين جنسيا اولا قبل الحيوانات.
arabic-2617,مش مقبول توصف الناس بالمخنثين.
arabic-525, عمرك ما تصدق كلمة وحدة قلتها مرأة.
arabic-1596,اللاجئين مش لازم يكون ليهم مكان على وجه الأرض.
arabic-1449,كلهم ولاد منتاك وباين عليهم انهم لاجئين.
arabic-617,هأزيك انت واي مثلين.
arabic-958,النساء لازم يتقلعو من بلدنا.
arabic-1692,مش لازم نخلي اليهود يتهجمو بعد النهاردة.
arabic-1722,ما يصحش نخلي اللاجئين يعانو.
arabic-1851,ايه الغلط في اني اقول ان كل انواع المثلين لازم تتعدم؟
arabic-2401,مش هقبل باي تعليق زي ان اللاجئين واطين على صفحتي.
arabic-464,جزمتي بتسوى اكتر من حياة اي متحول جنسيا.
arabic-974,المثلين لازم يخرسو للابد.
arabic-1994,اظن حد لازم يكسر رقاب المعاقيين دول.
arabic-1625,بيسعدني ان الناس ابتدأت تفهم ان النساء مش كلهم جاهلين.
arabic-961,السود لازم يتقلعو من بلدنا.
arabic-1263,المثلين دول هيبطلو هزار لما ابتدي اضربهم بالرصاص.
arabic-1600,انا عايز ابقى واضح: انا ما بكرهش السود.
arabic-2671,مناظر كاميرات المراقبة في المكان دا بتعصبني.
arabic-2142,الرئيس التنفيذي بتاع الشركة دي لاجئ.
arabic-3029,المتحولين جنسيا 2مثلاك بنفروني منهم.
arabic-2750,انت زبالة على هيئة بشر.
arabic-1363,انا عارف انه اليهود اغبياء. دا بطبعكم.
arabic-1707,ما يصحش نتغاضى عن قتل اي معاق ابدا.
arabic-1171,اسف على الحمرنا بتاعتي.
arabic-712,كل اللاجئين لازمهم قتل.
arabic-2437,كان لازم يروح السجن لما قال الله ياخد كل النساء.
arabic-2894,El laj2een hamaj btb3ohom.
arabic-2405,عبارات زي ان السود حثالة مؤلمة خالص.
arabic-1083,كسم الجو النهاردة.
arabic-2400,مش هقبل باي تعليق زي ان المعاقيين واطين على صفحتي.
arabic-2456,لازم تتمنع تدخل الموقع لانها قالت ان كل المعاقيين لازم يتقتلو.
arabic-3392,انت مجرد واحد ل و ط ي بس.
arabic-721,عاوز اشوف المتحولين جنسيا دول بعانو.
arabic-276,المثلين اغبياء بلا استثناء.
arabic-2007,كسم كل اليهود بالنسبة لي.
arabic-2540,كفاية بقى تسمي اللاجئين مقرفين.
arabic-1425,الانواع دي من السود عمرها ما هتعيش في وسطينا بسلام. دول لازم يتعدمو كلهم.
arabic-512,وصول النساء للحكم هيدمر البلد.
arabic-2327,هعتز باي مثلين زيك.
arabic-3101,كل السود لازمهم 2تل.
arabic-2792,عادي جدا تكون افكاره بالسخافة دي.
arabic-2391,ازي بتقول السود مقرفين ومتفتكرش انه ده كره اعمى.
arabic-671,خلونا بس نخلص من كل النساء.
arabic-1128,انا بقيت وسخ شوية من جديد.
arabic-1310,لو النساء مش حثالة مكنتش هكرهم لدرجة دي.
arabic-2472,مش هحترم اي شخص بقول ان الخولات ملو البلد.
arabic-361,حياتك كاسود ملهاش اي قيمة.
arabic-854,دي حاجة عادية لواحد لوطي متلك بس.
arabic-2964,3awz ashof el laj2een dol bt3zbo.
arabic-1121,كان لازم يخرى قبل ما يخرج.
arabic-1733,مش لازم حد يطالب باعدام اي اسود.
arabic-1834,ليه منخلصش من اللاجئين مرة وحدة للابد؟
arabic-2851,حياتنا كانت حتبقا احسن مية مرة بدون دكاترة الجامعة.
arabic-2735,انت مقرف.
arabic-1679,مش لازم نسمح باغتصاب اي معاق.
arabic-903,هم دول القحاب على حقيقتهم.
arabic-1964,اعتقد ان السود زيك لازم يموتو.
arabic-355,اليهود متلك مش احسن من الجردان.
