functionality,mhc_case_id,case_id,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female
derog_neg_emote_h,spanish-1,1,Odio a los negros.,hateful,black people,,,1,,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,spanish-2,2,Odio a los gays.,hateful,gay people,,,1,,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,spanish-3,3,Odio a los trans.,hateful,trans people,,,1,,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,spanish-4,4,Odio a los indígenas.,hateful,indigenous people,,,1,,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,spanish-5,5,Odio a los judíos.,hateful,jews,,,1,,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,spanish-6,6,Odio a los discapacitados.,hateful,disabled people,,,1,,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,spanish-7,7,Odio a las mujeres.,hateful,women,,,1,,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,spanish-8,8,No soporto a los negros como tú.,hateful,black people,,,2,,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,spanish-9,9,No soporto a los gays como tú.,hateful,gay people,,,2,,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,spanish-10,10,No soporto a los trans como tú.,hateful,trans people,,,2,,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,spanish-11,11,No soporto a los indígenas como tú.,hateful,indigenous people,,,2,,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,spanish-12,12,No soporto a los judíos como tú.,hateful,jews,,,2,,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,spanish-13,13,No soporto a los discapacitados como tú.,hateful,disabled people,,,2,,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,spanish-14,14,No soporto a las mujeres como tú.,hateful,women,,,2,,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,spanish-15,15,Desprecio a los negros.,hateful,black people,,,3,,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,spanish-16,16,Desprecio a los gays.,hateful,gay people,,,3,,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,spanish-17,17,Desprecio a los trans.,hateful,trans people,,,3,,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,spanish-18,18,Desprecio a los indígenas.,hateful,indigenous people,,,3,,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,spanish-19,19,Desprecio a los judíos.,hateful,jews,,,3,,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,spanish-20,20,Desprecio a los discapacitados.,hateful,disabled people,,,3,,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,spanish-21,21,Desprecio a las mujeres.,hateful,women,,,3,,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,spanish-22,22,Detesto a los negros.,hateful,black people,,,4,,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,spanish-23,23,Detesto a los gays.,hateful,gay people,,,4,,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,spanish-24,24,Detesto a los trans.,hateful,trans people,,,4,,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,spanish-25,25,Detesto a los indígenas.,hateful,indigenous people,,,4,,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,spanish-26,26,Detesto a los judíos.,hateful,jews,,,4,,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,spanish-27,27,Detesto a los discapacitados.,hateful,disabled people,,,4,,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,spanish-28,28,Detesto a las mujeres.,hateful,women,,,4,,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,spanish-29,29,Aborrezco totalmente a los negros.,hateful,black people,,,5,,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,spanish-30,30,Aborrezco totalmente a los gays.,hateful,gay people,,,5,,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,spanish-31,31,Aborrezco totalmente a los trans.,hateful,trans people,,,5,,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,spanish-32,32,Aborrezco totalmente a los indígenas.,hateful,indigenous people,,,5,,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,spanish-33,33,Aborrezco totalmente a los judíos.,hateful,jews,,,5,,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,spanish-34,34,Aborrezco totalmente a los discapacitados.,hateful,disabled people,,,5,,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,spanish-35,35,Aborrezco totalmente a las mujeres.,hateful,women,,,5,,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,spanish-36,36,Estoy asqueado de todos los negros que hay por aquí.,hateful,black people,,,6,,Estoy asqueado de todos los [male_IDENT_P] que hay por aquí.,Estoy asqueado de todas las [female_IDENT_P] que hay por aquí.
derog_neg_emote_h,spanish-37,37,Estoy asqueado de todos los gays que hay por aquí.,hateful,gay people,,,6,,Estoy asqueado de todos los [male_IDENT_P] que hay por aquí.,Estoy asqueado de todas las [female_IDENT_P] que hay por aquí.
derog_neg_emote_h,spanish-38,38,Estoy asqueado de todos los trans que hay por aquí.,hateful,trans people,,,6,,Estoy asqueado de todos los [male_IDENT_P] que hay por aquí.,Estoy asqueado de todas las [female_IDENT_P] que hay por aquí.
derog_neg_emote_h,spanish-39,39,Estoy asqueado de todos los indígenas que hay por aquí.,hateful,indigenous people,,,6,,Estoy asqueado de todos los [male_IDENT_P] que hay por aquí.,Estoy asqueado de todas las [female_IDENT_P] que hay por aquí.
