mhc_case_id,functionality,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
german-1,derog_neg_emote_h,Ich hasse Frauen.,hateful,women,,,1,Ich hasse [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
german-2,derog_neg_emote_h,Ich hasse Transmenschen.,hateful,trans people,,,1,Ich hasse [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
german-3,derog_neg_emote_h,Ich hasse Schwule.,hateful,gay people,,,1,Ich hasse [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
german-4,derog_neg_emote_h,Ich hasse Schwarze.,hateful,black people,,,1,Ich hasse [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
german-5,derog_neg_emote_h,Ich hasse Behinderte.,hateful,disabled people,,,1,Ich hasse [IDENT_P].,,,"['hateful', 'non-hateful', 'hateful']",hateful,False,False
german-6,derog_neg_emote_h,Ich hasse Juden.,hateful,jews,,,1,Ich hasse [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
german-7,derog_neg_emote_h,Ich hasse Flüchtlinge.,hateful,refugees,,,1,Ich hasse [IDENT_P].,,,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
german-8,derog_neg_emote_h,Ich kann Frauen wie dich wirklich nicht ausstehen.,hateful,women,,,2,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,,,"['hateful', 'non-hateful', 'hateful']",hateful,False,False
german-9,derog_neg_emote_h,Ich kann Transmenschen wie dich wirklich nicht ausstehen.,hateful,trans people,,,2,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,,,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
german-10,derog_neg_emote_h,Ich kann Schwule wie dich wirklich nicht ausstehen.,hateful,gay people,,,2,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,,,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
german-11,derog_neg_emote_h,Ich kann Schwarze wie dich wirklich nicht ausstehen.,hateful,black people,,,2,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
german-12,derog_neg_emote_h,Ich kann Behinderte wie dich wirklich nicht ausstehen.,hateful,disabled people,,,2,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,,,"['hateful', 'non-hateful', 'hateful']",hateful,False,False
german-13,derog_neg_emote_h,Ich kann Juden wie dich wirklich nicht ausstehen.,hateful,jews,,,2,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
