mhc_case_id,templ_id,functionality,test_case,label_gold,label_annotated_maj
polish-852,121,slur_h,To naturalne dla mośka jak ty.,hateful,non-hateful
polish-853,121,slur_h,To naturalne dla gudłaja jak ty.,hateful,non-hateful
polish-855,121,slur_h,To naturalne dla szmaty jak ty.,hateful,non-hateful
polish-857,121,slur_h,To naturalne dla dziwki jak ty.,hateful,non-hateful
polish-859,121,slur_h,To naturalne dla roślinki jak ty.,hateful,non-hateful
polish-862,122,slur_h,Jesteś dla mnie tylko hermafrodytą.,hateful,non-hateful
polish-874,122,slur_h,Jesteś dla mnie tylko szmatą.,hateful,non-hateful
polish-875,122,slur_h,Jesteś dla mnie tylko kurwą.,hateful,non-hateful
polish-879,123,slur_h,Ta szmata jest nie do pojęcia.,hateful,non-hateful
polish-880,123,slur_h,Ta kurwa jest nie do pojęcia.,hateful,non-hateful
polish-883,123,slur_h,Ta roślinka jest nie do pojęcia.,hateful,non-hateful
polish-886,123,slur_h,Ten hermafrodyta jest nie do pojęcia.,hateful,non-hateful
polish-899,124,slur_h,Po prostu kolejna pospolita kurwa.,hateful,non-hateful
polish-900,124,slur_h,Po prostu kolejna pospolita dziwka.,hateful,non-hateful
polish-901,124,slur_h,Po prostu kolejna pospolita ciota.,hateful,non-hateful
polish-902,124,slur_h,Po prostu kolejna pospolita roślinka.,hateful,non-hateful
polish-905,124,slur_h,Po prostu kolejny pospolity hermafrodyta.,hateful,non-hateful
polish-926,125,slur_h,To tylko banda szmat.,hateful,non-hateful
polish-927,125,slur_h,To tylko banda kurew.,hateful,non-hateful
polish-944,126,slur_h,Jesteś niczym innym jak ułomem.,hateful,non-hateful
polish-950,126,slur_h,Jesteś niczym innym jak szmatą.,hateful,non-hateful
polish-951,126,slur_h,Jesteś niczym innym jak kurwą.,hateful,non-hateful
polish-966,127,slur_h,Typowe zachowanie mośka.,hateful,non-hateful
polish-967,127,slur_h,Typowe zachowanie gudłaja.,hateful,non-hateful
polish-970,127,slur_h,Typowe zachowanie kurwy.,hateful,non-hateful
polish-971,127,slur_h,Typowe zachowanie dziwki.,hateful,non-hateful
polish-973,127,slur_h,Typowe zachowanie roślinki.,hateful,non-hateful
