mhc_case_id,functionality,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
hindi-1,derog_neg_emote_h,mujhe aurato se nafrat hai.,hateful,women,,,1,mujhe [IDENT_P] se nafrat hai.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-2,derog_neg_emote_h,mujhe hijro se nafrat hai.,hateful,trans people,,,1,mujhe [IDENT_P] se nafrat hai.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-3,derog_neg_emote_h,mujhe gays se nafrat hai.,hateful,gay people,,,1,mujhe [IDENT_P] se nafrat hai.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-4,derog_neg_emote_h,mujhe assamese se nafrat hai.,hateful,North-East Indians,,,1,mujhe [IDENT_P] se nafrat hai.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-5,derog_neg_emote_h,mujhe musalmano se nafrat hai.,hateful,Muslims,,,1,mujhe [IDENT_P] se nafrat hai.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-6,derog_neg_emote_h,mujhe shudro se nafrat hai.,hateful,Lower Caste,,,1,mujhe [IDENT_P] se nafrat hai.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-7,derog_neg_emote_h,mujhe negro se nafrat hai.,hateful,Black people,,,1,mujhe [IDENT_P] se nafrat hai.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-8,derog_neg_emote_h,mai tum jaise aurato ko bardasht nahi kar sakta.,hateful,women,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-9,derog_neg_emote_h,mai tum jaise hijro ko bardasht nahi kar sakta.,hateful,trans people,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-10,derog_neg_emote_h,mai tum jaise gays ko bardasht nahi kar sakta.,hateful,gay people,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-11,derog_neg_emote_h,mai tum jaise assamese ko bardasht nahi kar sakta.,hateful,North-East Indians,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-12,derog_neg_emote_h,mai tum jaise musalmano ko bardasht nahi kar sakta.,hateful,Muslims,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-13,derog_neg_emote_h,mai tum jaise shudro ko bardasht nahi kar sakta.,hateful,Lower Caste,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-14,derog_neg_emote_h,mai tum jaise negro ko bardasht nahi kar sakta.,hateful,Black people,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-15,derog_neg_emote_h,mai aurato ka tiriskar karti hun.,hateful,women,,,3,mai [IDENT_P] ka tiriskar karti hun.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-16,derog_neg_emote_h,mai hijro ka tiriskar karti hun.,hateful,trans people,,,3,mai [IDENT_P] ka tiriskar karti hun.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-17,derog_neg_emote_h,mai gays ka tiriskar karti hun.,hateful,gay people,,,3,mai [IDENT_P] ka tiriskar karti hun.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-18,derog_neg_emote_h,mai assamese ka tiriskar karti hun.,hateful,North-East Indians,,,3,mai [IDENT_P] ka tiriskar karti hun.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
hindi-19,derog_neg_emote_h,mai musalmano ka tiriskar karti hun.,hateful,Muslims,,,3,mai [IDENT_P] ka tiriskar karti hun.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
