TARGET,M,D,C,B,N,Msc
women,szmaty,szmat,szmatom,szmaty,szmatami,szmatach
women,kurwy,kurew,kurwom,kurwy,kurwami,kurwach
women,dziwki,dziwek,dziwkom,dziwki,dziwkami,dziwkach
gay people,cioty,ciot,ciot,cioty,ciotami,ciotach
disabled people,roślinki,roślinek,roślink,roślinki,roślinkami,roślinkach
trans people,obojniaki,obojniaków,obojniakom,obojniaki,obojniakami,obojniakach
asian people,żółtki,żółtków,żółtkom,żółtków,żółtkami,żółtkach
disabled people,ułomy,ułomów,ułomom,ułomy,ułomami,ułomach
jewish people,żydki,żydków,żydkom,żydki,żydkami,żydkach
jewish people,mośki,mośków,mośkom,mośki,mośkami,mośkach
