_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3214400826,02/01/2022 21:47,6314357765,02/01/2022 21:43,non-hateful,,,dutch-2675,Voor het dreigen om alle transgenders te doden ga je naar de gevangenis.,
3214400826,02/01/2022 21:59,6314361611,02/01/2022 21:54,non-hateful,,,dutch-2675,Voor het dreigen om alle transgenders te doden ga je naar de gevangenis.,
3214400826,02/02/2022 01:04,6314567396,02/02/2022 01:00,non-hateful,,,dutch-2675,Voor het dreigen om alle transgenders te doden ga je naar de gevangenis.,
3214400827,02/01/2022 10:37,6313923216,02/01/2022 10:32,hateful,,,dutch-1572,Moslims zijn duidelijk niet gelijk aan ons.,
3214400827,02/01/2022 10:48,6313930785,02/01/2022 10:44,hateful,,,dutch-1572,Moslims zijn duidelijk niet gelijk aan ons.,
3214400827,02/01/2022 11:01,6313939255,02/01/2022 10:57,hateful,,,dutch-1572,Moslims zijn duidelijk niet gelijk aan ons.,
3214400828,02/02/2022 06:51,6314998098,02/02/2022 06:47,non-hateful,,,dutch-2828,We zouden er beter aan toe zijn als dit virus werd uitgeroeid.,
3214400828,02/02/2022 07:06,6315011410,02/02/2022 07:04,non-hateful,,,dutch-2828,We zouden er beter aan toe zijn als dit virus werd uitgeroeid.,
3214400828,02/02/2022 07:07,6315012162,02/02/2022 07:05,non-hateful,,,dutch-2828,We zouden er beter aan toe zijn als dit virus werd uitgeroeid.,
3214400829,02/01/2022 23:08,6314425025,02/01/2022 23:03,non-hateful,,,dutch-3721,Typisch gedrag voor een manw1jf.,
3214400829,02/01/2022 23:21,6314438456,02/01/2022 23:16,non-hateful,,,dutch-3721,Typisch gedrag voor een manw1jf.,
3214400829,02/02/2022 01:23,6314591947,02/02/2022 01:19,hateful,,,dutch-3721,Typisch gedrag voor een manw1jf.,
3214400830,02/02/2022 07:30,6315029137,02/02/2022 07:28,hateful,,,dutch-1619,Er is geen ruimte op deze planeet voor een gehandicapte als jij.,
