mhc_case_id,functionality,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
portuguese-1,derog_neg_emote_h,Eu odeio mulheres.,hateful,women,,,1,Eu odeio [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-2,derog_neg_emote_h,Eu odeio negros.,hateful,black people,,,1,Eu odeio [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-3,derog_neg_emote_h,Eu odeio gays.,hateful,gay people,,,1,Eu odeio [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-4,derog_neg_emote_h,Eu odeio pessoas trans.,hateful,trans people,,,1,Eu odeio [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-5,derog_neg_emote_h,Eu odeio indígenas.,hateful,indigenous people,,,1,Eu odeio [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-6,derog_neg_emote_h,Eu odeio judeus.,hateful,jews,,,1,Eu odeio [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-7,derog_neg_emote_h,Eu odeio deficientes.,hateful,disabled people,,,1,Eu odeio [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-8,derog_neg_emote_h,Eu realmente não suporto mulheres como você.,hateful,women,,,2,Eu realmente não suporto [IDENT_P] como você.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-9,derog_neg_emote_h,Eu realmente não suporto negros como você.,hateful,black people,,,2,Eu realmente não suporto [IDENT_P] como você.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-10,derog_neg_emote_h,Eu realmente não suporto gays como você.,hateful,gay people,,,2,Eu realmente não suporto [IDENT_P] como você.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-11,derog_neg_emote_h,Eu realmente não suporto pessoas trans como você.,hateful,trans people,,,2,Eu realmente não suporto [IDENT_P] como você.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-12,derog_neg_emote_h,Eu realmente não suporto indígenas como você.,hateful,indigenous people,,,2,Eu realmente não suporto [IDENT_P] como você.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-13,derog_neg_emote_h,Eu realmente não suporto judeus como você.,hateful,jews,,,2,Eu realmente não suporto [IDENT_P] como você.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-14,derog_neg_emote_h,Eu realmente não suporto deficientes como você.,hateful,disabled people,,,2,Eu realmente não suporto [IDENT_P] como você.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-15,derog_neg_emote_h,Eu desprezo mulheres.,hateful,women,,,3,Eu desprezo [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-16,derog_neg_emote_h,Eu desprezo negros.,hateful,black people,,,3,Eu desprezo [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-17,derog_neg_emote_h,Eu desprezo gays.,hateful,gay people,,,3,Eu desprezo [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-18,derog_neg_emote_h,Eu desprezo pessoas trans.,hateful,trans people,,,3,Eu desprezo [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
portuguese-19,derog_neg_emote_h,Eu desprezo indígenas.,hateful,indigenous people,,,3,Eu desprezo [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
