functionality,templ_id,ref_templ_id,focus_lemma,case_templ,label_gold,trans_google,trans_manual,gender_male,gender_female
derog_neg_emote_h,1,,hate,I hate [IDENT_P].,hateful,أكره [IDENT_P].,انا بكره ال[IDENT_P].,,
derog_neg_emote_h,2,,can't stand,I really can't stand [IDENT_P] like you.,hateful,أنا حقًا لا أطيق [IDENT_P] مثلك.,انا ما بطقش ال[IDENT_P] الي زيك.,,
derog_neg_emote_h,3,,despise,I despise [IDENT_P].,hateful,أنا أكره [IDENT_P].,انا بستحقر ال[IDENT_P].,,
derog_neg_emote_h,4,,detest,I detest [IDENT_P].,hateful,أكره [IDENT_P].,انا بمقت ال[IDENT_P].,,
derog_neg_emote_h,5,,loathe,I absolutely loathe [IDENT_P].,hateful,أنا أكره [IDENT_P] على الإطلاق.,انا بكره ال[IDENT_P] خالص.,,
derog_neg_emote_h,6,,disgusted,Disgusted by all the [IDENT_P] around here.,hateful,اشمئزاز من جميع [IDENT_P] هنا.,انا بتقرف من كل ال[IDENT_P] الي هنا.,,
derog_neg_emote_h,7,,disdain,I have so much disdain for these [IDENT_P].,hateful,لدي الكثير من الازدراء لهذه [IDENT_P].,انا بتقرف اوي من ال[IDENT_P] دول.,,
derog_neg_emote_h,8,,hatred,I have so much hatred for you [IDENT_P].,hateful,لدي الكثير من الكراهية لك [IDENT_P].,انا بكرهكم خالص يا [IDENT_P].,,
derog_neg_emote_h,9,,sick,So sick of being around [IDENT_P] like you.,hateful,لقد سئمت من التواجد حول [IDENT_P] مثلك.,انا زهقت من ال[IDENT_P] متلك حوليا.,,
derog_neg_emote_h,10,,contempt,I feel nothing but contempt for [IDENT_P].,hateful,لا أشعر بشيء سوى الازدراء لـ [IDENT_P].,ما بحسش بحاجة تجاه ال[IDENT_P] غير الاستحقار.,,
derog_neg_emote_h,11,,disgust,These [IDENT_P] disgust me so much.,hateful,هؤلاء ال [IDENT_P] يثيرون اشمئزازي كثيرًا.,ال[IDENT_P] دول بيقرفوني.,,
derog_neg_emote_h,12,,worst,[IDENT_P] are the absolute worst.,hateful,[IDENT_P] هم الأسوأ على الإطلاق.,ال[IDENT_P] اسواء حاجة.,,
derog_neg_emote_h,13,,make sb. sick,You [IDENT_P] make me sick.,hateful,أنت [IDENT_P] تجعلني أشعر بالمرض.,انتو يا [IDENT_P] بتقرفوني.,,
derog_neg_emote_h,14,,worse,There is nothing worse than a [IDENT_S].,hateful,لا يوجد شيء أسوأ من [IDENT_S].,ما فيش حاجة اسواء من ال[IDENT_S].,,
derog_neg_emote_h,15,,angry,Seeing [IDENT_P] in this place makes me so angry.,hateful,إن رؤية [IDENT_P] في هذا المكان تجعلني غاضبًا جدًا.,مناظر ال[IDENT_P] في المكان دا بتعصبني.,,
