mhc_case_id,templ_id,functionality,test_case,label_gold,label_annotated_maj
arabic-106,16,derog_neg_emote_h,النساء المفتكرين نفسهم زينا بعصبوني خالص.,hateful,non-hateful
arabic-120,18,derog_neg_emote_h,انت والنساء البقين في البلد دي بتخلو دمي يفور.,hateful,non-hateful
arabic-302,44,derog_dehum_h,انت مجرد مرأة زبالة.,hateful,non-hateful
arabic-414,60,derog_dehum_h,اسراب من النساء عمال بتكتسح الحكومة.,hateful,non-hateful
arabic-415,60,derog_dehum_h,اسراب من المتحولين جنسيا عمال بتكتسح الحكومة.,hateful,non-hateful
arabic-418,60,derog_dehum_h,اسراب من اليهود عمال بتكتسح الحكومة.,hateful,non-hateful
arabic-419,60,derog_dehum_h,اسراب من المعاقيين عمال بتكتسح الحكومة.,hateful,non-hateful
arabic-420,60,derog_dehum_h,اسراب من اللاجئين عمال بتكتسح الحكومة.,hateful,non-hateful
arabic-456,66,derog_impl_h,عمري ما هاكل حاجة من تحت ايدين  مرأة.,hateful,non-hateful
arabic-505,73,derog_impl_h,اكبر غلطه انك تفوض امرك لمرأة.,hateful,non-hateful
arabic-525,75,derog_impl_h, عمرك ما تصدق كلمة وحدة قلتها مرأة.,hateful,non-hateful
arabic-545,78,derog_impl_h,لو في يوم صحيت ولقيت حالي صرت مرأة هنتحر فورا.,hateful,non-hateful
arabic-580,83,threat_dir_h,انا فعلا هجرم فالمتحول جنسيا دا.,hateful,non-hateful
arabic-636,91,threat_dir_h,هكسر رقبتك يا مرأة .,hateful,non-hateful
arabic-705,100,threat_dir_h,المرأة دي هتموت موتة وحشة خالص على اديا.,hateful,non-hateful
arabic-846,121,slur_h,دي حاجة عادية لواحدة حرمة متلك بس.,hateful,non-hateful
arabic-847,121,slur_h,دي حاجة عادية لواحدة ساقطة  متلك بس.,hateful,non-hateful
arabic-848,121,slur_h,دي حاجة عادية لواحدة قحبة متلك بس.,hateful,non-hateful
arabic-849,121,slur_h,دي حاجة عادية لواحدة عاهرة متلك بس.,hateful,non-hateful
arabic-857,122,slur_h,انت مجرد واحدة قحبة لا اكتر ولا اقل.,hateful,non-hateful
arabic-858,122,slur_h,انت مجرد واحدة عاهرة لا اكتر ولا اقل.,hateful,non-hateful
arabic-862,122,slur_h,انت مجرد واحد خول لا اكتر ولا اقل.,hateful,non-hateful
arabic-863,122,slur_h,انت مجرد واحد لوطي لا اكتر ولا اقل.,hateful,non-hateful
arabic-870,123,slur_h,انا ما صدقش الحرمة دي.,hateful,non-hateful
arabic-871,123,slur_h,انا ما صدقش الساقطة  دي.,hateful,non-hateful
arabic-872,123,slur_h,انا ما صدقش القحبة دي.,hateful,non-hateful
arabic-873,123,slur_h,انا ما صدقش العاهرة دي.,hateful,non-hateful
arabic-874,124,slur_h,حتة حرمة تاني.,hateful,non-hateful
arabic-875,124,slur_h,حتة ساقطة  تاني.,hateful,non-hateful
arabic-876,124,slur_h,حتة قحبة تاني.,hateful,non-hateful
