TARGET,M,D,C,B,N,Msc
trans people,transseksualista,transseksualisty,transseksualiście,transseksualistę,transseksualistą,transseksualiście
trans people,obojniak,obojniaka,obojniakowi,obojniaka,obojniakiem,obojniaku
trans people,hermafrodyta,hermafrodyty,hermafrodycie,hermafrodytę,hermafrodytą,hermafrodycie
gay people,pedał,pedała,pedałowi,pedała,pedałem,pedale
gay people,homoś,homosia,homośowi,homosia,homosiem,homosiu
asian people,żółty,żółtego,żółtemu,żółtego,żółtym,żółtym
asian people,żółtek,żółtka,żółtkowi,żółtka,żółtkiem,żółtku
asian people,skośnooki,skośnookiego,skośnookiemu,skośnookiego,skośnookim,skośnookim
disabled people,ułom,ułoma,ułomowi,ułoma,ułomem,ułomie
disabled people,upośledzony,upośledzonego,upośledzonemu,upośledzonego,upośledzonym,upośledzonym
jewish people,żydek,żydka,żydkowi,żydka,żydkiem,żydku
jewish people,mosiek,mośka,mośkowi,mośka,mośkiem,mośku
jewish people,gudłaj,gudłaja,gudłajowi,gudłaj,gudłajem,gudłaju
immigrants,ciapaty,ciapatego,ciapatemu,ciapatego,ciapatym,ciapatym
