mhc_case_id,functionality,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
arabic-1,derog_neg_emote_h,انا بكره النساء.,hateful,women,,,1,انا بكره ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-2,derog_neg_emote_h,انا بكره المتحولين جنسيا.,hateful,trans people,,,1,انا بكره ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-3,derog_neg_emote_h,انا بكره المثلين.,hateful,gay people,,,1,انا بكره ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-4,derog_neg_emote_h,انا بكره السود.,hateful,black people,,,1,انا بكره ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-5,derog_neg_emote_h,انا بكره اليهود.,hateful,Jews,,,1,انا بكره ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-6,derog_neg_emote_h,انا بكره المعاقيين.,hateful,disabled people,,,1,انا بكره ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-7,derog_neg_emote_h,انا بكره اللاجئين.,hateful,immigrants,,,1,انا بكره ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-8,derog_neg_emote_h,انا ما بطقش النساء الي زيك.,hateful,women,,,2,انا ما بطقش ال[IDENT_P] الي زيك.,,,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
arabic-9,derog_neg_emote_h,انا ما بطقش المتحولين جنسيا الي زيك.,hateful,trans people,,,2,انا ما بطقش ال[IDENT_P] الي زيك.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-10,derog_neg_emote_h,انا ما بطقش المثلين الي زيك.,hateful,gay people,,,2,انا ما بطقش ال[IDENT_P] الي زيك.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-11,derog_neg_emote_h,انا ما بطقش السود الي زيك.,hateful,black people,,,2,انا ما بطقش ال[IDENT_P] الي زيك.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-12,derog_neg_emote_h,انا ما بطقش اليهود الي زيك.,hateful,Jews,,,2,انا ما بطقش ال[IDENT_P] الي زيك.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-13,derog_neg_emote_h,انا ما بطقش المعاقيين الي زيك.,hateful,disabled people,,,2,انا ما بطقش ال[IDENT_P] الي زيك.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-14,derog_neg_emote_h,انا ما بطقش اللاجئين الي زيك.,hateful,immigrants,,,2,انا ما بطقش ال[IDENT_P] الي زيك.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-15,derog_neg_emote_h,انا بستحقر النساء.,hateful,women,,,3,انا بستحقر ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-16,derog_neg_emote_h,انا بستحقر المتحولين جنسيا.,hateful,trans people,,,3,انا بستحقر ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-17,derog_neg_emote_h,انا بستحقر المثلين.,hateful,gay people,,,3,انا بستحقر ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-18,derog_neg_emote_h,انا بستحقر السود.,hateful,black people,,,3,انا بستحقر ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-19,derog_neg_emote_h,انا بستحقر اليهود.,hateful,Jews,,,3,انا بستحقر ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-20,derog_neg_emote_h,انا بستحقر المعاقيين.,hateful,disabled people,,,3,انا بستحقر ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-21,derog_neg_emote_h,انا بستحقر اللاجئين.,hateful,immigrants,,,3,انا بستحقر ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-22,derog_neg_emote_h,انا بمقت النساء.,hateful,women,,,4,انا بمقت ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-23,derog_neg_emote_h,انا بمقت المتحولين جنسيا.,hateful,trans people,,,4,انا بمقت ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-24,derog_neg_emote_h,انا بمقت المثلين.,hateful,gay people,,,4,انا بمقت ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-25,derog_neg_emote_h,انا بمقت السود.,hateful,black people,,,4,انا بمقت ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-26,derog_neg_emote_h,انا بمقت اليهود.,hateful,Jews,,,4,انا بمقت ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-27,derog_neg_emote_h,انا بمقت المعاقيين.,hateful,disabled people,,,4,انا بمقت ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-28,derog_neg_emote_h,انا بمقت اللاجئين.,hateful,immigrants,,,4,انا بمقت ال[IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
arabic-29,derog_neg_emote_h,انا بكره النساء خالص.,hateful,women,,,5,انا بكره ال[IDENT_P] خالص.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
