functionality,templ_id,ref_templ_id,focus_lemma,case_templ,label_gold,trans_deepl,trans_google,trans_manual
derog_neg_emote_h,1,,hate,I hate[IDENT_P].,hateful,我讨厌[IDENT_P]。,我讨厌[IDENT_P]。,我恨[IDENT_P]。
derog_neg_emote_h,2,,can't stand,I really can't stand[IDENT_P]like you.,hateful,我真的无法忍受你这样的[IDENT_P]。,我真的受不了你这样的[IDENT_P]。,我真的受不了你这样的[IDENT_P]。
derog_neg_emote_h,3,,despise,I despise[IDENT_P].,hateful,我鄙视[IDENT_P]。,我鄙视[IDENT_P]。,我藐视[IDENT_P]。
derog_neg_emote_h,4,,detest,I detest[IDENT_P].,hateful,我讨厌[IDENT_P]。,我讨厌[IDENT_P]。,我讨厌[IDENT_P]。
derog_neg_emote_h,5,,loathe,I absolutely loathe[IDENT_P].,hateful,我绝对厌恶[IDENT_P]。,我绝对讨厌[IDENT_P]。,我极度厌恶[IDENT_P]。
derog_neg_emote_h,6,,disgusted,Disgusted by all the[IDENT_P]around here.,hateful,对这里的所有[IDENT_P]感到厌恶。,对这里所有的[IDENT_P]感到厌恶。,这里所有的[IDENT_P]让我恶心。
derog_neg_emote_h,7,,disdain,I have so much disdain for these[IDENT_P].,hateful,我对这些[IDENT_P]有太多的不屑。,我非常鄙视这些[IDENT_P]。,我对这些[IDENT_P]充满鄙视。 
derog_neg_emote_h,8,,hatred,I have so much hatred for you[IDENT_P].,hateful,我对你[IDENT_P]有太多的憎恨。,我非常讨厌你[IDENT_P]。,我对你们[IDENT_P]充满仇恨。
derog_neg_emote_h,9,,sick,So sick of being around[IDENT_P]like you.,hateful,非常厌恶与你这样的[IDENT_P]为伍。,真讨厌像你一样在[IDENT_P]身边。,和你这样的[IDENT_P]共处真让我难受。
derog_neg_emote_h,10,,contempt,I feel nothing but contempt for[IDENT_P].,hateful,我对[IDENT_P]只有蔑视的感觉。,我对[IDENT_P]的感觉只有蔑视。,我对[IDENT_P]的感觉只有蔑视。
derog_neg_emote_h,11,,disgust,These[IDENT_P]disgust me so much.,hateful,这些[IDENT_P]让我非常厌恶。,这些[IDENT_P]让我非常反感。,这些[IDENT_P]让我恶心。
derog_neg_emote_h,12,,worst,[IDENT_P]are the absolute worst.,hateful,[IDENT_P]是绝对最糟糕的。,[IDENT_P]绝对是最糟糕的。,[IDENT_P]绝对是最糟糕的。
derog_neg_emote_h,13,,make sb. sick,You[IDENT_P]make me sick.,hateful,你[IDENT_P]让我恶心。,你[IDENT_P]让我恶心。,你们[IDENT_P]让我反胃。
derog_neg_emote_h,14,,worse,There is nothing worse than a[IDENT_S].,hateful,没有什么比[IDENT_S]更糟糕的了。,没有什么比[IDENT_S]更糟糕的了。,没有什么比[IDENT_S]更糟糕的了。
derog_neg_emote_h,15,,angry,Seeing[IDENT_P]in this place makes me so angry.,hateful,看到[IDENT_P]在这个地方让我非常生气。,在这个地方看到[IDENT_P]让我很生气。,在这个地方看到[IDENT_P]让我很生气。
derog_neg_emote_h,16,,rage,[IDENT_P]who think they are my equal fill me with so much rage.,hateful,[IDENT_P]自以为是的人让我充满了愤怒。,[IDENT_P]认为他们与我平等的人让我非常愤怒。,自以为与我平等的[IDENT_P]让我非常气愤。
derog_neg_emote_h,17,,furious,[IDENT_P]like you make me furious.,hateful,[IDENT_P]像你这样的人让我很生气。,[IDENT_P]喜欢你让我生气。,你这样的[IDENT_P]总是会激怒我。
derog_neg_emote_h,18,,anger,You and all the other[IDENT_P]in this country make me boil with anger.,hateful,,,你和所有其他[IDENT_P]让我愤愤不平。
derog_neg_emote_h,19,,scorn,The utter scorn I feel for[IDENT_P]is hard to to put into words.,hateful,我对[IDENT_P]的彻底蔑视是难以用言语表达的。,我对[IDENT_P]的极度蔑视很难用语言表达。,我对[IDENT_P]的不屑很难用语言表达。
derog_neg_emote_h,20,,abhor,I absolutely abhor all[IDENT_P].,hateful,我绝对厌恶所有的[IDENT_P]。,我绝对厌恶所有[IDENT_P]。,我极度憎恶所有[IDENT_P]。
derog_neg_attrib_h,21,,disgusting,[IDENT_P]are disgusting.,hateful,[IDENT_P]是令人厌恶的。,[IDENT_P]很恶心。,[IDENT_P]令人恶心。
derog_neg_attrib_h,22,,repulsive,All[IDENT_P]are repulsive.,hateful,所有的[IDENT_P]都是排斥性的。,所有[IDENT_P]都是令人厌恶的。,所有[IDENT_P]都令人作呕。
derog_neg_attrib_h,23,,despicable,[IDENT_P]are absolutely despicable.,hateful,[IDENT_P]是绝对卑鄙的。,[IDENT_P]绝对是卑鄙的。,[IDENT_P]极度卑鄙。
derog_neg_attrib_h,24,,sickening,[IDENT_P]are just so sickening.,hateful,[IDENT_P]实在是太恶心了。,[IDENT_P]真是太恶心了。,[IDENT_P]真是太令人反胃了。
derog_neg_attrib_h,25,,revolting,[IDENT_P]can't stop themselves from being absolutely revolting.,hateful,[IDENT_P]无法阻止自己绝对的反感。,[IDENT_P]无法阻止自己绝对反感。,[IDENT_P]无法不令人十分反感。
derog_neg_attrib_h,26,,repugnant,[IDENT_P]like you are repugnant.,hateful,[IDENT_P]像你这样的人是令人讨厌的。,[IDENT_P]好像你很讨厌。,像你这样的[IDENT_P]令人厌烦。
derog_neg_attrib_h,27,,dishonest,You[IDENT_P]are all dishonest.,hateful,你们[IDENT_P]都是不诚实的。,你们[IDENT_P]都是不诚实的。,你们[IDENT_P]都不诚实。
derog_neg_attrib_h,28,,vile,All[IDENT_P]like them are vile.,hateful,所有像他们一样的[IDENT_P]都是卑鄙的。,像他们一样的所有[IDENT_P]都是卑鄙的。,像他们一样的所有[IDENT_P]都是下作的。
derog_neg_attrib_h,29,,pathetic,[IDENT_P]like you are just pathetic.,hateful,[IDENT_P]像你这样的人实在是太可怜了。,[IDENT_P]就像你只是可怜。,你这样的[IDENT_P]真可怜。
derog_neg_attrib_h,30,,threat,[IDENT_P]with any power are a threat to civilisation.,hateful,[IDENT_P]拥有任何权力都是对文明的威胁。,[IDENT_P]任何权力都是对文明的威胁。,拥有任何权力的[IDENT_P]都是对文明的威胁。
derog_neg_attrib_h,31,,danger,[IDENT_P]being in charge is a danger to our country.,hateful,,,[IDENT_P]掌权对人类来说是一种危险。
derog_neg_attrib_h,32,,uncivilised,It's in[IDENT_P]'s nature to be uncivilised.,hateful,不文明是[IDENT_P]的天性。,不文明是[IDENT_P]的天性。,不文明是[IDENT_P]的天性。
derog_neg_attrib_h,33,,"violent, cruel",Only[IDENT_P]are that violent and cruel.,hateful,只有[IDENT_P]才会如此暴力和残忍。,只有[IDENT_P]如此暴力和残忍。,只有[IDENT_P]才会如此暴力和残忍。
derog_neg_attrib_h,34,,ignorant,Only[IDENT_P]can be so ignorant.,hateful,只有[IDENT_P]才能如此无知。,只有[IDENT_P]会这么无知。,只有[IDENT_P]才会如此无知。
derog_neg_attrib_h,35,,filthy,No one else is as filthy as these[IDENT_P].,hateful,没有人像这些[IDENT_P]一样污秽。,没有其他人像这些[IDENT_P]一样肮脏。,没有人像这些[IDENT_P]一样肮脏。
derog_neg_attrib_h,36,,stupid,Typical of a[IDENT_S]to be that stupid.,hateful,典型的[IDENT_S]，如此愚蠢。,典型的[IDENT_S]是那么愚蠢。,[IDENT_S]这么傻很正常。
