TARGET,M,D,C,B,N,Msc
trans people,tr4nsseksualiści,tr4nsseksualistów,tr4nsseksualistom,tr4nsseksualistów,tr4nsseksualistami,tr4nsseksualistach
trans people,herm4frodyci,herm4frodytów,herm4frodytom,herm4frodytów,herm4frodytami,herm4frodytach
gay people,p3dały,p3dałów,p3dałom,p3dały,p3dał,p3dałach
gay people,h0mosie,h0mosiów,h0mosi,h0mosiów,h0mosiami,h0mosiach
asian people,ż0łci,ż0łtych,ż0łtym,ż0łtych,ż0łtymi,ż0łtych
asian people,sk0śnoocy,sk0śnookich,sk0śnookim,sk0śnookich,sk0śnookimi,sk0śnokich
disabled people,up0śledzeni,up0śledzonych,up0śledzonym,up0śledzonych,up0śledzonymi,up0śledzonych
jewish people,gudł4je,gudł4jów,gudł4jom,gudł4jów,gudł4jami,gudł4jach
immigrants,c1apaci,c1apatych,c1apatym,c1apatych,c1apatymi,c1apatych
women,szm4ty,szm4t,szm4tom,szm4ty,szm4tami,szm4tach
women,ku12wy,ku12ew,ku12wom,ku12wy,ku12wami,ku12wach
women,dz1wki,dz1wek,dz1wkom,dz1wki,dz1wkami,dz1wkach
gay people,c1oty,c1ot,c1ot,c1oty,c1otami,c1otach
disabled people,r0ślinki,r0ślinek,r0ślink,r0ślinki,r0ślinkami,r0ślinkach
trans people,ob0jniaki,ob0jniaków,ob0jniakom,ob0jniaki,ob0jniakami,ob0jniakach
asian people,ż0łtki,ż0łtków,ż0łtkom,ż0łtków,ż0łtkami,ż0łtkach
disabled people,uł0my,uł0mów,uł0m0m,uł0my,uł0mami,uł0mach
jewish people,2ydki,2ydków,2ydkom,2ydki,2ydkami,2ydkach
jewish people,m0śki,m0śków,m0śkom,m0śki,m0śkami,m0śkach
