_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3216282940,02/02/2022 14:26,6315356923,02/02/2022 14:26,hateful,,,arabic-2747,ده واحد ما بيسواش.,
3216282940,02/02/2022 14:43,6315374366,02/02/2022 14:43,hateful,,,arabic-2747,ده واحد ما بيسواش.,
3216282940,02/02/2022 14:47,6315377509,02/02/2022 14:44,non-hateful,,,arabic-2747,ده واحد ما بيسواش.,
3216282941,02/02/2022 14:29,6315359855,02/02/2022 14:27,hateful,,,arabic-731,امنيتي اشوف كل اليهود بيتضربو بالنار في الشوارع.,
3216282941,02/02/2022 15:40,6315425863,02/02/2022 15:36,hateful,,,arabic-731,امنيتي اشوف كل اليهود بيتضربو بالنار في الشوارع.,
3216282941,02/02/2022 15:47,6315430730,02/02/2022 15:46,hateful,,,arabic-731,امنيتي اشوف كل اليهود بيتضربو بالنار في الشوارع.,
3216282942,02/02/2022 14:33,6315363581,02/02/2022 14:30,non-hateful,,,arabic-1704,ما يصحش نتغاضى عن قتل اي مثلي ابدا.,
3216282942,02/02/2022 15:45,6315429960,02/02/2022 15:42,non-hateful,,,arabic-1704,ما يصحش نتغاضى عن قتل اي مثلي ابدا.,
3216282942,02/02/2022 15:48,6315432156,02/02/2022 15:48,non-hateful,,,arabic-1704,ما يصحش نتغاضى عن قتل اي مثلي ابدا.,
3216282943,02/02/2022 14:26,6315355915,02/02/2022 14:25,hateful,,,arabic-2827,دا مناسب للسواقين الحشرات الي زيك.,
3216282943,02/02/2022 14:42,6315372469,02/02/2022 14:41,hateful,,,arabic-2827,دا مناسب للسواقين الحشرات الي زيك.,
3216282943,02/02/2022 14:44,6315374800,02/02/2022 14:40,hateful,,,arabic-2827,دا مناسب للسواقين الحشرات الي زيك.,
3216282944,02/02/2022 14:30,6315360567,02/02/2022 14:29,non-hateful,,,arabic-2614,مش مقبول توصف الناس بالعاهرات.,
3216282944,02/02/2022 15:42,6315427752,02/02/2022 15:40,non-hateful,,,arabic-2614,مش مقبول توصف الناس بالعاهرات.,
3216282944,02/02/2022 15:48,6315431658,02/02/2022 15:47,non-hateful,,,arabic-2614,مش مقبول توصف الناس بالعاهرات.,
3216282945,02/02/2022 14:23,6315352791,02/02/2022 14:22,hateful,,,arabic-681,الاعدام هو الحل الوحيد لالسود دول.,
3216282945,02/02/2022 14:31,6315361479,02/02/2022 14:26,hateful,,,arabic-681,الاعدام هو الحل الوحيد لالسود دول.,
3216282945,02/02/2022 14:34,6315364643,02/02/2022 14:33,hateful,,,arabic-681,الاعدام هو الحل الوحيد لالسود دول.,
3216282946,02/02/2022 14:02,6315331326,02/02/2022 14:00,non-hateful,,,arabic-672,خلونا بس نخلص من كل المتحولين جنسيا.,
3216282946,02/02/2022 14:18,6315346882,02/02/2022 14:18,hateful,,,arabic-672,خلونا بس نخلص من كل المتحولين جنسيا.,
3216282946,02/02/2022 14:22,6315352188,02/02/2022 14:21,hateful,,,arabic-672,خلونا بس نخلص من كل المتحولين جنسيا.,
