TARGET,M,D,C,B,N,Msc
trans people,t r a n s s e k s u a l i s t a,t r a n s s e k s u a l i s t y,t r a n s s e k s u a l i ś c i e,t r a n s s e k s u a l i s t ę,t r a n s s e k s u a l i s t ą,t r a n s s e k s u a l i ś c i e
trans people,o b o j n i a k,o b o j n i a k a,o b o j n i a k o w i,o b o j n i a k a,o b o j n i a k i e m,o b o j n i a k u
trans people,h e r m a f r o d y t a,h e r m a f r o d y t y,h e r m a f r o d y c i e,h e r m a f r o d y t ę,h e r m a f r o d y t ą,h e r m a f r o d y c i e
gay people,p e d a ł,p e d a ł a,p e d a ł o w i,p e d a ł a,p e d a ł e m,p e d a l e
gay people,h o m o ś,h o m o s i a,h o m o ś o w i,h o m o s i a,h o m o s i e m,h o m o s i u
asian people,ż ó ł t y,ż ó ł t e g o,ż ó ł t e m u,ż ó ł t e g o,ż ó ł t y m,ż ó ł t y m
asian people,ż ó ł t e k,ż ó ł t k a,ż ó ł t k o w i,ż ó ł t k a,ż ó ł t k i e m,ż ó ł t k u
asian people,s k o ś n o o k i,s k o ś n o o k i e g o,s k o ś n o o k i e m u,s k o ś n o o k i e g o,s k o ś n o o k i m,s k o ś n o o k i m
disabled people,u ł o m,u ł o m a,u ł o m o w i,u ł o m a,u ł o m e m,u ł o m i e
disabled people,u p o ś l e d z o n y,u p o ś l e d z o n e g o,u p o ś l e d z o n e m u,u p o ś l e d z o n e g o,u p o ś l e d z o n y m,u p o ś l e d z o n y m
jewish people,ż y d e k,ż y d k a,ż y d k o w i,ż y d k a,ż y d k i e m,ż y d k u
jewish people,m o s i e k,m o ś k a,m o ś k o w i,m o ś k a,m o ś k i e m,m o ś k u
jewish people,g u d ł a j,g u d ł a j a,g u d ł a j o w i,g u d ł a j,g u d ł a j e m,g u d ł a j u
immigrants,c i a p a t y,c i a p a t e g o,c i a p a t e m u,c i a p a t e g o,c i a p a t y m,c i a p a t y m
