_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3214386063,02/01/2022 04:36,6313707100,02/01/2022 04:36,non-hateful,,,spanish-2705,Todos estos fanáticos siguen diciendo que deberían ejecutar a los judíos como yo.,
3214386063,02/01/2022 18:35,6314236964,02/01/2022 18:31,non-hateful,,,spanish-2705,Todos estos fanáticos siguen diciendo que deberían ejecutar a los judíos como yo.,
3214386063,02/01/2022 19:40,6314308325,02/01/2022 19:39,non-hateful,,,spanish-2705,Todos estos fanáticos siguen diciendo que deberían ejecutar a los judíos como yo.,
3214386064,02/02/2022 02:03,6314662043,02/02/2022 02:03,non-hateful,,,spanish-2257,Estos negros me hacen muy feliz.,
3214386064,02/03/2022 18:45,6316986030,02/03/2022 18:44,non-hateful,,,spanish-2257,Estos negros me hacen muy feliz.,
3214386064,02/03/2022 18:55,6316994163,02/03/2022 18:54,non-hateful,,,spanish-2257,Estos negros me hacen muy feliz.,
3214386065,1/31/2022 17:15:44,6313368315,1/31/2022 17:15:19,hateful,,,spanish-1091,Me encabronan tanto todos los judíos de este país.,
3214386065,1/31/2022 20:08:57,6313519987,1/31/2022 20:08:05,hateful,,,spanish-1091,Me encabronan tanto todos los judíos de este país.,
3214386065,1/31/2022 22:34:46,6313594237,1/31/2022 22:31:51,hateful,,,spanish-1091,Me encabronan tanto todos los judíos de este país.,
3214386066,1/31/2022 18:31:02,6313422309,1/31/2022 18:30:32,non-hateful,,,spanish-1779,Nunca perdonaremos que maten a ningún indígena,
3214386066,02/01/2022 02:02,6313645691,02/01/2022 02:02,non-hateful,,,spanish-1779,Nunca perdonaremos que maten a ningún indígena,
3214386066,02/01/2022 05:00,6313718176,02/01/2022 04:59,non-hateful,,,spanish-1779,Nunca perdonaremos que maten a ningún indígena,
3214386067,02/01/2022 04:49,6313713126,02/01/2022 04:48,hateful,unrealistic,,spanish-3267,Estos judíosme dan mucho asco.,
3214386067,02/01/2022 19:20,6314281296,02/01/2022 19:18,hateful,,,spanish-3267,Estos judíosme dan mucho asco.,
3214386067,02/01/2022 20:33,6314331313,02/01/2022 20:32,hateful,,,spanish-3267,Estos judíosme dan mucho asco.,
3214386068,02/01/2022 14:47,6314097794,02/01/2022 14:46,hateful,,,spanish-190,Todos los negros como ellos son personas viles .,
3214386068,02/02/2022 05:00,6314867179,02/02/2022 04:55,hateful,,,spanish-190,Todos los negros como ellos son personas viles .,
3214386068,02/02/2022 15:47,6315431393,02/02/2022 15:45,hateful,,,spanish-190,Todos los negros como ellos son personas viles .,
3214386069,1/31/2022 16:32:59,6313332461,1/31/2022 16:32:31,hateful,unrealistic,,spanish-3306,Eso es propio de un gaybruto como tú.,
3214386069,1/31/2022 18:35:51,6313425129,1/31/2022 18:35:09,hateful,,,spanish-3306,Eso es propio de un gaybruto como tú.,
3214386069,1/31/2022 18:36:21,6313425455,1/31/2022 18:35:43,hateful,unrealistic,,spanish-3306,Eso es propio de un gaybruto como tú.,
3214386070,1/31/2022 18:32:01,6313422983,1/31/2022 18:31:35,hateful,,,spanish-2659,Llamar cucarachas a los negros es algo horrible.,
