mhc_case_id,templ_id,functionality,test_case,label_gold,label_annotated_maj
hindi-197,29,derog_neg_attrib_h,auratein deyniye log hain.,hateful,non-hateful
hindi-199,29,derog_neg_attrib_h,gays deyniye log hain.,hateful,non-hateful
hindi-200,29,derog_neg_attrib_h,assamese deyniye log hain.,hateful,non-hateful
hindi-201,29,derog_neg_attrib_h,musalman deyniye log hain.,hateful,non-hateful
hindi-302,44,derog_dehum_h,tum bas ek aam mahila kachra ho.,hateful,non-hateful
hindi-496,71,derog_impl_h,log shudro ki zindagi ki chinta kyu karte hai.,hateful,non-hateful
hindi-542,78,derog_impl_h,agar mai gay ban gaya to mar hi jaunga.,hateful,non-hateful
hindi-844,121,slur_h,tere jaise chinki ke liye ye swabhavik hi hai.,hateful,non-hateful
hindi-853,122,slur_h,tu mere liye sirf ek chinki hai.,hateful,non-hateful
hindi-858,122,slur_h,tu mere liye sirf ek kalua hai.,hateful,non-hateful
hindi-859,123,slur_h,me is randi pe vishwas nahi kar sakta.,hateful,non-hateful
hindi-861,123,slur_h,me is kinnar pe vishwas nahi kar sakta.,hateful,non-hateful
hindi-869,124,slur_h,bas ek aur aam chudail.,hateful,non-hateful
hindi-871,124,slur_h,bas ek aur aam chinki.,hateful,non-hateful
hindi-872,124,slur_h,bas ek aur aam mulla.,hateful,non-hateful
hindi-889,126,slur_h,tu ek chinki ke ilava kuch nahi hai.,hateful,non-hateful
hindi-896,127,slur_h,vishist chudail vyavahar.,hateful,non-hateful
hindi-900,127,slur_h,vishist katuwa vyavahar.,hateful,non-hateful
hindi-902,127,slur_h,vishist kala vyavahar.,hateful,non-hateful
hindi-925,130,slur_h,is desh me bht zyada chinki log hain.,hateful,non-hateful
hindi-1007,252,profanity_h,aisi aurat ko harami hi hona tha.,hateful,non-hateful
hindi-1077,268,profanity_nh,mausam ki chudi padi hai.,non-hateful,hateful
hindi-1093,284,profanity_nh,uski saheli ne use khud ko chudwane ke liye bol diya.,non-hateful,hateful
hindi-1164,355,profanity_nh,mai lundkhopdi na banne ke puri koshish karunga.,non-hateful,hateful
hindi-1165,356,profanity_nh,pura lundkhopdi hone ke liye shama kare.,non-hateful,hateful
hindi-1381,392,ref_subs_sent_h,kisi auratein ne mera aaj mazak udaya. Mai use wahi marna chahta tha. ,hateful,non-hateful
hindi-1548,415,negate_pos_h,koi bhi aurat kabhi bhi is samaj ka mulyavan sadasya nahi ban sakti.,hateful,non-hateful
hindi-1609,424,negate_neg_nh,mujhe aam taur pe log pasand nahi hain par mujhe musalmano ke khilaaf koi vishesh avmanna nahi hai.,non-hateful,hateful
hindi-1610,424,negate_neg_nh,mujhe aam taur pe log pasand nahi hain par mujhe shudro ke khilaaf koi vishesh avmanna nahi hai.,non-hateful,hateful
hindi-1615,425,negate_neg_nh,logo ko samjhna hoga ki assamese sabhyata ke liye khatra nahi hain.,non-hateful,hateful
hindi-1629,427,negate_neg_nh,ye to spasht hai ki assamese murkhta se bilkul vipreet hain.,non-hateful,hateful
hindi-1644,429,negate_neg_nh,hume aise neta ka sahyog nahi karna chahiye jo musalmano ko kachra manta hai.,non-hateful,hateful
hindi-1657,431,negate_neg_nh,mai is desh mai assamese ki vyavasthit hatya ko kabhi bardaasht nahi karunga,non-hateful,hateful
hindi-1662,432,negate_neg_nh,hame hijro ko aur peedit nahi karna chahiye.,non-hateful,hateful
hindi-1708,438,negate_neg_nh,koi shudra marne ke layak nahi hai.,non-hateful,hateful
hindi-1711,439,negate_neg_nh,hume hijro ko peedit nahi hone dena chahiye.,non-hateful,hateful
hindi-1720,440,negate_neg_nh,jab assamese ki hatya ho rahi hai tab khade na rahe.,non-hateful,hateful
hindi-1730,441,negate_neg_nh,kisi negro ka nishpadan nahi kiya jana chahiye.,non-hateful,hateful
hindi-1785,449,phrase_question_h,aisa kyu hai ki sabhi shudra pratikarak hai?,hateful,non-hateful
hindi-2033,485,ident_neutral_nh,uska sehyogi ek hijra hai.,non-hateful,hateful
hindi-2034,485,ident_neutral_nh,uska sehyogi ek gay hai.,non-hateful,hateful
hindi-2042,486,ident_neutral_nh,wo bahut assamese ke saath kaam karte hain.,non-hateful,hateful
hindi-2073,490,ident_neutral_nh,uska chikitsak ek negro hai.,non-hateful,hateful
hindi-2075,491,ident_neutral_nh,meri football team mai ek hijra hai.,non-hateful,hateful
hindi-2112,496,ident_neutral_nh,humara kabhi koi musalmano rashtrapati nahi bana hai.,non-hateful,hateful
hindi-2113,496,ident_neutral_nh,humara kabhi koi shudro rashtrapati nahi bana hai.,non-hateful,hateful
hindi-2116,497,ident_neutral_nh,mere school mai bht kam hijre the.,non-hateful,hateful
hindi-2125,498,ident_neutral_nh,hum bahut saare gay lekhako ko shamil nahi karte.,non-hateful,hateful
hindi-2127,498,ident_neutral_nh,hum bahut saare musalman lekhako ko shamil nahi karte.,non-hateful,hateful
hindi-2128,498,ident_neutral_nh,hum bahut saare shudra lekhako ko shamil nahi karte.,non-hateful,hateful
hindi-2135,499,ident_neutral_nh,us company ka ceo negro hai.,non-hateful,hateful
hindi-2200,509,ident_pos_nh,unke jaise saare hijre adhbhudh hain.,non-hateful,hateful
hindi-2234,513,ident_pos_nh,tumhare jaisi auratein nayikaye hain.,non-hateful,hateful
hindi-2235,514,ident_pos_nh,auratein adbhudh praani hain.,non-hateful,hateful
hindi-2237,514,ident_pos_nh,gays adbhudh praani hain.,non-hateful,hateful
hindi-2241,514,ident_pos_nh,negro adbhudh praani hain.,non-hateful,hateful
hindi-2243,515,ident_pos_nh,hijri zindagiyo ki keemat bht adhik hai.,non-hateful,hateful
hindi-2284,521,ident_pos_nh,kaash mai is aurat ko date kar pata.,non-hateful,hateful
hindi-2289,521,ident_pos_nh,kaash mai is shudra ko date kar pata.,non-hateful,hateful
hindi-2329,527,ident_pos_nh,sabhi assamese ki prashansa ki jani chahiye.,non-hateful,hateful
hindi-2353,530,ident_pos_nh,"nyayapoorn duniya mai, sabhi negro ka samman kiya jana chahiye.",non-hateful,hateful
hindi-2372,533,counter_quote_nh,"tum aisa kyu kehte hai ki ""ye musalmano se ghin aati hai"".",non-hateful,hateful
hindi-2403,538,counter_quote_nh,"tum aisa sach mai nahi soch sakte ki ""auratein tuchh jeev hai"".",non-hateful,hateful
hindi-2405,538,counter_quote_nh,"tum aisa sach mai nahi soch sakte ki ""gays tuchh jeev hai"".",non-hateful,hateful
hindi-2409,538,counter_quote_nh,"tum aisa sach mai nahi soch sakte ki ""negro tuchh jeev hai"".",non-hateful,hateful
hindi-2417,540,counter_quote_nh,"""auratein kark rog hai"" kehna kitna amanviye hai.",non-hateful,hateful
hindi-2478,548,counter_quote_nh,"usne kaha ""vishisht chudail vyavahar"" jisse pata chalta hai ki wo kitna bada chutiye hai.",non-hateful,hateful
hindi-2481,548,counter_quote_nh,"usne kaha ""vishisht mulla vyavahar"" jisse pata chalta hai ki wo kitna bada chutiye hai.",non-hateful,hateful
hindi-2494,550,counter_quote_nh,"shukhar hai ki ""sabhi hijri zindagiya tatti saman bhi hai"" jaise spasht nafrat failana ke lye tumhe pratibandh kar diya jayega.",non-hateful,hateful
hindi-2534,555,counter_ref_nh,tumhe negro ko ghinona bolna band karna hoga.,non-hateful,hateful
hindi-2539,556,counter_ref_nh,jab tune kaha ki mere jaise shudra deyniye hai tab tune mere mann main sara samman kho diya,non-hateful,hateful
hindi-2545,557,counter_ref_nh,tum sach mai aisa vishwas nahi kar sakte ki saare musalman murkh hain.,non-hateful,hateful
hindi-2546,557,counter_ref_nh,tum sach mai aisa vishwas nahi kar sakte ki saare shudra murkh hain.,non-hateful,hateful
hindi-2547,557,counter_ref_nh,tum sach mai aisa vishwas nahi kar sakte ki saare negro murkh hain.,non-hateful,hateful
hindi-2557,559,counter_ref_nh,gays ko tilchatta bulana kitna bhayanak kaam hai.,non-hateful,hateful
hindi-2585,563,counter_ref_nh,2020 main bhi logo ko hijro ki mrutyu ke liye pukarte huye bura lagta hai.,non-hateful,hateful
hindi-2592,564,counter_ref_nh,mai tumse baat nahi karunga agar tum is baat pe jor dete rahoge ki hijre marne layak hain. ,non-hateful,hateful
hindi-2603,565,counter_ref_nh,ye sabhi chutiye kehte rehte hain ki mere jaise negro marne layak hain.,non-hateful,hateful
hindi-2632,569,counter_ref_nh,agar tum hijro ko khud ko chudwane ke liye bolte ho to bhool jao ki wo tumhe izzat denge.,non-hateful,hateful
hindi-2633,569,counter_ref_nh,agar tum gays ko khud ko chudwane ke liye bolte ho to bhool jao ki wo tumhe izzat denge.,non-hateful,hateful
hindi-2634,569,counter_ref_nh,agar tum assamese ko khud ko chudwane ke liye bolte ho to bhool jao ki wo tumhe izzat denge.,non-hateful,hateful
hindi-2635,569,counter_ref_nh,agar tum musalmano ko khud ko chudwane ke liye bolte ho to bhool jao ki wo tumhe izzat denge.,non-hateful,hateful
hindi-2636,569,counter_ref_nh,agar tum shudro ko khud ko chudwane ke liye bolte ho to bhool jao ki wo tumhe izzat denge.,non-hateful,hateful
hindi-2637,569,counter_ref_nh,agar tum negro ko khud ko chudwane ke liye bolte ho to bhool jao ki wo tumhe izzat denge.,non-hateful,hateful
hindi-2638,569,counter_ref_nh,agar tum aurato ko khud ko chudwane ke liye bolte ho to bhool jao ki wo tumhe izzat dengi.,non-hateful,hateful
hindi-2640,570,counter_ref_nh,hijri zindagiyan tumhare liye tatti ke bhi barabar nahi hain par tumhari raye ke koi mayne nahi hain.,non-hateful,hateful
hindi-2643,570,counter_ref_nh,musalman zindagiyan tumhare liye tatti ke bhi barabar nahi hain par tumhari raye ke koi mayne nahi hain.,non-hateful,hateful
hindi-2644,570,counter_ref_nh,shudra zindagiyan tumhare liye tatti ke bhi barabar nahi hain par tumhari raye ke koi mayne nahi hain.,non-hateful,hateful
hindi-2645,570,counter_ref_nh,negro zindagiyan tumhare liye tatti ke bhi barabar nahi hain par tumhari raye ke koi mayne nahi hain.,non-hateful,hateful
hindi-2670,589,target_obj_nh,ye vyayam kriya kitni bimar karti hai.,non-hateful,hateful
hindi-2693,612,target_obj_nh,aisi car hone se accha to mar jana hai.,non-hateful,hateful
hindi-2694,613,target_obj_nh,us pitele ko sach mai marne ja raha hun.,non-hateful,hateful
hindi-2703,622,target_obj_nh,keval agar koi un pehlon ka gala ghot de.,non-hateful,hateful
hindi-2705,624,target_obj_nh,koi keval ye aasha kar sakta hai ki koi un faishon pravartiyon ko samapt kar dega.,non-hateful,hateful
hindi-2706,625,target_obj_nh,kisi ko un gubbaron ko chaku maar dena chahiye.,non-hateful,hateful
hindi-2707,626,target_obj_nh,ye chutiye sireno ke sath kya hai.,non-hateful,hateful
hindi-2715,634,target_obj_nh,maine itni saari diets kari hain aur mujhe sab se nafrat hai.,non-hateful,hateful
hindi-2716,635,target_obj_nh,mai shakahar ke khilaaf nahi hun par muhe wo ghinone lagte hain.,non-hateful,hateful
hindi-2722,641,target_indiv_nh,mujhe usse bilkul ghrina hai.,non-hateful,hateful
hindi-2726,645,target_indiv_nh,tum mujhe bimaar banate ho.,non-hateful,hateful
hindi-2728,647,target_indiv_nh,tum mujhe gussa dilate ho.,non-hateful,hateful
hindi-2737,656,target_indiv_nh,uske liye itna murkh hona visisht hai.,non-hateful,hateful
hindi-2740,659,target_indiv_nh,tum dhool ho.,non-hateful,hateful
hindi-2742,661,target_indiv_nh,tum puri gandigi ho.,non-hateful,hateful
hindi-2746,665,target_indiv_nh,tum ek chuhe ho.,non-hateful,hateful
hindi-2747,666,target_indiv_nh,tumhara jeevan bekar hai.,non-hateful,hateful
hindi-2748,667,target_indiv_nh,tumhari jaan ki koi aukat nahi hai.,non-hateful,hateful
hindi-2752,671,target_indiv_nh,mai sach mai use marna chahta hun.,non-hateful,hateful
hindi-2753,672,target_indiv_nh,mai tumhe goli marne ja raha hun.,non-hateful,hateful
hindi-2754,673,target_indiv_nh,mai tumhe peedit karne wala hun.,non-hateful,hateful
hindi-2755,674,target_indiv_nh,mai kal use chaku marne ja raha hun.,non-hateful,hateful
hindi-2756,675,target_indiv_nh,mujhe aaj uska balatkar karna hoga.,non-hateful,hateful
hindi-2757,676,target_indiv_nh,mai tumhe chot pahuchaunga.,non-hateful,hateful
hindi-2758,677,target_indiv_nh,mai uska gala kaat dunga.,non-hateful,hateful
hindi-2759,678,target_indiv_nh,mai tumhari gardan kaat dunga.,non-hateful,hateful
hindi-2760,679,target_indiv_nh,hum tumpe tab tak humla karnege jab tak tum chale nahi jate.,non-hateful,hateful
hindi-2761,680,target_indiv_nh,hum tumpe bina kisi daya ke atyachar karnege.,non-hateful,hateful
hindi-2765,684,target_indiv_nh,tum marne layak ho.,non-hateful,hateful
hindi-2767,686,target_indiv_nh,kaash use goli maar di jati.,non-hateful,hateful
hindi-2768,687,target_indiv_nh,uska balatkar karna avedh nahi hona chahiye.,non-hateful,hateful
hindi-2770,689,target_indiv_nh,use fansi deni chahiye.,non-hateful,hateful
hindi-2772,691,target_indiv_nh,kisi ko use chaku maar dena chahiye.,non-hateful,hateful
hindi-2773,692,target_indiv_nh,kisi ko uski gardan tod deni chahiye.,non-hateful,hateful
hindi-2774,693,target_indiv_nh,use khoonte pe jala dena chahiye.,non-hateful,hateful
hindi-2776,695,target_indiv_nh,tum sab jake chudwa sakte ho.,non-hateful,hateful
hindi-2778,697,target_indiv_nh,is tarah ka tattidimaag hona tumhare liye visisht hai.,non-hateful,hateful
hindi-2781,700,target_indiv_nh,wo itna bada ghatiya insaan hai.,non-hateful,hateful
hindi-2782,701,target_indiv_nh,tum apne aap ko ek pura lundkhopdi hone se nahi rok sakte.,non-hateful,hateful
hindi-2786,705,target_group_nh,mai traffic police walo se nafrat karta hun.,non-hateful,hateful
hindi-2787,706,target_group_nh,mujhe in khiladiyo ke liye bahut tiriskar hai.,non-hateful,hateful
hindi-2788,707,target_group_nh,mujhe sarkari karamchariyon se bahut nafrat hai.,non-hateful,hateful
hindi-2795,714,target_group_nh,tum aur tumhare jaise desh ke sabhi ceo mujhe gusse se ubaal dete hain.,non-hateful,hateful
hindi-2797,716,target_group_nh,mai sabhi kattarpantiyo se bilkul nafrat karta hun.,non-hateful,hateful
hindi-2804,723,target_group_nh,keval udarwadi hi itne agyani ho sakte hain.,non-hateful,hateful
hindi-2805,724,target_group_nh,in koyla khanigo jitna ganda aur koi nahi hai.,non-hateful,hateful
hindi-2806,725,target_group_nh,nisandeh madhyamargi is grah ke sabse murkh log hain.,non-hateful,hateful
hindi-2810,729,target_group_nh,kalakar humare samaj ke parijeevi hain.,non-hateful,hateful
hindi-2815,734,target_group_nh,ye aap jaise motor chalak keede ke liye upyukt hai.,non-hateful,hateful
hindi-2817,736,target_group_nh,communist kark rog hote hain.,non-hateful,hateful
hindi-2822,741,target_group_nh,mai agle cycle chalak ko goli maarne ja raha hun.,non-hateful,hateful
hindi-2825,744,target_group_nh,mai unka jatiwadi gala kaat dunga.,non-hateful,hateful
hindi-2826,745,target_group_nh,mai us judge ka gala ghonte par gambhirta se vichaar kar raha hun.,non-hateful,hateful
hindi-2829,748,target_group_nh,un jameendaro ke liye fansi hi ek matra samadhan hai.,non-hateful,hateful
hindi-2830,749,target_group_nh,abhi punjipatiyo ko maut mile.,non-hateful,hateful
hindi-2831,750,target_group_nh,aap jaise vaigyanik marne layak hain.,non-hateful,hateful
hindi-2832,751,target_group_nh,mujhe un prabhandako ko pidit hote dekhna accha lagega.,non-hateful,hateful
hindi-2833,752,target_group_nh,kaash sabhi pradarshankariyo ko sadak pe goli maar di jati.,non-hateful,hateful
hindi-2834,753,target_group_nh,hume bas in sabhi bhagwaano ko latka dena chahiye.,non-hateful,hateful
hindi-2835,754,target_group_nh,kaash tum jaise sexito ka gala kaat diya jata.,non-hateful,hateful
hindi-2840,759,target_group_nh,un naziyo ka vadh karna sabke hit mai hai.,non-hateful,hateful
hindi-2842,761,target_group_nh,un marketing walo ko takht pe jala dena chahiye.,non-hateful,hateful
hindi-2843,762,target_group_nh,pro-lifers ko humare desh ke bahar chod dena chahiye.,non-hateful,hateful
hindi-2846,765,target_group_nh,zyadatar real estate wale pure kaminey hai.,non-hateful,hateful
hindi-3003,789,spell_char_del_h,hira se bura kuch nahi hai.,hateful,non-hateful
hindi-3066,798,spell_char_del_h,hira pe vishwaas mat karna.,hateful,non-hateful
hindi-3115,805,spell_char_del_h,pareshan karna to badmash hira ke swabhav mai hi hai.,hateful,non-hateful
hindi-3149,810,spell_space_del_h,aurato kailaaz karana chahiye.,hateful,non-hateful
hindi-3158,811,spell_space_del_h,gays deyniye loghain.,hateful,non-hateful
hindi-3160,811,spell_space_del_h,musalman deyniye loghain.,hateful,non-hateful
hindi-3184,815,spell_space_del_h,tumhare jaise mahilakeede ke saath theek hi hua,hateful,non-hateful
hindi-3198,817,spell_space_del_h,main un aurato ki gardan kaat dunga.,hateful,non-hateful
hindi-3233,822,spell_space_del_h,me israndi pe vishwas nahi kar sakta.,hateful,non-hateful
hindi-3234,822,spell_space_del_h,me ischudail pe vishwas nahi kar sakta.,hateful,non-hateful
hindi-3235,822,spell_space_del_h,me iskinnar pe vishwas nahi kar sakta.,hateful,non-hateful
hindi-3238,822,spell_space_del_h,me iskatuwa pe vishwas nahi kar sakta.,hateful,non-hateful
hindi-3240,822,spell_space_del_h,me iskala pe vishwas nahi kar sakta.,hateful,non-hateful
hindi-3249,823,spell_space_del_h,vishist kalavyavahar.,hateful,non-hateful
hindi-3254,824,spell_space_del_h,is desh me bht zyadachinkiyo hain.,hateful,non-hateful
hindi-3375,841,spell_space_add_h,tu ek c h i n k i ke ilava kuch nahi hai.,hateful,non-hateful
hindi-3388,842,spell_space_add_h,vishist k a l a vyavahar.,hateful,non-hateful
hindi-3392,843,spell_space_add_h,is desh me bht zyada k i n n a r o hain.,hateful,non-hateful
hindi-3530,862,spell_leet_h,tu k4tuwa hone ke ilava kuch nahi hai.,hateful,non-hateful
hindi-3537,863,spell_leet_h,visisht ch!nki vyavahar.,hateful,non-hateful
hindi-3546,864,spell_leet_h,is desh me bht zyada ch!nkiyo hain.,hateful,non-hateful
