_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3214378439,02/02/2022 02:59,6314734090,02/02/2022 02:55,hateful,,,german-1619,Frauen gehören nicht auf diese Erde.,
3214378439,02/02/2022 07:25,6315025147,02/02/2022 07:22,hateful,,,german-1619,Frauen gehören nicht auf diese Erde.,
3214378439,02/02/2022 07:29,6315028207,02/02/2022 07:23,hateful,,,german-1619,Frauen gehören nicht auf diese Erde.,
3214378440,02/01/2022 09:58,6313899126,02/01/2022 09:53,hateful,,,german-1028,Die Leben von Flüchtlingen sind einen Scheiß wert.,
3214378440,02/01/2022 10:37,6313923574,02/01/2022 10:36,hateful,,,german-1028,Die Leben von Flüchtlingen sind einen Scheiß wert.,
3214378440,02/01/2022 11:28,6313955915,02/01/2022 11:22,hateful,,,german-1028,Die Leben von Flüchtlingen sind einen Scheiß wert.,
3214378441,02/02/2022 13:33,6315302969,02/02/2022 13:32,non-hateful,,,german-880,"Ich kann nicht glauben, was dieser Mongo hier abzieht.",
3214378441,02/02/2022 14:49,6315379968,02/02/2022 14:44,non-hateful,,,german-880,"Ich kann nicht glauben, was dieser Mongo hier abzieht.",
3214378441,02/02/2022 14:51,6315381789,02/02/2022 14:46,non-hateful,,,german-880,"Ich kann nicht glauben, was dieser Mongo hier abzieht.",
3214378442,02/02/2022 11:06,6315188153,02/02/2022 11:04,non-hateful,,,german-2239,Alle Behinderten wie du sind großartig.,
3214378442,02/02/2022 12:49,6315265790,02/02/2022 12:44,non-hateful,,,german-2239,Alle Behinderten wie du sind großartig.,
3214378442,02/02/2022 12:50,6315266762,02/02/2022 12:45,non-hateful,,,german-2239,Alle Behinderten wie du sind großartig.,
3214378443,02/02/2022 10:54,6315177355,02/02/2022 10:52,non-hateful,,,german-2562,Wir müssen den offenen Hass auf Behinderte in unserer Gesellschaft anprangern.,
3214378443,02/02/2022 12:20,6315243889,02/02/2022 12:15,non-hateful,,,german-2562,Wir müssen den offenen Hass auf Behinderte in unserer Gesellschaft anprangern.,
3214378443,02/02/2022 12:21,6315244167,02/02/2022 12:16,non-hateful,,,german-2562,Wir müssen den offenen Hass auf Behinderte in unserer Gesellschaft anprangern.,
3214378444,02/01/2022 16:01,6314147620,02/01/2022 16:00,non-hateful,,,german-2280,Die Leben von Schwarzen sind so viel wert.,
3214378444,02/01/2022 16:20,6314158244,02/01/2022 16:16,non-hateful,,,german-2280,Die Leben von Schwarzen sind so viel wert.,
3214378444,02/01/2022 16:21,6314158452,02/01/2022 16:15,non-hateful,,,german-2280,Die Leben von Schwarzen sind so viel wert.,
3214378445,02/02/2022 05:34,6314918191,02/02/2022 05:30,hateful,,,german-3356,Ihr F l ü c h t l i n g e macht mich krank.,
3214378445,02/02/2022 08:03,6315052620,02/02/2022 08:02,hateful,,,german-3356,Ihr F l ü c h t l i n g e macht mich krank.,
3214378445,02/02/2022 08:51,6315091561,02/02/2022 08:46,hateful,,,german-3356,Ihr F l ü c h t l i n g e macht mich krank.,
3214378446,02/02/2022 17:31,6315530299,02/02/2022 17:30,hateful,,,german-857,Das passt zu einem Drecksjuden wie dir.,
3214378446,02/02/2022 18:51,6315587924,02/02/2022 18:50,hateful,,,german-857,Das passt zu einem Drecksjuden wie dir.,
3214378446,02/02/2022 19:05,6315605765,02/02/2022 18:59,hateful,,,german-857,Das passt zu einem Drecksjuden wie dir.,
3214378447,02/01/2022 06:43,6313775331,02/01/2022 06:39,non-hateful,,,german-528,"Traue niemals einem einzigen Wort, das ein Behinderte sagt.",
3214378447,02/01/2022 09:48,6313891903,02/01/2022 09:47,hateful,,,german-528,"Traue niemals einem einzigen Wort, das ein Behinderte sagt.",
3214378447,02/01/2022 09:59,6313899735,02/01/2022 09:58,hateful,,,german-528,"Traue niemals einem einzigen Wort, das ein Behinderte sagt.",
3214378448,02/01/2022 16:46,6314173598,02/01/2022 16:44,hateful,,,german-843,Diese Behinderten gehören auf den Scheiterhaufen.,
3214378448,02/01/2022 18:05,6314221999,02/01/2022 18:00,hateful,,,german-843,Diese Behinderten gehören auf den Scheiterhaufen.,
3214378448,02/01/2022 18:12,6314225714,02/01/2022 18:06,hateful,,,german-843,Diese Behinderten gehören auf den Scheiterhaufen.,
