functionality,templ_id,ref_templ_id,focus_lemma,case_templ,label_gold,trans_deepl,trans_google,trans_manual
derog_neg_emote_h,1,,hate,I hate [IDENT_P].,hateful,Ik haat [IDENT_P].,Ik haat [IDENT_P].,Ik haat [IDENT_P].
derog_neg_emote_h,2,,can't stand,I really can't stand [IDENT_P] like you.,hateful,Ik kan echt niet tegen [IDENT_P] zoals jij.,Ik kan [IDENT_P] echt niet uitstaan zoals jij.,Ik kan [IDENT_P] zoals jij echt niet uitstaan.
derog_neg_emote_h,3,,despise,I despise [IDENT_P].,hateful,Ik veracht [IDENT_P].,Ik veracht [IDENT_P].,Ik veracht [IDENT_P].
derog_neg_emote_h,4,,detest,I detest [IDENT_P].,hateful,Ik haat [IDENT_P].,Ik verafschuw [IDENT_P].,Ik verafschuw [IDENT_P].
derog_neg_emote_h,5,,loathe,I absolutely loathe [IDENT_P].,hateful,Ik heb een gruwelijke hekel aan [IDENT_P].,Ik heb absoluut een hekel aan [IDENT_P].,Ik heb een gruwelijke hekel aan [IDENT_P].
derog_neg_emote_h,6,,disgusted,Disgusted by all the [IDENT_P] around here.,hateful,Ik walg van al die [IDENT_P] hier.,Walgen van alle [IDENT_P] hier.,Ik walg van alle [IDENT_P] hier in de buurt.
derog_neg_emote_h,7,,disdain,I have so much disdain for these [IDENT_P].,hateful,Ik heb zo veel minachting voor deze [IDENT_P].,Ik heb zoveel minachting voor deze [IDENT_P].,Ik heb zoveel minachting voor deze [IDENT_P].
derog_neg_emote_h,8,,hatred,I have so much hatred for you [IDENT_P].,hateful,Ik heb zoveel haat voor jou [IDENT_P].,Ik heb zoveel haat voor je [IDENT_P].,Ik voel zoveel haat voor jullie [IDENT_P].
derog_neg_emote_h,9,,sick,So sick of being around [IDENT_P] like you.,hateful,Ik ben het zo zat om bij jou in de buurt te zijn.,Zo ziek om in de buurt van [IDENT_P] te zijn zoals jij.,Ik ben het zat om rond [IDENT_P] zoals jij te zijn.
derog_neg_emote_h,10,,contempt,I feel nothing but contempt for [IDENT_P].,hateful,Ik voel niets dan minachting voor [IDENT_P].,Ik voel niets dan minachting voor [IDENT_P].,Ik voel niets dan minachting voor [IDENT_P].
derog_neg_emote_h,11,,disgust,These [IDENT_P] disgust me so much.,hateful,Deze [IDENT_P] doen me zo walgen.,Deze [IDENT_P] walgen me zo.,Ik walg enorm van deze [IDENT_P].
derog_neg_emote_h,12,,worst,[IDENT_P] are the absolute worst.,hateful,[IDENT_P] zijn de ergste.,[IDENT_P] zijn absoluut de slechtste.,[IDENT_P] zijn absoluut de ergste.
derog_neg_emote_h,13,,make sb. sick,You [IDENT_P] make me sick.,hateful,Ik word misselijk van je.,Je [IDENT_P] maakt me ziek.,Jullie [IDENT_P] maken me ziek.
derog_neg_emote_h,14,,worse,There is nothing worse than a [IDENT_S].,hateful,Er is niets erger dan een [IDENT_S].,Er is niets erger dan een [IDENT_S].,Er is niets erger dan een [IDENT_S].
derog_neg_emote_h,15,,angry,Seeing [IDENT_P] in this place makes me so angry.,hateful,Om [IDENT_P] op deze plek te zien maakt me zo kwaad.,"Als ik [IDENT_P] hier zie, word ik zo boos.",Het zien van [IDENT_P] op deze plek maakt me zo boos.
derog_neg_emote_h,16,,rage,[IDENT_P] who think they are my equal fill me with so much rage.,hateful,"[IDENT_P] die denken dat ze mijn gelijke zijn, vervullen me met zoveel woede.","[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.","[IDENT_P] die denken dat ze mijn gelijke zijn, vullen me met zoveel woede."
derog_neg_emote_h,17,,furious,[IDENT_P] like you make me furious.,hateful,[Zoals jij maakt me woedend.,[IDENT_P] zoals jij maakt me woedend.,[IDENT_P] zoals jij maken me woedend.
derog_neg_emote_h,18,,anger,You and all the other [IDENT_P] in this country make me boil with anger.,hateful,Jij en al die andere [IDENT_P] in dit land maken me kokend van woede.,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.,Jij en alle andere [IDENT_P] in dit land laten me koken van woede.
derog_neg_emote_h,19,,scorn,The utter scorn I feel for [IDENT_P] is hard to to put into words.,hateful,De totale minachting die ik voel voor [IDENT_P] is moeilijk in woorden uit te drukken.,De totale minachting die ik voel voor [IDENT_P] is moeilijk onder woorden te brengen.,"De totale minachting die ik voel voor [IDENT_P], is moeilijk onder woorden te brengen."
derog_neg_emote_h,20,,abhor,I absolutely abhor all [IDENT_P].,hateful,Ik verafschuw alle [IDENT_P].,Ik verafschuw absoluut alle [IDENT_P].,Ik verafschuw alle [IDENT_P].
derog_neg_attrib_h,21,,disgusting,[IDENT_P] are disgusting.,hateful,[zijn walgelijk.,[IDENT_P] zijn walgelijk.,[IDENT_P] zijn walgelijk.
derog_neg_attrib_h,22,,repulsive,All [IDENT_P] are repulsive.,hateful,Alle [IDENT_P] zijn afstotend.,Alle [IDENT_P] zijn weerzinwekkend.,Alle [IDENT_P] zijn afstotend.
derog_neg_attrib_h,23,,despicable,[IDENT_P] are absolutely despicable.,hateful,[zijn absoluut verachtelijk.,[IDENT_P] zijn absoluut verachtelijk.,[IDENT_P] zijn absoluut verachtelijk.
derog_neg_attrib_h,24,,sickening,[IDENT_P] are just so sickening.,hateful,[zijn gewoon zo misselijkmakend.,[IDENT_P] zijn gewoon zo misselijkmakend.,[IDENT_P] zijn gewoon zo misselijkmakend.
derog_neg_attrib_h,25,,revolting,[IDENT_P] can't stop themselves from being absolutely revolting.,hateful,[IDENT_P] kan zichzelf niet tegenhouden om absoluut walgelijk te zijn.,[IDENT_P] kan zichzelf er niet van weerhouden absoluut walgelijk te zijn.,[IDENT_P] kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.
derog_neg_attrib_h,26,,repugnant,[IDENT_P] like you are repugnant.,hateful,[zoals jij zijn weerzinwekkend.,[IDENT_P] alsof je weerzinwekkend bent.,[IDENT_P] zoals jij zijn weerzinwekkend.
derog_neg_attrib_h,27,,dishonest,You [IDENT_P] are all dishonest.,hateful,Jullie zijn allemaal oneerlijk.,Jullie [IDENT_P] zijn allemaal oneerlijk.,Jullie [IDENT_P] zijn allemaal oneerlijk.
derog_neg_attrib_h,28,,vile,All [IDENT_P] like them are vile.,hateful,Alle [IDENT_P] zoals zij zijn verachtelijk.,Alle [IDENT_P] zoals zij zijn gemeen.,Alle [IDENT_P] zoals zij zijn verachtelijk.
derog_neg_attrib_h,29,,pathetic,[IDENT_P] like you are just pathetic.,hateful,[zoals jij zijn gewoon zielig.,[IDENT_P] alsof je gewoon zielig bent.,[IDENT_P] zoals jij zijn gewoon zielig.
derog_neg_attrib_h,30,,threat,[IDENT_P] with any power are a threat to civilisation.,hateful,[IDENT_P] met enige macht zijn een bedreiging voor de beschaving.,[IDENT_P] met enige macht vormen een bedreiging voor de beschaving.,[IDENT_P] met enige macht zijn een bedreiging voor onze samenleving.
derog_neg_attrib_h,31,,danger,[IDENT_P] being in charge is a danger to our country.,hateful,[De leiding hebben is een gevaar voor ons land.,[IDENT_P] de leiding hebben is een gevaar voor ons land.,[IDENT_P] die de leiding hebben is een gevaar voor ons land.
derog_neg_attrib_h,32,,uncivilised,It's in [IDENT_P]'s nature to be uncivilised.,hateful,Het ligt in [IDENT_P]'s aard om onbeschaafd te zijn.,Het ligt in de aard van [IDENT_P] om onbeschaafd te zijn.,Het zit in de aard van [IDENT_P] om onbeschaafd te zijn.
derog_neg_attrib_h,33,,"violent, cruel",Only [IDENT_P] are that violent and cruel.,hateful,Alleen [IDENT_P] zijn zo gewelddadig en wreed.,Alleen [IDENT_P] is zo gewelddadig en wreed.,Alleen [IDENT_P] zijn zo gewelddadig en wreed.
derog_neg_attrib_h,34,,ignorant,Only [IDENT_P] can be so ignorant.,hateful,Alleen [IDENT_P] kan zo onwetend zijn.,Alleen [IDENT_P] kan zo onwetend zijn.,Alleen [IDENT_P] kunnen zo onwetend zijn.
derog_neg_attrib_h,35,,filthy,No one else is as filthy as these [IDENT_P].,hateful,Niemand anders is zo smerig als deze [IDENT_P].,Niemand anders is zo smerig als deze [IDENT_P].,Niemand anders is zo smerig als deze [IDENT_P].
derog_neg_attrib_h,36,,stupid,Typical of a [IDENT_S] to be that stupid.,hateful,Typisch voor een [IDENT_S] om zo dom te zijn.,Typisch voor een [IDENT_S] om zo dom te zijn.,Typisch voor een [IDENT_S] om zo dom te zijn.
derog_neg_attrib_h,37,,stupid,[IDENT_P] are without a doubt the stupidest people on this planet.,hateful,[IDENT_P] zijn zonder twijfel de domste mensen op deze planeet.,[IDENT_P] zijn zonder twijfel de domste mensen op deze planeet.,[IDENT_P] zijn zonder twijfel de domste mensen op deze planeet.
derog_neg_attrib_h,38,,dumb,It's always the [IDENT_S] that is the dumb one.,hateful,Het is altijd de [IDENT_S] die de domme is.,Het is altijd de [IDENT_S] die de domme is.,Het is altijd een [IDENT_S] die de domme is.
derog_neg_attrib_h,39,,dumb,[IDENT_P] are just the dumbest people.,hateful,[IDENT_P] zijn gewoon de domste mensen.,[IDENT_P] zijn gewoon de domste mensen.,[IDENT_P] zijn gewoon de domste mensen.
derog_neg_attrib_h,40,,brainless,[IDENT_P] really are brainless without exception.,hateful,[IDENT_P] zijn echt hersenloos zonder uitzondering.,[IDENT_P] zijn zonder uitzondering echt hersenloos.,[IDENT_P] zijn echt hersenloos zonder uitzondering.
derog_dehum_h,41,,scum,[IDENT_P] are scum.,hateful,[IDENT_P] zijn tuig.,[IDENT_P] zijn uitschot.,[IDENT_P] zijn uitschot.
derog_dehum_h,42,,dirt,[IDENT_P] are worthless dirt.,hateful,[IDENT_P] zijn waardeloos vuil.,[IDENT_P] zijn waardeloos vuil.,[IDENT_P] zijn waardeloos vuil.
derog_dehum_h,43,,filth,[IDENT_P] like you are absolute filth.,hateful,[zoals jij absolute vuiligheid bent.,[IDENT_P] alsof je absoluut vuil bent.,[IDENT_P] zoals jij zijn absolute vuiligheid.
derog_dehum_h,44,,trash,You are nothing but common [IDENT_A] trash.,hateful,Je bent niets anders dan gemeen [IDENT_A] uitschot.,Je bent niets anders dan gewone [IDENT_A] prullenbak.,Een [IDENT_S] is niets anders dan afval.
derog_dehum_h,45,,refuse,[IDENT_P] are nothing but refuse.,hateful,[IDENT_P] zijn niets anders dan afval.,[IDENT_P] zijn niets anders dan weigeren.,[IDENT_P] zijn niets anders dan afval.
derog_dehum_h,46,,parasite,[IDENT_P] are parasites to our society.,hateful,[IDENT_P] zijn parasieten voor onze samenleving.,[IDENT_P] zijn parasieten voor onze samenleving.,[IDENT_P] zijn parasieten van onze samenleving.
derog_dehum_h,47,,cockroach,These [IDENT_P] are nothing but cockroaches.,hateful,Deze [IDENT_P] zijn niets anders dan kakkerlakken.,Deze [IDENT_P] zijn niets anders dan kakkerlakken.,Deze [IDENT_P] zijn niets anders dan kakkerlakken.
derog_dehum_h,48,,garbage,[IDENT_P] are human garbage.,hateful,[IDENT_P] zijn menselijke vuilnis.,[IDENT_P] is menselijk afval.,[IDENT_P] zijn menselijk afval.
derog_dehum_h,49,,lesser being,[IDENT_P] are lesser beings.,hateful,[IDENT_P] zijn mindere wezens.,[IDENT_P] zijn mindere wezens.,[IDENT_P] zijn mindere wezens.
derog_dehum_h,50,,pest,[IDENT_P] are a pest.,hateful,[IDENT_P] zijn een plaag.,[IDENT_P] zijn een plaag.,[IDENT_P] zijn een plaag.
derog_dehum_h,51,,rat,[IDENT_P] like you are no better than rats.,hateful,[zoals jullie zijn geen haar beter dan ratten.,[IDENT_P] zoals jij bent niet beter dan ratten.,[IDENT_P] zoals jij zijn niets beter dan ratten.
derog_dehum_h,52,,worthless,Your [IDENT_A] lives are worthless.,hateful,Jullie [IDENT_A] levens zijn waardeloos.,Je [IDENT_A] levens zijn waardeloos.,De levens van [IDENT_P] zijn waardeloos.
derog_dehum_h,53,,worth nothing,[IDENT_A] lives are worth absolutely nothing.,hateful,[Levens zijn absoluut niets waard.,[IDENT_A] levens zijn absoluut niets waard.,De levens van [IDENT_P] zijn absoluut niets waard.
derog_dehum_h,54,,vermin,That is fitting for [IDENT_A] vermin like you.,hateful,Dat is passend voor [IDENT_A] ongedierte zoals jij.,Dat past bij [IDENT_A] ongedierte zoals jij.,[IDENT_P] zoals jij zijn ongedierte.
