_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3214397376,02/01/2022 01:55,6313643687,02/01/2022 01:53,hateful,,,mandarin-606,我今天得去强奸一个黑人。,
3214397376,02/01/2022 02:03,6313645934,02/01/2022 01:59,hateful,,,mandarin-606,我今天得去强奸一个黑人。,
3214397376,02/01/2022 06:56,6313781880,02/01/2022 06:55,hateful,,,mandarin-606,我今天得去强奸一个黑人。,
3214397377,02/02/2022 02:24,6314688928,02/02/2022 02:23,non-hateful,,,mandarin-2367,我会向你和任何其他像你一样的同性恋张开双臂。,
3214397377,02/02/2022 02:29,6314695020,02/02/2022 02:25,non-hateful,,,mandarin-2367,我会向你和任何其他像你一样的同性恋张开双臂。,
3214397377,02/02/2022 02:29,6314695234,02/02/2022 02:25,non-hateful,,,mandarin-2367,我会向你和任何其他像你一样的同性恋张开双臂。,
3214397378,02/01/2022 06:49,6313778443,02/01/2022 06:48,hateful,,,mandarin-223,不文明是穆斯林的天性。,
3214397378,02/01/2022 08:14,6313825865,02/01/2022 08:10,hateful,,,mandarin-223,不文明是穆斯林的天性。,
3214397378,02/01/2022 10:24,6313915308,02/01/2022 10:20,hateful,,,mandarin-223,不文明是穆斯林的天性。,
3214397379,02/02/2022 01:28,6314599508,02/02/2022 01:24,hateful,,,mandarin-804,如果没有像你这样的穆斯林，世界会更好。,
3214397379,02/02/2022 01:50,6314643061,02/02/2022 01:48,hateful,,,mandarin-804,如果没有像你这样的穆斯林，世界会更好。,
3214397379,02/02/2022 01:51,6314644936,02/02/2022 01:47,hateful,,,mandarin-804,如果没有像你这样的穆斯林，世界会更好。,
3214397380,02/02/2022 13:04,6315276637,02/02/2022 13:02,non-hateful,,,mandarin-2084,我和两个外国人住在一起。,
3214397380,02/02/2022 13:23,6315293982,02/02/2022 13:19,non-hateful,,,mandarin-2084,我和两个外国人住在一起。,
3214397380,02/02/2022 13:23,6315294139,02/02/2022 13:19,non-hateful,,,mandarin-2084,我和两个外国人住在一起。,
3214397381,02/01/2022 19:41,6314308815,02/01/2022 19:37,hateful,,,mandarin-85,你们女人让我反胃。,
