functionality,templ_id,ref_templ_id,focus_lemma,case_templ,label_gold,trans_deepl,trans_google,trans_manual,gender_male,gender_female
derog_neg_emote_h,1,,hate,I hate [IDENT_P].,hateful,Eu odeio [IDENT_P].,Eu odeio [IDENT_P].,Eu odeio [IDENT_P].,,
derog_neg_emote_h,2,,can't stand,I really can't stand [IDENT_P] like you.,hateful,Realmente não suporto [IDENT_P] como você.,Eu realmente não suporto [IDENT_P] como você.,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,3,,despise,I despise [IDENT_P].,hateful,Eu desprezo [IDENT_P].,Eu desprezo [IDENT_P].,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,4,,detest,I detest [IDENT_P].,hateful,Eu odeio [IDENT_P].,Eu detesto [IDENT_P].,Eu detesto [IDENT_P].,,
derog_neg_emote_h,5,,loathe,I absolutely loathe [IDENT_P].,hateful,Odeio absolutamente [IDENT_P].,Eu absolutamente detesto [IDENT_P].,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,6,,disgusted,Disgusted by all the [IDENT_P] around here.,hateful,Desgostoso de todos os [IDENT_P] por aqui.,Repugnado por todos os [IDENT_P] por aqui.,N/A,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,7,,disdain,I have so much disdain for these [IDENT_P].,hateful,Tenho tanto desdém por estes [IDENT_P].,Tenho muito desprezo por esses [IDENT_P].,N/A,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,8,,hatred,I have so much hatred for you [IDENT_P].,hateful,Tenho tanto ódio por si [IDENT_P].,Eu tenho muito ódio por você [IDENT_P].,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,9,,sick,So sick of being around [IDENT_P] like you.,hateful,Tão farto de estar por perto [IDENT_P] como você.,Tão cansado de estar perto de [IDENT_P] como você.,Estou farto de estar perto de [IDENT_P] como você.,,
derog_neg_emote_h,10,,contempt,I feel nothing but contempt for [IDENT_P].,hateful,Não sinto nada mais do que desprezo por [IDENT_P].,Eu não sinto nada além de desprezo por [IDENT_P].,Eu não sinto nada além de desprezo por [IDENT_P].,,
derog_neg_emote_h,11,,disgust,These [IDENT_P] disgust me so much.,hateful,Estes [IDENT_P] enojam-me tanto.,Esses [IDENT_P] me dão tanto nojo.,N/A,Esses [male_IDENT_P] me dão tanto nojo.,Essas [female_IDENT_P] me dão tanto nojo.
derog_neg_emote_h,12,,worst,[IDENT_P] are the absolute worst.,hateful,[IDENT_P] são o pior absoluto.,[IDENT_P] são os piores absolutos.,[IDENT_P] são o pior que existe.,,
derog_neg_emote_h,13,,make sb. sick,You [IDENT_P] make me sick.,hateful,Você [IDENT_P] põe-me doente.,Você [IDENT_P] me deixa doente.,Vocês [IDENT_P] me dão nojo.,,
derog_neg_emote_h,14,,worse,There is nothing worse than a [IDENT_S].,hateful,Não há nada pior do que um [IDENT_S].,Não há nada pior do que um [IDENT_S].,N/A,Não há nada pior do que um [male_IDENT_S].,Não há nada pior do que uma [female_IDENT_S].
derog_neg_emote_h,15,,angry,Seeing [IDENT_P] in this place makes me so angry.,hateful,Ver [IDENT_P] neste lugar deixa-me tão irritado.,Ver [IDENT_P] neste lugar me deixa com muita raiva.,Ver [IDENT_P] neste lugar me deixa com muita raiva.,,
derog_neg_emote_h,16,,rage,[IDENT_P] who think they are my equal fill me with so much rage.,hateful,[IDENT_P] que pensam que são meus iguais enchem-me de tanta raiva.,[IDENT_P] que pensam que são meus iguais me enchem de tanta raiva.,[IDENT_P] que pensam que são iguais a mim me deixam com muita raiva,,
derog_neg_emote_h,17,,furious,[IDENT_P] like you make me furious.,hateful,[IDENT_P] como você me deixa furioso.,[IDENT_P] como você me deixa furioso.,[IDENT_P] como você me deixam furioso.,,
derog_neg_emote_h,18,,anger,You and all the other [IDENT_P] in this country make me boil with anger.,hateful,Você e todos os outros [IDENT_P] neste país fazem-me ferver de raiva.,Você e todos os outros [IDENT_P] neste país me fazem ferver de raiva.,N/A,Vocês e todos os outros [male_IDENT_P] neste país me deixam fervendo de raiva.,Vocês e todas as outras [female_IDENT_P] neste país me deixam fervendo de raiva.
derog_neg_emote_h,19,,scorn,The utter scorn I feel for [IDENT_P] is hard to to put into words.,hateful,O desprezo total que sinto por [IDENT_P] é difícil de pôr em palavras.,O desprezo total que sinto por [IDENT_P] é difícil de expressar em palavras.,O profundo desprezo que sinto por [IDENT_P] é difícil de colocar em palavras.,,
