TARGET,M,D,C,B,N,Msc
trans people,transseksualiści,transseksualistów,transseksualistom,transseksualistów,transseksualistami,transseksualistach
trans people,hermafrodyci,hermafrodytów,hermafrodytom,hermafrodytów,hermafrodytami,hermafrodytach
gay people,pedały,pedałów,pedałom,pedały,pedał,pedałach
gay people,homosie,homosiów,homosi,homosiów,homosiami,homosiach
asian people,żółci,żółtych,żółtym,żółtych,żółtymi,żółtych
asian people,skośnoocy,skośnookich,skośnookim,skośnookich,skośnookimi,skośnokich
disabled people,upośledzeni,upośledzonych,upośledzonym,upośledzonych,upośledzonymi,upośledzonych
jewish people,gudłaje,gudłajów,gudłajom,gudłajów,gudłajami,gudłajach
immigrants,ciapaci,ciapatych,ciapatym,ciapatych,ciapatymi,ciapatych
women,szmaty,szmat,szmatom,szmaty,szmatami,szmatach
women,kurwy,kurew,kurwom,kurwy,kurwami,kurwach
women,dziwki,dziwek,dziwkom,dziwki,dziwkami,dziwkach
gay people,cioty,ciot,ciot,cioty,ciotami,ciotach
disabled people,roślinki,roślinek,roślink,roślinki,roślinkami,roślinkach
trans people,obojniaki,obojniaków,obojniakom,obojniaki,obojniakami,obojniakach
asian people,żółtki,żółtków,żółtkom,żółtków,żółtkami,żółtkach
disabled people,ułomy,ułomów,ułomom,ułomy,ułomami,ułomach
jewish people,żydki,żydków,żydkom,żydki,żydkami,żydkach
jewish people,mośki,mośków,mośkom,mośki,mośkami,mośkach
