functionality,mhc_case_id,case_id,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female
derog_neg_emote_h,hindi-1,1,mujhe aurato se nafrat hai.,hateful,women,,,1,mujhe [IDENT_P] se nafrat hai.,,
derog_neg_emote_h,hindi-2,2,mujhe hijro se nafrat hai.,hateful,trans people,,,1,mujhe [IDENT_P] se nafrat hai.,,
derog_neg_emote_h,hindi-3,3,mujhe gays se nafrat hai.,hateful,gay people,,,1,mujhe [IDENT_P] se nafrat hai.,,
derog_neg_emote_h,hindi-4,4,mujhe assamese se nafrat hai.,hateful,North-East Indians,,,1,mujhe [IDENT_P] se nafrat hai.,,
derog_neg_emote_h,hindi-5,5,mujhe musalmano se nafrat hai.,hateful,Muslims,,,1,mujhe [IDENT_P] se nafrat hai.,,
derog_neg_emote_h,hindi-6,6,mujhe shudro se nafrat hai.,hateful,Lower Caste,,,1,mujhe [IDENT_P] se nafrat hai.,,
derog_neg_emote_h,hindi-7,7,mujhe negro se nafrat hai.,hateful,Black people,,,1,mujhe [IDENT_P] se nafrat hai.,,
derog_neg_emote_h,hindi-8,8,mai tum jaise aurato ko bardasht nahi kar sakta.,hateful,women,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,
derog_neg_emote_h,hindi-9,9,mai tum jaise hijro ko bardasht nahi kar sakta.,hateful,trans people,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,
derog_neg_emote_h,hindi-10,10,mai tum jaise gays ko bardasht nahi kar sakta.,hateful,gay people,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,
derog_neg_emote_h,hindi-11,11,mai tum jaise assamese ko bardasht nahi kar sakta.,hateful,North-East Indians,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,
derog_neg_emote_h,hindi-12,12,mai tum jaise musalmano ko bardasht nahi kar sakta.,hateful,Muslims,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,
derog_neg_emote_h,hindi-13,13,mai tum jaise shudro ko bardasht nahi kar sakta.,hateful,Lower Caste,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,
derog_neg_emote_h,hindi-14,14,mai tum jaise negro ko bardasht nahi kar sakta.,hateful,Black people,,,2,mai tum jaise [IDENT_P] ko bardasht nahi kar sakta.,,
derog_neg_emote_h,hindi-15,15,mai aurato ka tiriskar karti hun.,hateful,women,,,3,mai [IDENT_P] ka tiriskar karti hun.,,
derog_neg_emote_h,hindi-16,16,mai hijro ka tiriskar karti hun.,hateful,trans people,,,3,mai [IDENT_P] ka tiriskar karti hun.,,
derog_neg_emote_h,hindi-17,17,mai gays ka tiriskar karti hun.,hateful,gay people,,,3,mai [IDENT_P] ka tiriskar karti hun.,,
derog_neg_emote_h,hindi-18,18,mai assamese ka tiriskar karti hun.,hateful,North-East Indians,,,3,mai [IDENT_P] ka tiriskar karti hun.,,
derog_neg_emote_h,hindi-19,19,mai musalmano ka tiriskar karti hun.,hateful,Muslims,,,3,mai [IDENT_P] ka tiriskar karti hun.,,
derog_neg_emote_h,hindi-20,20,mai shudro ka tiriskar karti hun.,hateful,Lower Caste,,,3,mai [IDENT_P] ka tiriskar karti hun.,,
derog_neg_emote_h,hindi-21,21,mai negro ka tiriskar karti hun.,hateful,Black people,,,3,mai [IDENT_P] ka tiriskar karti hun.,,
derog_neg_emote_h,hindi-22,22,mai aurato se nafrat karta hun.,hateful,women,,,4,mai [IDENT_P] se nafrat karta hun.,,
derog_neg_emote_h,hindi-23,23,mai hijro se nafrat karta hun.,hateful,trans people,,,4,mai [IDENT_P] se nafrat karta hun.,,
derog_neg_emote_h,hindi-24,24,mai gays se nafrat karta hun.,hateful,gay people,,,4,mai [IDENT_P] se nafrat karta hun.,,
derog_neg_emote_h,hindi-25,25,mai assamese se nafrat karta hun.,hateful,North-East Indians,,,4,mai [IDENT_P] se nafrat karta hun.,,
derog_neg_emote_h,hindi-26,26,mai musalmano se nafrat karta hun.,hateful,Muslims,,,4,mai [IDENT_P] se nafrat karta hun.,,
derog_neg_emote_h,hindi-27,27,mai shudro se nafrat karta hun.,hateful,Lower Caste,,,4,mai [IDENT_P] se nafrat karta hun.,,
derog_neg_emote_h,hindi-28,28,mai negro se nafrat karta hun.,hateful,Black people,,,4,mai [IDENT_P] se nafrat karta hun.,,
derog_neg_emote_h,hindi-29,29,mai aurato se ghrina karta hun.,hateful,women,,,5,mai [IDENT_P] se ghrina karta hun.,,
derog_neg_emote_h,hindi-30,30,mai hijro se ghrina karta hun.,hateful,trans people,,,5,mai [IDENT_P] se ghrina karta hun.,,
derog_neg_emote_h,hindi-31,31,mai gays se ghrina karta hun.,hateful,gay people,,,5,mai [IDENT_P] se ghrina karta hun.,,
derog_neg_emote_h,hindi-32,32,mai assamese se ghrina karta hun.,hateful,North-East Indians,,,5,mai [IDENT_P] se ghrina karta hun.,,
derog_neg_emote_h,hindi-33,33,mai musalmano se ghrina karta hun.,hateful,Muslims,,,5,mai [IDENT_P] se ghrina karta hun.,,
derog_neg_emote_h,hindi-34,34,mai shudro se ghrina karta hun.,hateful,Lower Caste,,,5,mai [IDENT_P] se ghrina karta hun.,,
derog_neg_emote_h,hindi-35,35,mai negro se ghrina karta hun.,hateful,Black people,,,5,mai [IDENT_P] se ghrina karta hun.,,
derog_neg_emote_h,hindi-36,36,sabhi aurato se ghin aati hai.,hateful,women,,,6,sabhi [IDENT_P] se ghin aati hai.,,
derog_neg_emote_h,hindi-37,37,sabhi hijro se ghin aati hai.,hateful,trans people,,,6,sabhi [IDENT_P] se ghin aati hai.,,
derog_neg_emote_h,hindi-38,38,sabhi gays se ghin aati hai.,hateful,gay people,,,6,sabhi [IDENT_P] se ghin aati hai.,,
derog_neg_emote_h,hindi-39,39,sabhi assamese se ghin aati hai.,hateful,North-East Indians,,,6,sabhi [IDENT_P] se ghin aati hai.,,
derog_neg_emote_h,hindi-40,40,sabhi musalmano se ghin aati hai.,hateful,Muslims,,,6,sabhi [IDENT_P] se ghin aati hai.,,
derog_neg_emote_h,hindi-41,41,sabhi shudro se ghin aati hai.,hateful,Lower Caste,,,6,sabhi [IDENT_P] se ghin aati hai.,,
derog_neg_emote_h,hindi-42,42,sabhi negro se ghin aati hai.,hateful,Black people,,,6,sabhi [IDENT_P] se ghin aati hai.,,
derog_neg_emote_h,hindi-43,43,mujhe aurato ke liye bahut tiriskar hai.,hateful,women,,,7,mujhe [IDENT_P] ke liye bahut tiriskar hai.,,
