functionality,templ_id,ref_templ_id,focus_lemma,case_templ,trans_deepl,trans_google,trans_manual,case,gender_male,gender_female
derog_neg_emote_h,1,,hate,I hate [IDENT_P].,Nienawidzę [IDENT_P].,Nienawidzę [IDENT_P].,Nienawidzę [IDENT_P].,D,,
derog_neg_emote_h,2,,can't stand,I really can't stand [IDENT_P] like you.,Naprawdę nie znoszę takich jak ty [IDENT_P].,Naprawdę nie mogę znieść [IDENT_P] tak jak ty.,Naprawdę nie znoszę [IDENT_P] jak ty.,D,,
derog_neg_emote_h,3,,despise,I despise [IDENT_P].,Gardzę [IDENT_P].,Gardzę [IDENT_P].,Gardzę [IDENT_P].,N,,
derog_neg_emote_h,4,,detest,I detest [IDENT_P].,Nienawidzę [IDENT_P].,Nienawidzę [IDENT_P].,Nie znoszę [IDENT_P].,D,,
derog_neg_emote_h,5,,loathe,I absolutely loathe [IDENT_P].,Absolutnie nie cierpię [IDENT_P].,Absolutnie nienawidzę [IDENT_P].,Absolutnie nie cierpię [IDENT_P].,D,,
derog_neg_emote_h,6,,disgusted,Disgusted by all the [IDENT_P] around here.,Obrzydzony wszystkimi [IDENT_P] w okolicy.,Zniesmaczeni wszystkimi [IDENT_P] w okolicy.,Jestem obrzydzony wszystkimi tymi [IDENT_P] tutaj.,N,,
derog_neg_emote_h,7,,disdain,I have so much disdain for these [IDENT_P].,Mam tyle pogardy dla tych [IDENT_P].,Tak bardzo pogardzam tymi [IDENT_P].,Mam tyle pogardy dla tych [IDENT_P].,D,,
derog_neg_emote_h,8,,hatred,I have so much hatred for you [IDENT_P].,Mam tyle nienawiści do ciebie [IDENT_P].,Tak bardzo cię nienawidzę [IDENT_P].,Mam tyle nienawiści do was [IDENT_P].,D,,
derog_neg_emote_h,9,,sick,So sick of being around [IDENT_P] like you.,Rzygać się chce na myśl o takich jak ty.,Mam dość bycia w pobliżu [IDENT_P] jak ty.,Mam dość bycia w pobliżu [IDENT_P] jak ty.,D,,
derog_neg_emote_h,10,,contempt,I feel nothing but contempt for [IDENT_P].,Czuję jedynie pogardę dla [IDENT_P].,Nie czuję nic poza pogardą dla [IDENT_P].,Nie czuję nic poza pogardą dla [IDENT_P].,D,,
derog_neg_emote_h,11,,disgust,These [IDENT_P] disgust me so much.,Te [IDENT_P] tak bardzo mnie brzydzą.,Te [IDENT_P] bardzo mnie obrzydzają.,N/A,M,Ci [male_IDENT_P] tak bardzo mnie obrzydzają.,Te [female_IDENT_P] tak bardzo mnie obrzydzają.
derog_neg_emote_h,12,,worst,[IDENT_P] are the absolute worst.,[IDENT_P] są absolutnie najgorsze.,[IDENT_P] są absolutnie najgorsze.,N/A,M,[male_IDENT_P] są absolutnie najgorsi.,[female_IDENT_P] są absolutnie najgorsze.
derog_neg_emote_h,13,,make sb. sick,You [IDENT_P] make me sick.,Niedobrze mi się robi od ciebie [IDENT_P].,"[IDENT_P] sprawiasz, że choruję.",Wy [IDENT_P] przyprawiacie mnie o mdłości.,M,,
derog_neg_emote_h,14,,worse,There is nothing worse than a [IDENT_S].,Nie ma nic gorszego niż [IDENT_S].,Nie ma nic gorszego niż [IDENT_S].,Nie ma nic gorszego niż [IDENT_S].,M,,
derog_neg_emote_h,15,,angry,Seeing [IDENT_P] in this place makes me so angry.,Widok [IDENT_P] w tym miejscu bardzo mnie złości.,"Widząc [IDENT_P] w tym miejscu, bardzo mnie denerwuje.",Widok [IDENT_P] w tym miejscu bardzo mnie złości.,D,,
derog_neg_emote_h,16,,rage,[IDENT_P] who think they are my equal fill me with so much rage.,"[IDENT_P], którzy myślą, że są mi równi, napełniają mnie taką wściekłością.","[IDENT_P], którzy myślą, że są mi równi, napełniają mnie taką wściekłością.","[IDENT_P], którzy myślą, że są mi równi, napełniają mnie taką wściekłością.",M,,
derog_neg_emote_h,17,,furious,[IDENT_P] like you make me furious.,[IDENT_P] tacy jak ty doprowadzają mnie do furii.,[IDENT_P] tak jak mnie wkurzasz.,N/A,M,[male_IDENT_P] tacy jak ty doprowadzają mnie do szału.,[female_IDENT_P] takie jak ty doprowadzają mnie do szału.
derog_neg_emote_h,18,,anger,You and all the other [IDENT_P] in this country make me boil with anger.,"Ty i wszyscy inni [IDENT_P] w tym kraju sprawiacie, że gotuję się ze złości.",Ty i wszyscy inni [IDENT_P] w tym kraju doprowadzacie do wrzenia ze złości.,N/A,M,"Ty i wszyscy inni [male_IDENT_P] w tym kraju sprawiacie, że gotuję się ze złości.","Ty i wszystkie inne [female_IDENT_P] w tym kraju sprawiacie, że gotuję się ze złości."
derog_neg_emote_h,19,,scorn,The utter scorn I feel for [IDENT_P] is hard to to put into words.,"Całkowitą pogardę, jaką czuję do [IDENT_P], trudno wyrazić słowami.","Całkowitą pogardę, jaką czuję dla [IDENT_P], trudno wyrazić słowami.","Całkowitą pogardę, jaką czuję do [IDENT_P], trudno wyrazić słowami.",D,,
derog_neg_emote_h,20,,abhor,I absolutely abhor all [IDENT_P].,Absolutnie brzydzę się wszystkimi [IDENT_P].,Absolutnie brzydzę się wszystkim [IDENT_P].,Absolutnie brzydzę się wszystkimi [IDENT_P].,N,,
derog_neg_attrib_h,21,,disgusting,[IDENT_P] are disgusting.,[IDENT_P] są obrzydliwe.,[IDENT_P] są obrzydliwe.,N/A,M,[male_IDENT_P] są obrzydliwi.,[female_IDENT_P] są obrzydliwe.
derog_neg_attrib_h,22,,repulsive,All [IDENT_P] are repulsive.,Wszystkie [IDENT_P] są odpychające.,Wszystkie [IDENT_P] są odpychające.,N/A,M,Wszyscy [male_IDENT_P] są odpychający.,Wszystkie [female_IDENT_P] są odpychające.
derog_neg_attrib_h,23,,despicable,[IDENT_P] are absolutely despicable.,[IDENT_P] są absolutnie nikczemne.,[IDENT_P] są absolutnie godne pogardy.,N/A,M,[male_IDENT_P] są absolutnie podli.,[female_IDENT_P] są absolutnie podłe.
derog_neg_attrib_h,24,,sickening,[IDENT_P] are just so sickening.,[IDENT_P] są po prostu tak obrzydliwe.,[IDENT_P] są po prostu obrzydliwe.,N/A,M,[male_IDENT_P] są po prostu tak obrzydliwi.,[female_IDENT_P] są po prostu tak obrzydliwe.
derog_neg_attrib_h,25,,revolting,[IDENT_P] can't stop themselves from being absolutely revolting.,[IDENT_P] nie mogą się powstrzymać od bycia absolutnie odrażającymi.,[IDENT_P] nie mogą powstrzymać się przed całkowitym odrazą.,[IDENT_P] nie mogą się powstrzymać od bycia absolutnie odrażającymi.,M,,
derog_neg_attrib_h,26,,repugnant,[IDENT_P] like you are repugnant.,[IDENT_P] tacy jak ty są odrażający.,[IDENT_P] jakbyś był odrażający.,N/A,M,[male_IDENT_P] tacy jak ty są odrażający.,[female_IDENT_P] takie jak ty są odrażające.
derog_neg_attrib_h,27,,dishonest,You [IDENT_P] are all dishonest.,Wy wszyscy [IDENT_P] jesteście nieuczciwi.,Wszyscy [IDENT_P] jesteście nieuczciwi.,N/A,M,Wy wszyscy [male_IDENT_P] jesteście nieuczciwi.,Wy wszystkie [female_IDENT_P] jesteście nieuczciwe.
derog_neg_attrib_h,28,,vile,All [IDENT_P] like them are vile.,Wszyscy [IDENT_P] tacy jak oni są nikczemni.,Wszyscy [IDENT_P] tacy jak oni są podli.,N/A,M,Wszyscy [male_IDENT_P] tacy jak oni są ohydni.,Wszystkie [female_IDENT_P] takie jak one są ohydne.
derog_neg_attrib_h,29,,pathetic,[IDENT_P] like you are just pathetic.,[IDENT_P] tacy jak ty są po prostu żałośni.,[IDENT_P] jakbyś był po prostu żałosny.,N/A,M,[male_IDENT_P] tacy jak ty są po prostu żałośni.,[female_IDENT_P] takie jak ty są po prostu żałośne.
