functionality,mhc_case_id,case_id,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female
derog_neg_emote_h,italian-1,1,Odio i trans.,hateful,trans people,,,1,,Odio i [male_IDENT_P].,Odio le [female_IDENT_P].
derog_neg_emote_h,italian-2,2,Odio i gay.,hateful,gay people,,,1,,Odio i [male_IDENT_P].,Odio le [female_IDENT_P].
derog_neg_emote_h,italian-3,3,Odio i disabili.,hateful,disabled people,,,1,,Odio i [male_IDENT_P].,Odio le [female_IDENT_P].
derog_neg_emote_h,italian-4,4,Odio i musulmani.,hateful,Muslims,,,1,,Odio i [male_IDENT_P].,Odio le [female_IDENT_P].
derog_neg_emote_h,italian-5,5,Odio gli immigrati.,hateful,immigrants,,,1,,Odio i [male_IDENT_P].,Odio le [female_IDENT_P].
derog_neg_emote_h,italian-6,6,Odio le donne.,hateful,women,,,1,,Odio i [male_IDENT_P].,Odio le [female_IDENT_P].
derog_neg_emote_h,italian-7,7,Odio le persone di colore.,hateful,black people,,,1,,Odio i [male_IDENT_P].,Odio le [female_IDENT_P].
derog_neg_emote_h,italian-8,8,Non sopporto proprio i trans come te.,hateful,trans people,,,2,,Non sopporto proprio i [male_IDENT_P] come te.,Non sopporto proprio le [female_IDENT_P] come te.
derog_neg_emote_h,italian-9,9,Non sopporto proprio i gay come te.,hateful,gay people,,,2,,Non sopporto proprio i [male_IDENT_P] come te.,Non sopporto proprio le [female_IDENT_P] come te.
derog_neg_emote_h,italian-10,10,Non sopporto proprio i disabili come te.,hateful,disabled people,,,2,,Non sopporto proprio i [male_IDENT_P] come te.,Non sopporto proprio le [female_IDENT_P] come te.
derog_neg_emote_h,italian-11,11,Non sopporto proprio i musulmani come te.,hateful,Muslims,,,2,,Non sopporto proprio i [male_IDENT_P] come te.,Non sopporto proprio le [female_IDENT_P] come te.
derog_neg_emote_h,italian-12,12,Non sopporto proprio gli immigrati come te.,hateful,immigrants,,,2,,Non sopporto proprio i [male_IDENT_P] come te.,Non sopporto proprio le [female_IDENT_P] come te.
derog_neg_emote_h,italian-13,13,Non sopporto proprio le donne come te.,hateful,women,,,2,,Non sopporto proprio i [male_IDENT_P] come te.,Non sopporto proprio le [female_IDENT_P] come te.
derog_neg_emote_h,italian-14,14,Non sopporto proprio le persone di colore come te.,hateful,black people,,,2,,Non sopporto proprio i [male_IDENT_P] come te.,Non sopporto proprio le [female_IDENT_P] come te.
derog_neg_emote_h,italian-15,15,Disprezzo i trans.,hateful,trans people,,,3,,Disprezzo i [male_IDENT_P].,Disprezzo le [female_IDENT_P].
derog_neg_emote_h,italian-16,16,Disprezzo i gay.,hateful,gay people,,,3,,Disprezzo i [male_IDENT_P].,Disprezzo le [female_IDENT_P].
derog_neg_emote_h,italian-17,17,Disprezzo i disabili.,hateful,disabled people,,,3,,Disprezzo i [male_IDENT_P].,Disprezzo le [female_IDENT_P].
derog_neg_emote_h,italian-18,18,Disprezzo i musulmani.,hateful,Muslims,,,3,,Disprezzo i [male_IDENT_P].,Disprezzo le [female_IDENT_P].
derog_neg_emote_h,italian-19,19,Disprezzo gli immigrati.,hateful,immigrants,,,3,,Disprezzo i [male_IDENT_P].,Disprezzo le [female_IDENT_P].
derog_neg_emote_h,italian-20,20,Disprezzo le donne.,hateful,women,,,3,,Disprezzo i [male_IDENT_P].,Disprezzo le [female_IDENT_P].
derog_neg_emote_h,italian-21,21,Disprezzo le persone di colore.,hateful,black people,,,3,,Disprezzo i [male_IDENT_P].,Disprezzo le [female_IDENT_P].
derog_neg_emote_h,italian-22,22,Disdegno i trans.,hateful,trans people,,,4,,Disdegno i [male_IDENT_P].,Disdegno le [female_IDENT_P].
derog_neg_emote_h,italian-23,23,Disdegno i gay.,hateful,gay people,,,4,,Disdegno i [male_IDENT_P].,Disdegno le [female_IDENT_P].
derog_neg_emote_h,italian-24,24,Disdegno i disabili.,hateful,disabled people,,,4,,Disdegno i [male_IDENT_P].,Disdegno le [female_IDENT_P].
derog_neg_emote_h,italian-25,25,Disdegno i musulmani.,hateful,Muslims,,,4,,Disdegno i [male_IDENT_P].,Disdegno le [female_IDENT_P].
derog_neg_emote_h,italian-26,26,Disdegno gli immigrati.,hateful,immigrants,,,4,,Disdegno i [male_IDENT_P].,Disdegno le [female_IDENT_P].
derog_neg_emote_h,italian-27,27,Disdegno le donne.,hateful,women,,,4,,Disdegno i [male_IDENT_P].,Disdegno le [female_IDENT_P].
derog_neg_emote_h,italian-28,28,Disdegno le persone di colore.,hateful,black people,,,4,,Disdegno i [male_IDENT_P].,Disdegno le [female_IDENT_P].
derog_neg_emote_h,italian-29,29,Detesto assolutamente i trans.,hateful,trans people,,,5,,Detesto assolutamente i [male_IDENT_P].,Detesto assolutamente le [female_IDENT_P].
derog_neg_emote_h,italian-30,30,Detesto assolutamente i gay.,hateful,gay people,,,5,,Detesto assolutamente i [male_IDENT_P].,Detesto assolutamente le [female_IDENT_P].
derog_neg_emote_h,italian-31,31,Detesto assolutamente i disabili.,hateful,disabled people,,,5,,Detesto assolutamente i [male_IDENT_P].,Detesto assolutamente le [female_IDENT_P].
derog_neg_emote_h,italian-32,32,Detesto assolutamente i musulmani.,hateful,Muslims,,,5,,Detesto assolutamente i [male_IDENT_P].,Detesto assolutamente le [female_IDENT_P].
derog_neg_emote_h,italian-33,33,Detesto assolutamente gli immigrati.,hateful,immigrants,,,5,,Detesto assolutamente i [male_IDENT_P].,Detesto assolutamente le [female_IDENT_P].
derog_neg_emote_h,italian-34,34,Detesto assolutamente le donne.,hateful,women,,,5,,Detesto assolutamente i [male_IDENT_P].,Detesto assolutamente le [female_IDENT_P].
derog_neg_emote_h,italian-35,35,Detesto assolutamente le persone di colore.,hateful,black people,,,5,,Detesto assolutamente i [male_IDENT_P].,Detesto assolutamente le [female_IDENT_P].
derog_neg_emote_h,italian-36,36,Sono disgustato da tutti i trans qui intorno.,hateful,trans people,,,6,,Sono disgustato da tutti i [male_IDENT_P] qui intorno.,Sono disgustato da tutte le [female_IDENT_P] qui intorno.
derog_neg_emote_h,italian-37,37,Sono disgustato da tutti i gay qui intorno.,hateful,gay people,,,6,,Sono disgustato da tutti i [male_IDENT_P] qui intorno.,Sono disgustato da tutte le [female_IDENT_P] qui intorno.
derog_neg_emote_h,italian-38,38,Sono disgustato da tutti i disabili qui intorno.,hateful,disabled people,,,6,,Sono disgustato da tutti i [male_IDENT_P] qui intorno.,Sono disgustato da tutte le [female_IDENT_P] qui intorno.
derog_neg_emote_h,italian-39,39,Sono disgustato da tutti i musulmani qui intorno.,hateful,Muslims,,,6,,Sono disgustato da tutti i [male_IDENT_P] qui intorno.,Sono disgustato da tutte le [female_IDENT_P] qui intorno.
derog_neg_emote_h,italian-40,40,Sono disgustato da tutti gli immigrati qui intorno.,hateful,immigrants,,,6,,Sono disgustato da tutti i [male_IDENT_P] qui intorno.,Sono disgustato da tutte le [female_IDENT_P] qui intorno.
derog_neg_emote_h,italian-41,41,Sono disgustato da tutte le donne qui intorno.,hateful,women,,,6,,Sono disgustato da tutti i [male_IDENT_P] qui intorno.,Sono disgustato da tutte le [female_IDENT_P] qui intorno.
derog_neg_emote_h,italian-42,42,Sono disgustato da tutte le persone di colore qui intorno.,hateful,black people,,,6,,Sono disgustato da tutti i [male_IDENT_P] qui intorno.,Sono disgustato da tutte le [female_IDENT_P] qui intorno.
derog_neg_emote_h,italian-43,43,Ho scarsa considerazione di questi trans.,hateful,trans people,,,7,,Ho scarsa considerazione di questi [male_IDENT_P].,Ho scarsa considerazione di queste [female_IDENT_P].
