TARGET,M,D,C,B,N,Msc
women,szm4ty,szm4t,szm4tom,szm4ty,szm4tami,szm4tach
women,ku12wy,ku12ew,ku12wom,ku12wy,ku12wami,ku12wach
women,dz1wki,dz1wek,dz1wkom,dz1wki,dz1wkami,dz1wkach
gay people,c1oty,c1ot,c1ot,c1oty,c1otami,c1otach
disabled people,r0ślinki,r0ślinek,r0ślink,r0ślinki,r0ślinkami,r0ślinkach
trans people,ob0jniaki,ob0jniaków,ob0jniakom,ob0jniaki,ob0jniakami,ob0jniakach
asian people,ż0łtki,ż0łtków,ż0łtkom,ż0łtków,ż0łtkami,ż0łtkach
disabled people,uł0my,uł0mów,uł0m0m,uł0my,uł0mami,uł0mach
jewish people,2ydki,2ydków,2ydkom,2ydki,2ydkami,2ydkach
jewish people,m0śki,m0śków,m0śkom,m0śki,m0śkami,m0śkach
