TARGET,M,D,C,B,N,Msc
trans people,tr4nsseksualista,tr4nsseksualisty,tr4nsseksualiście,tr4nsseksualistę,tr4nsseksualistą,tr4nsseksualiście
trans people,ob0jniak,ob0jniaka,ob0jniakowi,ob0jniaka,ob0jniakiem,ob0jniaku
trans people,herm4frodyta,herm4frodyty,herm4frodycie,herm4frodytę,herm4frodytą,herm4frodycie
gay people,p3dał,p3dała,p3dałowi,p3dała,p3dałem,p3dale
gay people,h0moś,h0mosia,h0mośowi,h0mosia,h0mosiem,h0mosiu
asian people,ż0łty,ż0łtego,ż0łtemu,ż0łtego,ż0łtym,ż0łtym
asian people,ż0łtek,ż0łtka,ż0łtkowi,ż0łtka,ż0łtkiem,ż0łtku
asian people,sk0śnooki,sk0śnookiego,sk0śnookiemu,sk0śnookiego,sk0śnookim,sk0śnookim
disabled people,uł0m,uł0ma,uł0mowi,uł0ma,uł0mem,uł0mie
disabled people,up0śledzony,up0śledzonego,up0śledzonemu,up0śledzonego,up0śledzonym,up0śledzonym
jewish people,2ydek,2ydka,2ydkowi,2ydka,2ydkiem,2ydku
jewish people,m0siek,m0śka,m0śkowi,m0śka,m0śkiem,m0śku
jewish people,gudł4j,gudł4ja,gudł4jowi,gudł4j,gudł4jem,gudł4ju
immigrant,ci4paty,ci4patego,ci4patemu,ci4patego,ci4patym,ci4patym
women,szm4ta,szm4ty,szm4cie,szm4tę,szm4tą,szm4cie
women,ku12wa,ku12wy,ku12wie,ku12wę,ku12wą,ku12wie
women,dz1wka,dz1wki,dz1wce,dz1wkę,dz1wką,dz1wce
gay people,ci0ta,ci0ty,ci0cie,ci0tę,ci0tą,ci0cie
disabled people,r0ślinka,r0ślinki,r0ślince,r0ślinkę,r0ślinką,r0ślince
