mhc_case_id,functionality,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
mandarin-1,derog_neg_emote_h,我恨女人。,hateful,women,,,1,我恨[IDENT_P]。,"['hateful', 'hateful', 'hateful']",hateful,False,False
mandarin-2,derog_neg_emote_h,我恨跨性别者。,hateful,trans people,,,1,我恨[IDENT_P]。,"['hateful', 'hateful', 'hateful']",hateful,False,False
mandarin-3,derog_neg_emote_h,我恨同性恋。,hateful,gay people,,,1,我恨[IDENT_P]。,"['hateful', 'hateful', 'hateful']",hateful,False,False
mandarin-4,derog_neg_emote_h,我恨黑人。,hateful,black people,,,1,我恨[IDENT_P]。,"['hateful', 'hateful', 'hateful']",hateful,False,False
mandarin-5,derog_neg_emote_h,我恨残疾人。,hateful,disabled people,,,1,我恨[IDENT_P]。,"['hateful', 'hateful', 'hateful']",hateful,False,False
mandarin-6,derog_neg_emote_h,我恨穆斯林。,hateful,Muslims,,,1,我恨[IDENT_P]。,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
mandarin-7,derog_neg_emote_h,我恨外国人。,hateful,foreigners,,,1,我恨[IDENT_P]。,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
mandarin-8,derog_neg_emote_h,我真的受不了你这样的女人。,hateful,women,,,2,我真的受不了你这样的[IDENT_P]。,"['non-hateful', 'hateful', 'non-hateful']",non-hateful,True,True
mandarin-9,derog_neg_emote_h,我真的受不了你这样的跨性别者。,hateful,trans people,,,2,我真的受不了你这样的[IDENT_P]。,"['non-hateful', 'non-hateful', 'non-hateful']",non-hateful,True,True
mandarin-10,derog_neg_emote_h,我真的受不了你这样的同性恋。,hateful,gay people,,,2,我真的受不了你这样的[IDENT_P]。,"['hateful', 'non-hateful', 'hateful']",hateful,False,True
mandarin-11,derog_neg_emote_h,我真的受不了你这样的黑人。,hateful,black people,,,2,我真的受不了你这样的[IDENT_P]。,"['hateful', 'hateful', 'hateful']",hateful,False,True
