functionality,templ_id,ref_templ_id,focus_lemma,case_templ,label_gold,trans_deepl,trans_google,trans_manual,gender_male,gender_female
derog_neg_emote_h,1,,hate,I hate [IDENT_P].,hateful,Odio [IDENT_P].,Odio [IDENT_P].,N/A,Odio a los [male_IDENT_P].,Odio a las [female_IDENT_P].
derog_neg_emote_h,2,,can't stand,I really can't stand [IDENT_P] like you.,hateful,Realmente no soporto a [IDENT_P] como tú.,Realmente no puedo soportar a [IDENT_P] como tú.,N/A,No soporto a los [male_IDENT_P] como tú.,No soporto a las [female_IDENT_P] como tú.
derog_neg_emote_h,3,,despise,I despise [IDENT_P].,hateful,Desprecio a [IDENT_P].,Desprecio a [IDENT_P].,N/A,Desprecio a los [male_IDENT_P].,Desprecio a las [female_IDENT_P].
derog_neg_emote_h,4,,detest,I detest [IDENT_P].,hateful,Odio [IDENT_P].,Detesto [IDENT_P].,N/A,Detesto a los [male_IDENT_P].,Detesto a las [female_IDENT_P].
derog_neg_emote_h,5,,loathe,I absolutely loathe [IDENT_P].,hateful,Detesto absolutamente [IDENT_P].,Detesto absolutamente [IDENT_P].,N/A,Aborrezco totalmente a los [male_IDENT_P].,Aborrezco totalmente a las [female_IDENT_P].
derog_neg_emote_h,6,,disgusted,Disgusted by all the [IDENT_P] around here.,hateful,Asqueado por toda la [IDENT_P] que hay por aquí.,Disgustado por todo el [IDENT_P] por aquí.,N/A,Estoy asqueado de todos los [male_IDENT_P] que hay por aquí.,Estoy asqueado de todas las [female_IDENT_P] que hay por aquí.
derog_neg_emote_h,7,,disdain,I have so much disdain for these [IDENT_P].,hateful,Tengo mucho desprecio por estos [IDENT_P].,Tengo tanto desdén por estos [IDENT_P].,N/A,Siento mucho desdén por estos [male_IDENT_P].,Siento mucho desdén por estas [female_IDENT_P].
derog_neg_emote_h,8,,hatred,I have so much hatred for you [IDENT_P].,hateful,Tengo mucho odio hacia ti [IDENT_P].,Te tengo tanto odio [IDENT_P].,N/A,"Siento tanto odio por ustedes, los [male_IDENT_P].","Siento tanto odio por ustedes, las [female_IDENT_P]."
derog_neg_emote_h,9,,sick,So sick of being around [IDENT_P] like you.,hateful,Estoy harto de estar cerca de [IDENT_P] como tú.,Estoy harto de estar cerca de [IDENT_P] como tú.,N/A,Estoy harto de estar cerca de [male_IDENT_P] como tú.,Estoy harto de estar cerca de [female_IDENT_P] como tú.
derog_neg_emote_h,10,,contempt,I feel nothing but contempt for [IDENT_P].,hateful,No siento más que desprecio por [IDENT_P].,No siento nada más que desprecio por [IDENT_P].,N/A,Solo siento desprecio por los [male_IDENT_P].,Solo siento desprecio por las [female_IDENT_P].
derog_neg_emote_h,11,,disgust,These [IDENT_P] disgust me so much.,hateful,Estos [IDENT_P] me dan mucho asco.,Estos [IDENT_P] me disgustan mucho.,N/A,Estos [male_IDENT_P] me dan mucho asco.,Estas [female_IDENT_P] me dan mucho asco.
derog_neg_emote_h,12,,worst,[IDENT_P] are the absolute worst.,hateful,[IDENT_P] son los peores.,[IDENT_P] son los peores.,N/A,Los [male_IDENT_P] son realmente de lo peor.,Las [female_IDENT_P] son realmente de lo peor.
derog_neg_emote_h,13,,make sb. sick,You [IDENT_P] make me sick.,hateful,Tú [IDENT_P] me pones enfermo.,Tú [IDENT_P] me enfermas.,N/A,"Ustedes, los [male_IDENT_P], me enferman.","Ustedes, las [female_IDENT_P], me enferman."
derog_neg_emote_h,14,,worse,There is nothing worse than a [IDENT_S].,hateful,No hay nada peor que un [IDENT_S].,No hay nada peor que un [IDENT_S].,N/A,No hay nada peor que un [male_IDENT_S].,No hay nada peor que una [female_IDENT_S].
derog_neg_emote_h,15,,angry,Seeing [IDENT_P] in this place makes me so angry.,hateful,Ver a [IDENT_P] en este lugar me da mucha rabia.,Ver a [IDENT_P] en este lugar me enoja mucho.,N/A,Me enoja muchísimo ver [male_IDENT_P] en este lugar. ,Me enoja muchísimo ver [female_IDENT_P] en este lugar. 
derog_neg_emote_h,16,,rage,[IDENT_P] who think they are my equal fill me with so much rage.,hateful,[IDENT_P] que se creen mis iguales me llenan de mucha rabia.,[IDENT_P] los que se creen iguales a mí me llenan de tanta rabia.,N/A,Me llenan de rabia los [male_IDENT_P] que se creen iguales a mí.,Me llenan de rabia las [female_IDENT_P] que se creen iguales a mí.
derog_neg_emote_h,17,,furious,[IDENT_P] like you make me furious.,hateful,[IDENT_P] como tú me ponen furioso.,[IDENT_P] como si me pusieras furioso.,N/A,Los [male_IDENT_P] como tú me ponen furioso.,Las [female_IDENT_P] como tú me ponen furioso.
derog_neg_emote_h,18,,anger,You and all the other [IDENT_P] in this country make me boil with anger.,hateful,Tú y todos los demás [IDENT_P] de este país me hacen hervir de rabia.,Tú y todos los demás [IDENT_P] de este país me hacen hervir de ira.,N/A,Tú y todos los demás [male_IDENT_P] de este país me hacen hervir de rabia.,Tú y todas las demás [female_IDENT_P] de este país me hacen hervir de rabia.
derog_neg_emote_h,19,,scorn,The utter scorn I feel for [IDENT_P] is hard to to put into words.,hateful,El desprecio absoluto que siento por [IDENT_P] es difícil de expresar con palabras.,El absoluto desprecio que siento por [IDENT_P] es difícil de expresar con palabras.,N/A,Es difícil poner en palabras todo el desprecio que siento por los [male_IDENT_P].,Es difícil poner en palabras todo el desprecio que siento por las [female_IDENT_P].
