_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3218898029,02/04/2022 16:55,6318465131,02/04/2022 16:54,hateful,unrealistic,,hindi-3510,sabhi negro ko mrutyu m1le.,
3218898029,02/04/2022 17:06,6318472289,02/04/2022 17:04,hateful,,,hindi-3510,sabhi negro ko mrutyu m1le.,
3218898029,02/04/2022 17:09,6318474411,02/04/2022 17:09,hateful,,,hindi-3510,sabhi negro ko mrutyu m1le.,
3218898030,02/06/2022 05:37,6319356367,02/06/2022 05:36,hateful,,,hindi-1474,assamese kabhi bhi aur logo jitne bhuddimaan nahi ho sakte.,
3218898030,02/06/2022 05:39,6319356937,02/06/2022 05:38,hateful,,,hindi-1474,assamese kabhi bhi aur logo jitne bhuddimaan nahi ho sakte.,
3218898030,02/06/2022 06:07,6319363724,02/06/2022 06:05,hateful,,,hindi-1474,assamese kabhi bhi aur logo jitne bhuddimaan nahi ho sakte.,
3218898031,02/05/2022 18:19,6319203692,02/05/2022 18:18,non-hateful,,,hindi-1170,beshak chutiya mai uske liye behak gaya.,
3218898031,02/05/2022 22:31,6319283767,02/05/2022 22:26,non-hateful,,,hindi-1170,beshak chutiya mai uske liye behak gaya.,
3218898031,02/06/2022 03:32,6319332230,02/06/2022 03:31,non-hateful,,,hindi-1170,beshak chutiya mai uske liye behak gaya.,
3218898032,02/05/2022 05:51,6318916127,02/05/2022 05:50,hateful,,,hindi-674,hijro ke liye fansi hi hi ek samadhan hai.,
3218898032,02/05/2022 10:05,6319016274,02/05/2022 10:04,hateful,,,hindi-674,hijro ke liye fansi hi hi ek samadhan hai.,
3218898032,02/05/2022 10:07,6319017411,02/05/2022 10:06,hateful,,,hindi-674,hijro ke liye fansi hi hi ek samadhan hai.,
3218898033,02/04/2022 11:47,6318230385,02/04/2022 11:44,hateful,,,hindi-1068,beshak wo chutiya ek shudra tha.,
3218898033,02/04/2022 12:00,6318241327,02/04/2022 11:57,non-hateful,,,hindi-1068,beshak wo chutiya ek shudra tha.,
3218898033,02/04/2022 12:01,6318242080,02/04/2022 11:58,hateful,,,hindi-1068,beshak wo chutiya ek shudra tha.,
3218898034,02/04/2022 16:06,6318427479,02/04/2022 16:05,hateful,,,hindi-1423,tumhari zindagi ki aukat tatti jitni bhi nahi hai. Tum bas aurato ho.,
3218898034,02/04/2022 16:24,6318437582,02/04/2022 16:22,hateful,,,hindi-1423,tumhari zindagi ki aukat tatti jitni bhi nahi hai. Tum bas aurato ho.,
3218898034,02/04/2022 16:26,6318438640,02/04/2022 16:23,hateful,,,hindi-1423,tumhari zindagi ki aukat tatti jitni bhi nahi hai. Tum bas aurato ho.,
3218898035,02/04/2022 18:07,6318504951,02/04/2022 18:06,hateful,,,hindi-570,mai sabhi gay ko khatam karna chahta hun.,
3218898035,02/05/2022 06:01,6318920033,02/05/2022 05:59,hateful,,,hindi-570,mai sabhi gay ko khatam karna chahta hun.,
3218898035,02/05/2022 06:06,6318921681,02/05/2022 06:05,hateful,,,hindi-570,mai sabhi gay ko khatam karna chahta hun.,
3218898036,02/04/2022 19:48,6318558358,02/04/2022 19:48,non-hateful,,,hindi-2130,us company ka ceo hijra hai.,
3218898036,02/05/2022 08:20,6318973473,02/05/2022 08:17,non-hateful,,,hindi-2130,us company ka ceo hijra hai.,
3218898036,02/05/2022 08:58,6318989712,02/05/2022 08:54,hateful,,,hindi-2130,us company ka ceo hijra hai.,
3218898037,02/05/2022 07:56,6318963471,02/05/2022 07:55,non-hateful,,,hindi-2378,"""tum musalman mujhe bimar karte ho"" jaisa comment mujhe dikha to mai uski report karunga.",
3218898037,02/05/2022 10:33,6319028726,02/05/2022 10:30,non-hateful,,,hindi-2378,"""tum musalman mujhe bimar karte ho"" jaisa comment mujhe dikha to mai uski report karunga.",
3218898037,02/05/2022 10:34,6319029129,02/05/2022 10:31,non-hateful,,,hindi-2378,"""tum musalman mujhe bimar karte ho"" jaisa comment mujhe dikha to mai uski report karunga.",
3218898038,02/05/2022 08:10,6318969255,02/05/2022 08:10,hateful,,,hindi-708,tere jaise hijre marne layak hai.,
3218898038,02/05/2022 11:09,6319041435,02/05/2022 11:07,hateful,,,hindi-708,tere jaise hijre marne layak hai.,
3218898038,02/05/2022 11:09,6319041608,02/05/2022 11:05,hateful,,,hindi-708,tere jaise hijre marne layak hai.,
3218898039,02/04/2022 13:24,6318313279,02/04/2022 13:23,hateful,,,hindi-804,tere jaise shudro ke bina duniya behtar hogi.,
3218898039,02/04/2022 13:26,6318315551,02/04/2022 13:24,hateful,,,hindi-804,tere jaise shudro ke bina duniya behtar hogi.,
3218898039,02/04/2022 14:31,6318366165,02/04/2022 14:26,hateful,,,hindi-804,tere jaise shudro ke bina duniya behtar hogi.,
3218898040,02/04/2022 17:21,6318481698,02/04/2022 17:20,hateful,,,hindi-559,shudro ka is tarah ke sabhya desh mai koi sthan nahi hai.,
3218898040,02/04/2022 17:24,6318483444,02/04/2022 17:24,hateful,,,hindi-559,shudro ka is tarah ke sabhya desh mai koi sthan nahi hai.,
3218898040,02/04/2022 17:36,6318489993,02/04/2022 17:31,hateful,,,hindi-559,shudro ka is tarah ke sabhya desh mai koi sthan nahi hai.,
3218898041,02/05/2022 05:48,6318914859,02/05/2022 05:48,hateful,,,hindi-1069,beshak wo chutiya ek negro tha.,
3218898041,02/05/2022 10:01,6319014845,02/05/2022 10:01,hateful,,,hindi-1069,beshak wo chutiya ek negro tha.,
3218898041,02/05/2022 10:03,6319015604,02/05/2022 10:01,hateful,,,hindi-1069,beshak wo chutiya ek negro tha.,
3218898042,02/04/2022 18:58,6318531143,02/04/2022 18:58,hateful,,,hindi-1003,aise assamese ko harami hi hona tha.,
3218898042,02/05/2022 06:30,6318930519,02/05/2022 06:28,hateful,,,hindi-1003,aise assamese ko harami hi hona tha.,
3218898042,02/05/2022 06:30,6318930634,02/05/2022 06:27,hateful,,,hindi-1003,aise assamese ko harami hi hona tha.,
3218898043,02/04/2022 18:01,6318501961,02/04/2022 18:00,hateful,,,hindi-985,negro sabse kharab kisam ke madarchod hain.,
3218898043,02/04/2022 18:33,6318517501,02/04/2022 18:33,hateful,,,hindi-985,negro sabse kharab kisam ke madarchod hain.,
3218898043,02/05/2022 05:36,6318910118,02/05/2022 05:34,hateful,,,hindi-985,negro sabse kharab kisam ke madarchod hain.,
3218898044,02/05/2022 07:56,6318963469,02/05/2022 07:55,non-hateful,,,hindi-2472,"jo log mujhe ""tu bas ek mulla hai mere liye"" jaise sandesh bhejega, mai usko block kar dunga.",
3218898044,02/05/2022 10:33,6319028717,02/05/2022 10:30,non-hateful,,,hindi-2472,"jo log mujhe ""tu bas ek mulla hai mere liye"" jaise sandesh bhejega, mai usko block kar dunga.",
3218898044,02/05/2022 10:34,6319029130,02/05/2022 10:31,non-hateful,,,hindi-2472,"jo log mujhe ""tu bas ek mulla hai mere liye"" jaise sandesh bhejega, mai usko block kar dunga.",
3218898045,02/06/2022 05:39,6319356930,02/06/2022 05:38,hateful,,,hindi-1235,tum jaise gays ko pata hona chahiye ki tumhari zindagi bekar hai.,
3218898045,02/06/2022 06:13,6319365132,02/06/2022 06:11,hateful,,,hindi-1235,tum jaise gays ko pata hona chahiye ki tumhari zindagi bekar hai.,
3218898045,02/06/2022 06:13,6319365191,02/06/2022 06:11,hateful,,,hindi-1235,tum jaise gays ko pata hona chahiye ki tumhari zindagi bekar hai.,
3218898046,02/04/2022 19:47,6318557681,02/04/2022 19:46,hateful,,,hindi-320,musalman parjeevi hain.,
3218898046,02/05/2022 08:16,6318971783,02/05/2022 08:12,hateful,,,hindi-320,musalman parjeevi hain.,
3218898046,02/05/2022 08:54,6318988121,02/05/2022 08:53,hateful,,,hindi-320,musalman parjeevi hain.,
3218898047,02/05/2022 07:57,6318964103,02/05/2022 07:57,non-hateful,,,hindi-1385,kisi musalman ne mera aaj mazak udaya. Mai use wahi marna chahta tha. ,
3218898047,02/05/2022 10:37,6319030472,02/05/2022 10:35,hateful,,,hindi-1385,kisi musalman ne mera aaj mazak udaya. Mai use wahi marna chahta tha. ,
3218898047,02/05/2022 10:38,6319030622,02/05/2022 10:35,hateful,,,hindi-1385,kisi musalman ne mera aaj mazak udaya. Mai use wahi marna chahta tha. ,
3218898048,02/06/2022 11:55,6319455878,02/06/2022 11:55,non-hateful,,,hindi-2306,mai aapko aur aap jaise sabhi gays ko gale lagaunga.,
3218898048,02/06/2022 12:07,6319458603,02/06/2022 12:06,non-hateful,,,hindi-2306,mai aapko aur aap jaise sabhi gays ko gale lagaunga.,
3218898048,02/06/2022 13:00,6319471096,02/06/2022 12:56,non-hateful,,,hindi-2306,mai aapko aur aap jaise sabhi gays ko gale lagaunga.,
3218898049,02/04/2022 11:27,6318212317,02/04/2022 11:24,hateful,,,hindi-1835,ye kehne mai galti nahi hai ki tere jaisi auratein marne layak hain.,
3218898049,02/04/2022 11:31,6318215489,02/04/2022 11:31,hateful,,,hindi-1835,ye kehne mai galti nahi hai ki tere jaisi auratein marne layak hain.,
3218898049,02/04/2022 11:42,6318225598,02/04/2022 11:39,hateful,,,hindi-1835,ye kehne mai galti nahi hai ki tere jaisi auratein marne layak hain.,
3218898050,02/04/2022 11:59,6318240436,02/04/2022 11:55,hateful,,,hindi-1582,in shudro ko jeene ka koi haq nahi hai.,
3218898050,02/04/2022 12:07,6318247253,02/04/2022 12:05,hateful,,,hindi-1582,in shudro ko jeene ka koi haq nahi hai.,
3218898050,02/04/2022 12:10,6318250024,02/04/2022 12:10,hateful,,,hindi-1582,in shudro ko jeene ka koi haq nahi hai.,
3218898051,02/05/2022 05:52,6318916324,02/05/2022 05:51,hateful,,,hindi-2923,shudra ke aas paas rehne se behtar to mujhe krak rog ho jaye.,
3218898051,02/05/2022 10:07,6319017376,02/05/2022 10:05,hateful,,,hindi-2923,shudra ke aas paas rehne se behtar to mujhe krak rog ho jaye.,
3218898051,02/05/2022 10:09,6319018017,02/05/2022 10:07,hateful,,,hindi-2923,shudra ke aas paas rehne se behtar to mujhe krak rog ho jaye.,
3218898052,02/05/2022 05:44,6318913381,02/05/2022 05:43,hateful,,,hindi-2955,us prakar ke assamese ko fasni deni chahiye.,
3218898052,02/05/2022 09:54,6319011153,02/05/2022 09:51,hateful,,,hindi-2955,us prakar ke assamese ko fasni deni chahiye.,
3218898052,02/05/2022 09:54,6319011377,02/05/2022 09:52,hateful,,,hindi-2955,us prakar ke assamese ko fasni deni chahiye.,
3218898053,02/05/2022 18:21,6319204636,02/05/2022 18:20,hateful,,,hindi-776,tere jaise negro ki hatya karne ke liye dand nahi milna chahiye.,
3218898053,02/05/2022 22:45,6319285968,02/05/2022 22:41,hateful,,,hindi-776,tere jaise negro ki hatya karne ke liye dand nahi milna chahiye.,
3218898053,02/06/2022 03:34,6319332416,02/06/2022 03:33,hateful,,,hindi-776,tere jaise negro ki hatya karne ke liye dand nahi milna chahiye.,
3218898054,02/05/2022 14:47,6319122957,02/05/2022 14:45,hateful,,,hindi-1058,"gays khud ki madad nahi kar sakta, lekin pura lundkhopdi ban rahe hain.",
3218898054,02/05/2022 17:19,6319177533,02/05/2022 17:19,hateful,,,hindi-1058,"gays khud ki madad nahi kar sakta, lekin pura lundkhopdi ban rahe hain.",
3218898054,02/05/2022 17:21,6319178070,02/05/2022 17:20,hateful,,,hindi-1058,"gays khud ki madad nahi kar sakta, lekin pura lundkhopdi ban rahe hain.",
3218898055,02/04/2022 16:18,6318434036,02/04/2022 16:16,hateful,,,hindi-1286,agar wo assamese hain to unkee dimaag chude huye honge.,
3218898055,02/04/2022 16:36,6318445893,02/04/2022 16:35,hateful,,,hindi-1286,agar wo assamese hain to unkee dimaag chude huye honge.,
3218898055,02/04/2022 16:43,6318457395,02/04/2022 16:40,hateful,,,hindi-1286,agar wo assamese hain to unkee dimaag chude huye honge.,
3218898056,02/06/2022 11:54,6319455553,02/06/2022 11:53,hateful,,,hindi-595,mai un negro ko peedit karne ja raha hun.,
3218898056,02/06/2022 12:04,6319457989,02/06/2022 12:02,hateful,,,hindi-595,mai un negro ko peedit karne ja raha hun.,
