functionality,templ_id,ref_templ_id,focus_lemma,case_templ,trans_deepl,trans_google,trans_manual,number,case,gender_male,gender_female
derog_neg_emote_h,1,,hate,I hate [IDENT_P].,I hate [IDENT_P].,Ich hasse [IDENT_P].,Ich hasse [IDENT_P].,P,Indef,,
derog_neg_emote_h,2,,can't stand,I really can't stand [IDENT_P] like you.,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,Ich kann [IDENT_P] wie dich wirklich nicht ausstehen.,P,Indef,,
derog_neg_emote_h,3,,despise,I despise [IDENT_P].,Ich verachte [IDENT_P].,Ich verachte [IDENT_P].,Ich verachte [IDENT_P].,P,Indef,,
derog_neg_emote_h,4,,detest,I detest [IDENT_P].,Ich hasse [IDENT_P].,Ich verabscheue [IDENT_P].,Ich verabscheue [IDENT_P].,P,Indef,,
derog_neg_emote_h,5,,loathe,I absolutely loathe [IDENT_P].,Ich verabscheue [IDENT_P] absolut.,Ich hasse [IDENT_P] absolut.,"Ich muss kotzen, wenn ich [IDENT_P] sehe.",P,Indef,,
derog_neg_emote_h,6,,disgusted,Disgusted by all the [IDENT_P] around here.,Angewidert von all dem [IDENT_P] hier.,Angewidert von all den [IDENT_P] hier.,Angewidert von all den [IDENT_P] hier.,P,Dat,,
derog_neg_emote_h,7,,disdain,I have so much disdain for these [IDENT_P].,Ich habe so viel Verachtung für diese [IDENT_P].,Ich verachte diese [IDENT_P] so sehr.,Ich habe so viel Verachtung für diese [IDENT_P].,P,Akk,,
derog_neg_emote_h,8,,hatred,I have so much hatred for you [IDENT_P].,Ich habe so viel Hass auf dich [IDENT_P].,Ich hasse dich so sehr [IDENT_P].,Ich hab so viel Hass auf [IDENT_P].,P,Indef,,
derog_neg_emote_h,9,,sick,So sick of being around [IDENT_P] like you.,"Ich habe es so satt, mit [IDENT_P] wie dir zusammen zu sein.","Ich habe es so satt, in der Nähe von [IDENT_P] wie dir zu sein.","Ich habe es so satt, in der Nähe von [IDENT_P] wie dir zu sein.",P,Dat,,
derog_neg_emote_h,10,,contempt,I feel nothing but contempt for [IDENT_P].,Ich empfinde nichts als Verachtung für [IDENT_P].,Ich empfinde nichts als Verachtung für [IDENT_P].,Ich empfinde nichts als Abscheu für [IDENT_P].,P,Indef,,
derog_neg_emote_h,11,,disgust,These [IDENT_P] disgust me so much.,Diese [IDENT_P] widern mich so sehr an.,Diese [IDENT_P] ekeln mich so sehr.,Diese [IDENT_P] widern mich so an.,P,Nom,,
derog_neg_emote_h,12,,worst,[IDENT_P] are the absolute worst.,[IDENT_P] sind die absolut schlimmsten.,[IDENT_P] sind die absolut schlimmsten.,[IDENT_P] sind die absolut Schlimmsten.,P,Indef,,
derog_neg_emote_h,13,,make sb. sick,You [IDENT_P] make me sick.,Sie [IDENT_P] machen mich krank.,Du [IDENT_P] machst mich krank.,Ihr [IDENT_P] macht mich krank.,P,Nom,,
derog_neg_emote_h,14,,worse,There is nothing worse than a [IDENT_S].,Es gibt nichts Schlimmeres als eine [IDENT_S].,Es gibt nichts Schlimmeres als ein [IDENT_S].,N/A,S,Akk,Es gibt nichts Schlimmeres als einen [male_IDENT_S].,Es gibt nichts Schlimmeres als eine [female_IDENT_S].
derog_neg_emote_h,15,,angry,Seeing [IDENT_P] in this place makes me so angry.,"Es macht mich so wütend, [IDENT_P] an diesem Ort zu sehen.","[IDENT_P] an diesem Ort zu sehen, macht mich so wütend.","Hier [IDENT_P] zu sehen, macht mich so wütend.",P,Indef,,
