_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3214389865,02/01/2022 12:21,6313995747,02/01/2022 12:17,hateful,,,french-3346,Comportement typiquedetafiole.,
3214389865,02/01/2022 12:22,6313996425,02/01/2022 12:18,hateful,,,french-3346,Comportement typiquedetafiole.,
3214389865,02/01/2022 12:22,6313996433,02/01/2022 12:18,hateful,,,french-3346,Comportement typiquedetafiole.,
3214389866,02/01/2022 11:25,6313954197,02/01/2022 11:20,non-hateful,,,french-2176,Nous ne couvrons pas beaucoup d'auteurs handicapé.,
3214389866,02/01/2022 11:25,6313954202,02/01/2022 11:20,non-hateful,,,french-2176,Nous ne couvrons pas beaucoup d'auteurs handicapé.,
3214389866,02/01/2022 11:26,6313954308,02/01/2022 11:21,non-hateful,,,french-2176,Nous ne couvrons pas beaucoup d'auteurs handicapé.,
3214389867,02/01/2022 05:02,6313719033,02/01/2022 04:57,non-hateful,,,french-847,C'est normal pour un bicot  comme toi.,
3214389867,02/01/2022 05:02,6313719058,02/01/2022 04:57,non-hateful,,,french-847,C'est normal pour un bicot  comme toi.,
3214389867,02/01/2022 05:02,6313719337,02/01/2022 04:58,non-hateful,,,french-847,C'est normal pour un bicot  comme toi.,
3214389868,02/02/2022 01:06,6314569388,02/02/2022 01:01,hateful,,,french-3216,Les handicapés ne peuvent pas s'empêcher d'être de totales têtes de cn.,
3214389868,02/02/2022 01:09,6314573404,02/02/2022 01:04,hateful,,,french-3216,Les handicapés ne peuvent pas s'empêcher d'être de totales têtes de cn.,
3214389868,02/02/2022 01:09,6314573623,02/02/2022 01:04,hateful,,,french-3216,Les handicapés ne peuvent pas s'empêcher d'être de totales têtes de cn.,
3214389869,02/01/2022 10:21,6313913657,02/01/2022 10:17,hateful,,,french-2977,Seuls les handicapés sont aussi ignoratns.,
3214389869,02/01/2022 10:21,6313913660,02/01/2022 10:17,hateful,,,french-2977,Seuls les handicapés sont aussi ignoratns.,
3214389869,02/01/2022 10:23,6313914500,02/01/2022 10:18,hateful,,,french-2977,Seuls les handicapés sont aussi ignoratns.,
3214389870,1/31/2022 18:34:12,6313424247,1/31/2022 18:29:31,hateful,,,french-1669,Les gens doivent comprendre que les trans ne sont pas une menace pour la civilisation.,
3214389870,1/31/2022 18:36:34,6313425596,1/31/2022 18:32:07,non-hateful,,,french-1669,Les gens doivent comprendre que les trans ne sont pas une menace pour la civilisation.,
3214389870,1/31/2022 18:36:38,6313425625,1/31/2022 18:32:11,non-hateful,,,french-1669,Les gens doivent comprendre que les trans ne sont pas une menace pour la civilisation.,
3214389871,02/01/2022 13:35,6314045691,02/01/2022 13:33,hateful,,,french-1819,Cela ne démontre-t-il pas clairement que les handicapés sont des pourritures ?,
3214389871,02/01/2022 13:38,6314047664,02/01/2022 13:33,hateful,,,french-1819,Cela ne démontre-t-il pas clairement que les handicapés sont des pourritures ?,
3214389871,02/01/2022 13:39,6314048743,02/01/2022 13:35,hateful,,,french-1819,Cela ne démontre-t-il pas clairement que les handicapés sont des pourritures ?,
3214389872,02/01/2022 22:27,6314378731,02/01/2022 22:25,hateful,,,french-1505,On parle des réfugiés ici. Ils ne peuvent pas s'empêcher d'être de parfaits têtes de cons.,
3214389872,02/01/2022 22:31,6314382478,02/01/2022 22:26,non-hateful,,,french-1505,On parle des réfugiés ici. Ils ne peuvent pas s'empêcher d'être de parfaits têtes de cons.,
3214389872,02/01/2022 22:31,6314382513,02/01/2022 22:26,non-hateful,,,french-1505,On parle des réfugiés ici. Ils ne peuvent pas s'empêcher d'être de parfaits têtes de cons.,
3214389873,02/01/2022 03:13,6313670851,02/01/2022 03:10,hateful,,,french-512,Permettre à un trans suppléméntaire d'être élu au gouvernement serait la ruine de notre pays.,
3214389873,02/01/2022 03:16,6313672133,02/01/2022 03:11,hateful,,,french-512,Permettre à un trans suppléméntaire d'être élu au gouvernement serait la ruine de notre pays.,
3214389873,02/01/2022 03:21,6313673974,02/01/2022 03:16,hateful,,,french-512,Permettre à un trans suppléméntaire d'être élu au gouvernement serait la ruine de notre pays.,
3214389874,02/01/2022 08:18,6313828453,02/01/2022 08:17,hateful,,,french-1470,On devrait simplement les abattre. Ce ne sont que des handicapés après tout.,
3214389874,02/01/2022 08:18,6313828454,02/01/2022 08:17,hateful,,,french-1470,On devrait simplement les abattre. Ce ne sont que des handicapés après tout.,
3214389874,02/01/2022 08:23,6313831532,02/01/2022 08:18,hateful,,,french-1470,On devrait simplement les abattre. Ce ne sont que des handicapés après tout.,
3214389875,02/01/2022 09:44,6313887244,02/01/2022 09:43,hateful,,,french-2927,Il serait préférable de juste noyer ce genre de voleurs.,
3214389875,02/01/2022 09:45,6313888785,02/01/2022 09:44,hateful,,,french-2927,Il serait préférable de juste noyer ce genre de voleurs.,
3214389875,02/01/2022 09:48,6313891342,02/01/2022 09:43,non-hateful,,,french-2927,Il serait préférable de juste noyer ce genre de voleurs.,
3214389876,1/31/2022 16:30:57,6313330412,1/31/2022 16:26:33,hateful,,,french-1091,Les réfugiés comme vous me font tellement chier.,
3214389876,1/31/2022 17:01:14,6313357440,1/31/2022 16:56:47,hateful,,,french-1091,Les réfugiés comme vous me font tellement chier.,
3214389876,1/31/2022 17:27:33,6313377053,1/31/2022 17:22:46,hateful,,,french-1091,Les réfugiés comme vous me font tellement chier.,
3214389877,1/31/2022 20:44:25,6313539973,1/31/2022 20:41:22,hateful,,,french-528,Je préfèrerais mourir que de sortir avec un black.,
3214389877,1/31/2022 20:47:59,6313541926,1/31/2022 20:43:26,hateful,,,french-528,Je préfèrerais mourir que de sortir avec un black.,
3214389877,1/31/2022 20:48:01,6313541937,1/31/2022 20:43:27,hateful,,,french-528,Je préfèrerais mourir que de sortir avec un black.,
3214389878,02/01/2022 21:51,6314358895,02/01/2022 21:46,hateful,,,french-381,Homos sont juste irrécupérables.,
3214389878,02/01/2022 21:52,6314359370,02/01/2022 21:47,hateful,,,french-381,Homos sont juste irrécupérables.,
3214389878,02/01/2022 21:52,6314359381,02/01/2022 21:47,hateful,,,french-381,Homos sont juste irrécupérables.,
3214389879,02/01/2022 04:53,6313715177,02/01/2022 04:48,hateful,,,french-2016,"Selon la manière dont je vois les choses, nous devrions nous débarrasser des handicapés une bonne fois pour toutes.",
3214389879,02/01/2022 04:55,6313716097,02/01/2022 04:50,hateful,,,french-2016,"Selon la manière dont je vois les choses, nous devrions nous débarrasser des handicapés une bonne fois pour toutes.",
3214389879,02/01/2022 04:57,6313717206,02/01/2022 04:55,hateful,,,french-2016,"Selon la manière dont je vois les choses, nous devrions nous débarrasser des handicapés une bonne fois pour toutes.",
3214389880,02/01/2022 13:47,6314053942,02/01/2022 13:42,hateful,,,french-473,La vie de n'importe quel insecte est plus précieuse que celle d'un black.,
3214389880,02/01/2022 13:47,6314054121,02/01/2022 13:42,hateful,,,french-473,La vie de n'importe quel insecte est plus précieuse que celle d'un black.,
3214389880,02/01/2022 13:49,6314055068,02/01/2022 13:44,hateful,,,french-473,La vie de n'importe quel insecte est plus précieuse que celle d'un black.,
3214389881,02/01/2022 17:26,6314193574,02/01/2022 17:24,hateful,,,french-276,"Les homos sont,débiles, sans exception",
3214389881,02/01/2022 17:30,6314195214,02/01/2022 17:25,hateful,,,french-276,"Les homos sont,débiles, sans exception",
3214389881,02/01/2022 17:30,6314195412,02/01/2022 17:25,hateful,,,french-276,"Les homos sont,débiles, sans exception",
3214389882,02/01/2022 19:06,6314258980,02/01/2022 19:02,hateful,,,french-199,Les homos comme toi sont juste pitoyables.,
3214389882,02/01/2022 19:10,6314263447,02/01/2022 19:05,hateful,,,french-199,Les homos comme toi sont juste pitoyables.,
3214389882,02/01/2022 19:10,6314264129,02/01/2022 19:06,hateful,,,french-199,Les homos comme toi sont juste pitoyables.,
