_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3214393615,02/03/2022 19:16,6317008176,02/03/2022 19:15,non-hateful,,,portuguese-1124,Essa foi foda.,
3214393615,02/03/2022 19:45,6317057151,02/03/2022 19:41,non-hateful,,,portuguese-1124,Essa foi foda.,
3214393615,02/04/2022 21:45,6318712772,02/04/2022 21:41,non-hateful,,,portuguese-1124,Essa foi foda.,
3214393616,02/02/2022 16:16,6315463791,02/02/2022 16:13,hateful,,,portuguese-1017,Esses judeus devem calar a porra da boca de uma vez por todas.,
3214393616,02/03/2022 13:28,6316707106,02/03/2022 13:26,hateful,,,portuguese-1017,Esses judeus devem calar a porra da boca de uma vez por todas.,
3214393616,02/03/2022 14:17,6316746771,02/03/2022 14:13,hateful,,,portuguese-1017,Esses judeus devem calar a porra da boca de uma vez por todas.,
3214393617,02/02/2022 17:37,6315534488,02/02/2022 17:32,non-hateful,,,portuguese-2521,"Eu não tenho nenhum respeito por pessoas que escrevem coisas como ""têm putas demais nesse país"".",
3214393617,02/03/2022 14:11,6316741601,02/03/2022 14:09,hateful,,,portuguese-2521,"Eu não tenho nenhum respeito por pessoas que escrevem coisas como ""têm putas demais nesse país"".",
3214393617,02/03/2022 17:14,6316907372,02/03/2022 17:11,non-hateful,,,portuguese-2521,"Eu não tenho nenhum respeito por pessoas que escrevem coisas como ""têm putas demais nesse país"".",
3214393618,02/04/2022 13:43,6318330763,02/04/2022 13:43,hateful,,,portuguese-2617,Você não percebe o quão detestável você está sendo ao chamar gays de lixo humano?,
3214393618,02/05/2022 21:55,6319275898,02/05/2022 21:51,hateful,,,portuguese-2617,Você não percebe o quão detestável você está sendo ao chamar gays de lixo humano?,
3214393618,02/06/2022 16:42,6319532425,02/06/2022 16:37,non-hateful,,,portuguese-2617,Você não percebe o quão detestável você está sendo ao chamar gays de lixo humano?,
3214393619,1/31/2022 16:02:28,6313305742,1/31/2022 16:01:52,hateful,,,portuguese-1446,Os judeus não vão mudar. Temos que erradicá-los.,
3214393619,1/31/2022 16:27:10,6313326282,1/31/2022 16:26:27,hateful,,,portuguese-1446,Os judeus não vão mudar. Temos que erradicá-los.,
3214393619,1/31/2022 16:44:57,6313343971,1/31/2022 16:44:18,hateful,,,portuguese-1446,Os judeus não vão mudar. Temos que erradicá-los.,
3214393620,1/31/2022 18:20:57,6313415566,1/31/2022 18:19:07,hateful,,,portuguese-1607,Não devemos deixar nenhum judeu viver.,
3214393620,1/31/2022 18:25:08,6313418484,1/31/2022 18:23:35,hateful,,,portuguese-1607,Não devemos deixar nenhum judeu viver.,
3214393620,1/31/2022 18:39:54,6313427538,1/31/2022 18:35:35,hateful,,,portuguese-1607,Não devemos deixar nenhum judeu viver.,
3214393621,1/31/2022 18:24:13,6313417834,1/31/2022 18:22:55,hateful,,,portuguese-3383,Eu não sinto nada além de desprezo por pessoas t r a n s.,
3214393621,1/31/2022 18:29:23,6313421279,1/31/2022 18:27:54,hateful,,,portuguese-3383,Eu não sinto nada além de desprezo por pessoas t r a n s.,
3214393621,1/31/2022 18:46:30,6313432549,1/31/2022 18:41:59,hateful,unrealistic,,portuguese-3383,Eu não sinto nada além de desprezo por pessoas t r a n s.,
3214393622,02/02/2022 22:17,6315748556,02/02/2022 22:13,non-hateful,,,portuguese-2359,Vou dar um abraço em você e em todos os outros judeus.,
3214393622,02/03/2022 18:26,6316970588,02/03/2022 18:24,non-hateful,,,portuguese-2359,Vou dar um abraço em você e em todos os outros judeus.,
3214393622,02/04/2022 19:55,6318561525,02/04/2022 19:50,non-hateful,,,portuguese-2359,Vou dar um abraço em você e em todos os outros judeus.,
3214393623,02/01/2022 15:03,6314109306,02/01/2022 15:01,non-hateful,,,portuguese-1207,"Por favor, me avisa se eu estou sendo um pé no saco.",
3214393623,02/01/2022 18:46,6314245853,02/01/2022 18:45,non-hateful,,,portuguese-1207,"Por favor, me avisa se eu estou sendo um pé no saco.",
3214393623,02/01/2022 23:28,6314446296,02/01/2022 23:23,non-hateful,,,portuguese-1207,"Por favor, me avisa se eu estou sendo um pé no saco.",
3214393624,02/03/2022 17:37,6316926046,02/03/2022 17:34,hateful,,,portuguese-548,Não há nada no mundo que eu goste menos do que um judeu.,
3214393624,02/03/2022 19:08,6317002155,02/03/2022 19:06,hateful,,,portuguese-548,Não há nada no mundo que eu goste menos do que um judeu.,
3214393624,02/04/2022 21:27,6318695610,02/04/2022 21:24,hateful,,,portuguese-548,Não há nada no mundo que eu goste menos do que um judeu.,
3214393625,02/02/2022 17:55,6315549386,02/02/2022 17:51,non-hateful,,,portuguese-2188,Meu gerente também é negro.,
