mhc_case_id,test_case
hindi-3510,sabhi negro ko mrutyu m1le.
hindi-1474,assamese kabhi bhi aur logo jitne bhuddimaan nahi ho sakte.
hindi-1170,beshak chutiya mai uske liye behak gaya.
hindi-674,hijro ke liye fansi hi hi ek samadhan hai.
hindi-1068,beshak wo chutiya ek shudra tha.
hindi-1423,tumhari zindagi ki aukat tatti jitni bhi nahi hai. Tum bas aurato ho.
hindi-570,mai sabhi gay ko khatam karna chahta hun.
hindi-2130,us company ka ceo hijra hai.
hindi-2378,"""tum musalman mujhe bimar karte ho"" jaisa comment mujhe dikha to mai uski report karunga."
hindi-708,tere jaise hijre marne layak hai.
hindi-804,tere jaise shudro ke bina duniya behtar hogi.
hindi-559,shudro ka is tarah ke sabhya desh mai koi sthan nahi hai.
hindi-1069,beshak wo chutiya ek negro tha.
hindi-1003,aise assamese ko harami hi hona tha.
hindi-985,negro sabse kharab kisam ke madarchod hain.
hindi-2472,"jo log mujhe ""tu bas ek mulla hai mere liye"" jaise sandesh bhejega, mai usko block kar dunga."
hindi-1235,tum jaise gays ko pata hona chahiye ki tumhari zindagi bekar hai.
hindi-320,musalman parjeevi hain.
hindi-1385,kisi musalman ne mera aaj mazak udaya. Mai use wahi marna chahta tha. 
hindi-2306,mai aapko aur aap jaise sabhi gays ko gale lagaunga.
hindi-1835,ye kehne mai galti nahi hai ki tere jaisi auratein marne layak hain.
hindi-1582,in shudro ko jeene ka koi haq nahi hai.
hindi-2923,shudra ke aas paas rehne se behtar to mujhe krak rog ho jaye.
hindi-2955,us prakar ke assamese ko fasni deni chahiye.
hindi-776,tere jaise negro ki hatya karne ke liye dand nahi milna chahiye.
hindi-1058,"gays khud ki madad nahi kar sakta, lekin pura lundkhopdi ban rahe hain."
hindi-1286,agar wo assamese hain to unkee dimaag chude huye honge.
hindi-595,mai un negro ko peedit karne ja raha hun.
hindi-2882,negro ke swabhaav mai hi hai aise asabhya hona.
hindi-1311,aurato ko lagta hai ki wo khaas hain. Mujhe unse nafrat hai.
hindi-2013,mai ek gay hun.
hindi-1301,itni duniya to dekhi hai maine ye batane ke liye ki sabhi musalman gandu hain.
hindi-284,assamese dhool hain.
hindi-3518,kisi ko bas un aurato ko ch4ku mar dena chahiye.
hindi-671,aaiye bas un shudro ko mita dein.
hindi-1887,mujhe lagta hai ki gays ka itna murkh hona samanya baat hai.
hindi-1317,negro ko lagta hai ki wo khaas hain. Mujhe unse nafrat hai.
hindi-361,assamese zindagi bekaar hai.
hindi-2932,sabhi aurato ko murtyu mile.
hindi-2295,mai un musalmano ko muskurane wala hun. 
hindi-3324,hijre k a r k rog hain.
hindi-1214,wo gays insaan dikhte hai par hai wo parijeevi hi.
