_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3216336666,02/03/2022 19:37,6317031406,02/03/2022 19:37,hateful,,,italian-1504,Non ho nessuna compassione per un musulmano come te.,
3216336666,02/03/2022 20:11,6317135678,02/03/2022 20:08,hateful,,,italian-1504,Non ho nessuna compassione per un musulmano come te.,
3216336666,02/03/2022 20:37,6317151015,02/03/2022 20:32,hateful,,,italian-1504,Non ho nessuna compassione per un musulmano come te.,
3216336667,02/02/2022 16:16,6315463987,02/02/2022 16:16,non-hateful,,,italian-2503,"Devi essere davvero triste per scrivere cose come ""i gay come te si meritano di morire"".",
3216336667,02/02/2022 16:25,6315472590,02/02/2022 16:23,non-hateful,,,italian-2503,"Devi essere davvero triste per scrivere cose come ""i gay come te si meritano di morire"".",
3216336667,02/02/2022 16:27,6315475172,02/02/2022 16:25,non-hateful,,,italian-2503,"Devi essere davvero triste per scrivere cose come ""i gay come te si meritano di morire"".",
3216336668,02/03/2022 13:28,6316706314,02/03/2022 13:27,hateful,,,italian-1395,Sicuramente sarà stato una persona di colore ad aver commesso quel crimine. Solo loro possono essere così violenti e crudeli.,
3216336668,02/03/2022 14:51,6316771318,02/03/2022 14:50,hateful,,,italian-1395,Sicuramente sarà stato una persona di colore ad aver commesso quel crimine. Solo loro possono essere così violenti e crudeli.,
3216336668,02/03/2022 15:32,6316817105,02/03/2022 15:29,hateful,,,italian-1395,Sicuramente sarà stato una persona di colore ad aver commesso quel crimine. Solo loro possono essere così violenti e crudeli.,
3216336669,02/02/2022 18:00,6315553487,02/02/2022 17:59,non-hateful,,,italian-2798,Ti odio.,
3216336669,02/02/2022 19:07,6315607564,02/02/2022 19:06,non-hateful,,,italian-2798,Ti odio.,
3216336669,02/02/2022 19:12,6315617542,02/02/2022 19:09,non-hateful,,,italian-2798,Ti odio.,
