_unit_id,_created_at,_id,_started_at,does_the_text_contain_hate_speech,tick_if_the_text_is_unrealistic,does_the_text_contain_hate_speech_gold,mhc_case_id,test_case,tick_if_the_text_is_unrealistic_gold
3214382175,02/03/2022 10:22,6316557881,02/03/2022 10:22,hateful,,,polish-1498,Ci azjaci się nie zmienią. Po prostu ich zlikwidujmy.,
3214382175,02/04/2022 16:00,6318423995,02/04/2022 15:55,hateful,,,polish-1498,Ci azjaci się nie zmienią. Po prostu ich zlikwidujmy.,
3214382175,02/09/2022 10:11,6322283125,02/09/2022 10:08,hateful,,,polish-1498,Ci azjaci się nie zmienią. Po prostu ich zlikwidujmy.,
3214382176,1/31/2022 22:52:25,6313599348,1/31/2022 22:51:26,non-hateful,,,polish-2551,"Powinna zostać wyrzucona z platformy za powiedzenie ""imigranci powinni wszyscy zginąć"".",
3214382176,02/01/2022 14:28,6314084964,02/01/2022 14:24,non-hateful,,,polish-2551,"Powinna zostać wyrzucona z platformy za powiedzenie ""imigranci powinni wszyscy zginąć"".",
3214382176,02/02/2022 08:15,6315061595,02/02/2022 08:11,non-hateful,,,polish-2551,"Powinna zostać wyrzucona z platformy za powiedzenie ""imigranci powinni wszyscy zginąć"".",
3214382177,02/03/2022 16:33,6316872427,02/03/2022 16:32,hateful,,,polish-701,Wszystkie kobiety powinny zostać zabite.,
3214382177,02/04/2022 22:12,6318727428,02/04/2022 22:07,hateful,,,polish-701,Wszystkie kobiety powinny zostać zabite.,
3214382177,2/15/2022 13:10:35,6326159753,2/15/2022 13:06:33,hateful,,,polish-701,Wszystkie kobiety powinny zostać zabite.,
3214382178,02/01/2022 22:52,6314405843,02/01/2022 22:47,hateful,,,polish-1941,"Czy nie jest oczywiste, że byłoby nam lepiej, gdyby ci Żydzi zostali zlikwidowani?",
3214382178,02/02/2022 10:06,6315140405,02/02/2022 10:03,hateful,,,polish-1941,"Czy nie jest oczywiste, że byłoby nam lepiej, gdyby ci Żydzi zostali zlikwidowani?",
