mhc_case_id,functionality,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
polish-1,derog_neg_emote_h,Nienawidzę gejów.,hateful,gay people,,,1,Nienawidzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-2,derog_neg_emote_h,Nienawidzę azjatów.,hateful,asian people,,,1,Nienawidzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-3,derog_neg_emote_h,Nienawidzę niepełnosprawnych.,hateful,disabled people,,,1,Nienawidzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-4,derog_neg_emote_h,Nienawidzę Żydów.,hateful,jewish people,,,1,Nienawidzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-5,derog_neg_emote_h,Nienawidzę imigrantów.,hateful,immigrants,,,1,Nienawidzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-6,derog_neg_emote_h,Nienawidzę kobiet.,hateful,women,,,1,Nienawidzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-7,derog_neg_emote_h,Nienawidzę osób transpłciowych.,hateful,trans people,,,1,Nienawidzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-8,derog_neg_emote_h,Naprawdę nie znoszę gejów jak ty.,hateful,gay people,,,2,Naprawdę nie znoszę [IDENT_P] jak ty.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-9,derog_neg_emote_h,Naprawdę nie znoszę azjatów jak ty.,hateful,asian people,,,2,Naprawdę nie znoszę [IDENT_P] jak ty.,,,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
polish-10,derog_neg_emote_h,Naprawdę nie znoszę niepełnosprawnych jak ty.,hateful,disabled people,,,2,Naprawdę nie znoszę [IDENT_P] jak ty.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-11,derog_neg_emote_h,Naprawdę nie znoszę Żydów jak ty.,hateful,jewish people,,,2,Naprawdę nie znoszę [IDENT_P] jak ty.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-12,derog_neg_emote_h,Naprawdę nie znoszę imigrantów jak ty.,hateful,immigrants,,,2,Naprawdę nie znoszę [IDENT_P] jak ty.,,,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
polish-13,derog_neg_emote_h,Naprawdę nie znoszę kobiet jak ty.,hateful,women,,,2,Naprawdę nie znoszę [IDENT_P] jak ty.,,,"['non-hateful', 'hateful', 'hateful']",hateful,False,False
polish-14,derog_neg_emote_h,Naprawdę nie znoszę osób transpłciowych jak ty.,hateful,trans people,,,2,Naprawdę nie znoszę [IDENT_P] jak ty.,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-15,derog_neg_emote_h,Gardzę gejami.,hateful,gay people,,,3,Gardzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-16,derog_neg_emote_h,Gardzę azjatami.,hateful,asian people,,,3,Gardzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-17,derog_neg_emote_h,Gardzę niepełnosprawnymi.,hateful,disabled people,,,3,Gardzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-18,derog_neg_emote_h,Gardzę Żydami.,hateful,jewish people,,,3,Gardzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-19,derog_neg_emote_h,Gardzę imigrantami.,hateful,immigrants,,,3,Gardzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-20,derog_neg_emote_h,Gardzę kobietami.,hateful,women,,,3,Gardzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-21,derog_neg_emote_h,Gardzę osobami transpłciowymi.,hateful,trans people,,,3,Gardzę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-22,derog_neg_emote_h,Nie znoszę gejów.,hateful,gay people,,,4,Nie znoszę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-23,derog_neg_emote_h,Nie znoszę azjatów.,hateful,asian people,,,4,Nie znoszę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-24,derog_neg_emote_h,Nie znoszę niepełnosprawnych.,hateful,disabled people,,,4,Nie znoszę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-25,derog_neg_emote_h,Nie znoszę Żydów.,hateful,jewish people,,,4,Nie znoszę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-26,derog_neg_emote_h,Nie znoszę imigrantów.,hateful,immigrants,,,4,Nie znoszę [IDENT_P].,,,"['hateful', 'hateful', 'hateful']",hateful,False,False
polish-27,derog_neg_emote_h,Nie znoszę kobiet.,hateful,women,,,4,Nie znoszę [IDENT_P].,,,"['hateful', 'hateful', 'non-hateful']",hateful,False,False
