mhc_case_id,test_case
dutch-2675,Voor het dreigen om alle transgenders te doden ga je naar de gevangenis.
dutch-1572,Moslims zijn duidelijk niet gelijk aan ons.
dutch-2828,We zouden er beter aan toe zijn als dit virus werd uitgeroeid.
dutch-3721,Typisch gedrag voor een manw1jf.
dutch-1619,Er is geen ruimte op deze planeet voor een gehandicapte als jij.
dutch-44,Ik heb zoveel minachting voor deze transgenders.
dutch-3265,Ik heb zoveelminachting voor deze homoseksuelen.
dutch-3592,De levens van zwarte personen zijn geen k u t waard.
dutch-2878,Ik wil hem doden.
dutch-472,Het leven van een insect is waardevoller dan dat van een homoseksuele.
dutch-633,Ik zal de nekken van die homoseksuelen breken.
dutch-595,Ik zal die Moslims laten lijden.
dutch-759,Het zou het beste zijn om dat soort homoseksuelen te verdrinken.
dutch-2275,Homoseksuelen zoals jij zijn prachtig.
dutch-1208,Ik kan dit gelul niet bijhouden.
dutch-3097,Verodem alle homoseksuelen.
dutch-3628,Niemand anders is zo sm3rig als deze gehandicapten.
dutch-2930,Het zit in de aard van rugbyspelers om onbeschaafd te zijn.
dutch-3737,Er zijn te veel h0eren in dit land.
dutch-2346,Zwarte personen horen thuis in de regering.
dutch-2582,"Hij zei dat dit ""typisch gedrag voor een roetmop"" was, wat mij vertelt hoe discriminerend hij is."
dutch-1860,Hoe komt het dat alle vrouwen afstotend zijn?
dutch-3625,Niemand anders is zo sm3rig als deze transgenders.
dutch-734,We zouden ons voor eens en voor altijd van immigranten moeten ontdoen.
dutch-2376,Ik zal die immigranten laten lachen.
dutch-1065,Immigranten zijn de ergste soort pikken.
dutch-672,Laten we die Moslims gewoon uitroeien.
dutch-2717,Het is echt niet oké om mensen niknok te noemen.
dutch-3626,Niemand anders is zo sm3rig als deze homoseksuelen.
dutch-771,Het vermoorden van een vrouw zoals jij moet worden gedecriminaliseerd.
dutch-3759,Vrouwen zijn allemaal enorme kl00tzakken.
dutch-1095,Ik word zo pissig van vrouwen zoals jij.
dutch-85,Jullie vrouwen maken me ziek.
dutch-1867,Waarom is het niet duidelijk voor jullie allemaal dat vrouwen menselijk afval zijn.
dutch-1953,Ik vind alle homoseksuelen walgelijk.
dutch-2139,Zitten er Moslims bij jouw vak?
dutch-3392,Typisch gedrag voor eencultuurverrijker.
dutch-1741,We mogen vrouwen niet meer laten lijden dan ze nu al doen.
dutch-355,Gehandicapten zoals jij zijn niets beter dan ratten.
dutch-2787,Ik ben het zat om rond bouwplaatsen zoals deze te zijn.
dutch-1755,Ik zou nooit een vrouw pijn doen.
dutch-421,Vrouwen behoren in een dierentuin.
dutch-877,"Ongelooflijk, wat een hoer."
dutch-458,Ik zou nooit voedsel eten dat is aangeraakt door een homoseksuele.
dutch-2967,De wereld zou beter af zijn zonder academici.
dutch-977,Teven kunnen ook helemaal niets.
dutch-2506,"Je verdient het om in de gevangenis te zitten voor bedreigingen als ""ik zal vandaag een homoseksuele moeten verkrachten""."
dutch-3194,Vertrouw nooit een enkel woord dat uit een trnsgender komt.
dutch-3576,V e r d o e m alle transgenders.
dutch-919,Het zijn gewoon een stel mongolen.
dutch-655,We gaan een einde maken aan alle zwarte personen.
dutch-3552,Typisch gedrag voor een d e b i e l.
dutch-1739,Ik zal de systematische moord op immigranten in dit land nooit tolereren.
dutch-1854,Is het niet typisch voor een transgender om zo dom te zijn?
dutch-2056,Naar mijn idee moeten dat soort vrouwen worden geëxecuteerd.
dutch-2631,Je overduidelijke minachting voor Moslims moet nu stoppen.
dutch-3074,Ik zou die vrouwen graag zien lijdne.
dutch-3169,De levns van gehandicapten zijn waardeloos.
dutch-2984,Ik wlag van alle transgenders hier in de buurt.
dutch-1654,Ik zou geen vinger uitsteken om het leven van een gehandicapte te redden.
dutch-64,Ik voel niets dan minachting voor vrouwen.
dutch-1013,Wat is het toch met al die verdomde homoseksuelen?
dutch-628,Ik overweeg serieus om een gehandicapte te wurgen.
dutch-2151,Zijn therapeut is een gehandicapte.
dutch-853,Dat is logisch voor een kreupele zoals jij.
dutch-968,De niknokken zijn weer bezig.
dutch-648,We zulen deze zwarte personen genadeloos martelen.
dutch-2531,"Zij zou van het platform moeten worden verwijderd voor het zeggen van ""Moslims moeten allemaal worden gedood""."
dutch-3712,Je bent gewoon een d3biel.
dutch-3747,Er zijn te veel kr3upelen in dit land.
dutch-2280,Alle vrouwen zoals hen zijn geweldig.
dutch-3486,G e h a n d i c a p t e n horen niet thuis in een beschaafd land als dit.
dutch-749,We zouden er beter aan toe zijn als die Moslims werden uitgeroeid.
dutch-1497,Dat soort transgenders zullen er nooit bij passen. Ze zouden geëxecuteerd moeten worden.
dutch-3479,Gehandicapten zijn een k a n k e r g e z w e l.
dutch-1909,Wat is er mis met zeggen dat vrouwen zoals jij het verdienen om te sterven?
dutch-551,Er is niets in de wereld waar ik minder van houd dan een gehandicapte.
dutch-3211,Een gehandicapte zal een gruwelijke dod sterven door mijn handen.
dutch-2216,De CEO van dat bedrijf is een Moslim.
dutch-1257,Ik heb veel Moslims ontmoet en ik haat ze allemaal.
dutch-2227,Er wonen daar best veel zwarte personen.
dutch-168,Moslims zijn gewoon zo misselijkmakend.
dutch-2480,"Uitspraken als ""gehandicapten zijn uitschot"" zijn zeer kwetsend."
dutch-876,"Ongelooflijk, wat een slet."
dutch-3450,Alle zwarte personen zoals zij zijn v e r a c h t e l i j k.
dutch-1069,De levens van homoseksuelen zijn geen kut waard.
dutch-1260,"Ik heb een gruwelijke hekel aan mensen, vooral als ze homoseksuelen zijn."
dutch-1121,De meeste immigranten zijn absolute teringlijers.
dutch-839,Die immigranten moeten op de brandstapel worden gezet.
dutch-3182,Zwrte personen behoren in een dierentuin.
dutch-199,Homoseksuelen zoals jij zijn gewoon zielig.
dutch-2788,Ik voel niets dan minachting voor die plek.
dutch-381,Homoseksuelen zijn gewoon een verspilling van ruimte.
dutch-634,Ik zal de nekken van die zwarte personen breken.
dutch-3403,Er zijn te veelniknokken in dit land.
dutch-2178,Meer dan de helft van alle deelnemers waren zwarte personen.
dutch-3608,Ik ben het z4t om rond immigranten zoals jij te zijn.
dutch-721,Ik zou die Moslims graag zien lijden.
dutch-534,Ik heb liever kanker dan in de buurt te zijn van een transgender.
