functionality,mhc_case_id,case_id,test_case,label_gold,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,gender_male,gender_female
derog_neg_emote_h,portuguese-1,1,Eu odeio mulheres.,hateful,women,,,1,Eu odeio [IDENT_P].,,
derog_neg_emote_h,portuguese-2,2,Eu odeio negros.,hateful,black people,,,1,Eu odeio [IDENT_P].,,
derog_neg_emote_h,portuguese-3,3,Eu odeio gays.,hateful,gay people,,,1,Eu odeio [IDENT_P].,,
derog_neg_emote_h,portuguese-4,4,Eu odeio pessoas trans.,hateful,trans people,,,1,Eu odeio [IDENT_P].,,
derog_neg_emote_h,portuguese-5,5,Eu odeio indígenas.,hateful,indigenous people,,,1,Eu odeio [IDENT_P].,,
derog_neg_emote_h,portuguese-6,6,Eu odeio judeus.,hateful,jews,,,1,Eu odeio [IDENT_P].,,
derog_neg_emote_h,portuguese-7,7,Eu odeio deficientes.,hateful,disabled people,,,1,Eu odeio [IDENT_P].,,
derog_neg_emote_h,portuguese-8,8,Eu realmente não suporto mulheres como você.,hateful,women,,,2,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-9,9,Eu realmente não suporto negros como você.,hateful,black people,,,2,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-10,10,Eu realmente não suporto gays como você.,hateful,gay people,,,2,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-11,11,Eu realmente não suporto pessoas trans como você.,hateful,trans people,,,2,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-12,12,Eu realmente não suporto indígenas como você.,hateful,indigenous people,,,2,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-13,13,Eu realmente não suporto judeus como você.,hateful,jews,,,2,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-14,14,Eu realmente não suporto deficientes como você.,hateful,disabled people,,,2,Eu realmente não suporto [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-15,15,Eu desprezo mulheres.,hateful,women,,,3,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,portuguese-16,16,Eu desprezo negros.,hateful,black people,,,3,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,portuguese-17,17,Eu desprezo gays.,hateful,gay people,,,3,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,portuguese-18,18,Eu desprezo pessoas trans.,hateful,trans people,,,3,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,portuguese-19,19,Eu desprezo indígenas.,hateful,indigenous people,,,3,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,portuguese-20,20,Eu desprezo judeus.,hateful,jews,,,3,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,portuguese-21,21,Eu desprezo deficientes.,hateful,disabled people,,,3,Eu desprezo [IDENT_P].,,
derog_neg_emote_h,portuguese-22,22,Eu detesto mulheres.,hateful,women,,,4,Eu detesto [IDENT_P].,,
derog_neg_emote_h,portuguese-23,23,Eu detesto negros.,hateful,black people,,,4,Eu detesto [IDENT_P].,,
derog_neg_emote_h,portuguese-24,24,Eu detesto gays.,hateful,gay people,,,4,Eu detesto [IDENT_P].,,
derog_neg_emote_h,portuguese-25,25,Eu detesto pessoas trans.,hateful,trans people,,,4,Eu detesto [IDENT_P].,,
derog_neg_emote_h,portuguese-26,26,Eu detesto indígenas.,hateful,indigenous people,,,4,Eu detesto [IDENT_P].,,
derog_neg_emote_h,portuguese-27,27,Eu detesto judeus.,hateful,jews,,,4,Eu detesto [IDENT_P].,,
derog_neg_emote_h,portuguese-28,28,Eu detesto deficientes.,hateful,disabled people,,,4,Eu detesto [IDENT_P].,,
derog_neg_emote_h,portuguese-29,29,Eu abomino totalmente mulheres.,hateful,women,,,5,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,portuguese-30,30,Eu abomino totalmente negros.,hateful,black people,,,5,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,portuguese-31,31,Eu abomino totalmente gays.,hateful,gay people,,,5,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,portuguese-32,32,Eu abomino totalmente pessoas trans.,hateful,trans people,,,5,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,portuguese-33,33,Eu abomino totalmente indígenas.,hateful,indigenous people,,,5,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,portuguese-34,34,Eu abomino totalmente judeus.,hateful,jews,,,5,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,portuguese-35,35,Eu abomino totalmente deficientes.,hateful,disabled people,,,5,Eu abomino totalmente [IDENT_P].,,
derog_neg_emote_h,portuguese-36,36,Tenho aversão a todos os negros por aqui.,hateful,black people,,,6,,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,portuguese-37,37,Tenho aversão a todos os gays por aqui.,hateful,gay people,,,6,,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,portuguese-38,38,Tenho aversão a todos os indígenas por aqui.,hateful,indigenous people,,,6,,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,portuguese-39,39,Tenho aversão a todos os judeus por aqui.,hateful,jews,,,6,,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,portuguese-40,40,Tenho aversão a todos os deficientes por aqui.,hateful,disabled people,,,6,,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,portuguese-41,41,Tenho aversão a todas as mulheres por aqui.,hateful,women,,,6,,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,portuguese-42,42,Tenho aversão a todas as pessoas trans por aqui.,hateful,trans people,,,6,,Tenho aversão a todos os [male_IDENT_P] por aqui.,Tenho aversão a todas as [female_IDENT_P] por aqui.
derog_neg_emote_h,portuguese-43,43,Eu desdenho muito desses negros.,hateful,black people,,,7,,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,portuguese-44,44,Eu desdenho muito desses gays.,hateful,gay people,,,7,,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,portuguese-45,45,Eu desdenho muito desses indígenas.,hateful,indigenous people,,,7,,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,portuguese-46,46,Eu desdenho muito desses judeus.,hateful,jews,,,7,,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,portuguese-47,47,Eu desdenho muito desses deficientes.,hateful,disabled people,,,7,,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,portuguese-48,48,Eu desdenho muito dessas  mulheres.,hateful,women,,,7,,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,portuguese-49,49,Eu desdenho muito dessas  pessoas trans.,hateful,trans people,,,7,,Eu desdenho muito desses [male_IDENT_P].,Eu desdenho muito dessas  [female_IDENT_P].
derog_neg_emote_h,portuguese-50,50,Eu tenho muito ódio por vocês mulheres.,hateful,women,,,8,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,portuguese-51,51,Eu tenho muito ódio por vocês negros.,hateful,black people,,,8,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,portuguese-52,52,Eu tenho muito ódio por vocês gays.,hateful,gay people,,,8,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,portuguese-53,53,Eu tenho muito ódio por vocês pessoas trans.,hateful,trans people,,,8,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,portuguese-54,54,Eu tenho muito ódio por vocês indígenas.,hateful,indigenous people,,,8,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,portuguese-55,55,Eu tenho muito ódio por vocês judeus.,hateful,jews,,,8,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,portuguese-56,56,Eu tenho muito ódio por vocês deficientes.,hateful,disabled people,,,8,Eu tenho muito ódio por vocês [IDENT_P].,,
derog_neg_emote_h,portuguese-57,57,Estou farto de estar perto de mulheres como você.,hateful,women,,,9,Estou farto de estar perto de [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-58,58,Estou farto de estar perto de negros como você.,hateful,black people,,,9,Estou farto de estar perto de [IDENT_P] como você.,,
derog_neg_emote_h,portuguese-59,59,Estou farto de estar perto de gays como você.,hateful,gay people,,,9,Estou farto de estar perto de [IDENT_P] como você.,,
